42_no,42_column1,42_ciat_lab_id,42_requisitioner,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_dm_percentage,42_ash_dm_percentage,42_protein_dm_percentage,42_adf_dm_percentage,42_ndf_dm_percentage,42_remarks
No,Column1,CIAT Lab-ID,Requisitioner,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %","Ash (DM), %","Protein (DM), %","ADF (DM), %"," NDF (DM), %",Remarks
69,5,F24 3604,Breeding,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,95.8156214,12.04215411,5.939448687,30.46611447,69.59254363,F24 3570
70,5,F24 3605,Breeding,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,96.30536946,12.640814,6.64642741,28.8604292,69.64533207,F24 3571
71,5,F24 3606,Breeding,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,96.66535293,14.22808985,8.098687385,29.35547793,68.83461568,F24 3572
72,5,F24 3607,Breeding,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,96.735,11.91399183,7.498562822,28.13819685,65.68321921,F24 3573
73,5,F24 3608,Breeding,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,97.16070232,13.97849497,5.470321142,29.53819758,67.77363719,F24 3574
74,5,F24 3609,Breeding,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,96.95029294,10.5197972,8.125850845,28.04747157,66.3853,F24 3575
75,5,F24 3610,Breeding,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,96.78015898,11.69085862,5.966437759,26.73881247,68.58525194,F24 3576
76,5,F24 3611,Breeding,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,92.37038196,13.66171032,6.11164643,30.80701399,69.99815476,F24 3577
77,5,F24 3426,Breeding,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,92.37038196,13.66171032,25.3469484,47.62549013,53.10107125,Reproceso OT-033
78,5,F24 3427,Genetic bank,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,92.71608732,9.516947912,17.95515598,35.89620842,69.9050053,Reproceso OT-033
79,5,F24 3428,Genetic bank,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,92.86035596,12.00668593,22.62704069,24.90728416,56.33867198,Reproceso OT-033
80,5,F24 3429,Genetic bank,ABC-3522-1,Desmodium,incanum,Desmodium incanum,93.27634916,11.05100511,17.94095507,47.9701854,64.48155421,Reproceso OT-033
81,5,F24 3430,Genetic bank,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,91.91283399,14.35643896,22.08537556,24.28674512,43.64614315,Reproceso OT-033
82,5,F24 3431,Genetic bank,ABC-4279-1,Vigna,umbellata,Vigna umbellata,91.03544446,11.01713418,25.72120617,13.14422147,52.82497596,Reproceso OT-033
83,5,F24 3432,Genetic bank,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,91.535,10.36216711,25.77536281,37.6144658,65.50813774,Reproceso OT-033
84,5,F24 3433,Genetic bank,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,92.53224525,11.21974911,17.21944618,33.37983721,60.62801841,Reproceso OT-033
85,5,F24 3434,Genetic bank,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,92.00080584,9.417483983,31.82560604,44.14408862,59.53002965,Reproceso OT-033
86,5,F24 3435,Genetic bank,ABC-7317-1,Canavalia,sp.,Canavalia sp.,92.45081984,19.06227474,23.8828974,24.73436997,52.25784177,Reproceso OT-033
87,5,F24 3436,Genetic bank,ABC-7322-1,Canavalia,sp.,Canavalia sp.,89.36711797,15.19263964,21.51684891,18.1626666,47.53834417,Reproceso OT-033
88,5,F24 3437,Genetic bank,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,91.98580484,16.46288643,24.9715208,42.71416967,57.93782208,Reproceso OT-033
89,5,F24 3438,Genetic bank,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,92.165,8.094191443,26.36670549,22.54261885,60.52862179,Reproceso OT-033
90,5,F24 3439,Genetic bank,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,93.8215466,7.352550439,22.49012437,37.80469398,66.98254594,Reproceso OT-033
91,5,F24 3440,Genetic bank,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,91.94619664,8.846261932,22.07736189,32.10105566,67.28945857,Reproceso OT-033
92,5,F25 0017,Genetic bank,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,91.33303174,10.05857506,,,,
93,5,F25 0018,LMF,Homenheim Concentrate,0,0,Homenheim Concentrate,89.69309597,6.035393965,,,,
94,5,F25 0019,LMF,Sample 8,0,0,Cynodon nlemfuensis ,93.73093584,11.41385651,,,,
95,6,F24 3441,LMF,ABC-7714-1,Alysicarpus,glumaceus,Alysicarpus glumaceus,93.05173955,17.45368866,21.04962113,27.78778253,82.34850817,
96,6,F24 3442,Genetic bank,ABC-7757-1,Clitoria,ternatea,Clitoria ternatea,92.12039046,8.244234424,22.6154996,21.94936226,57.23012208,
97,6,F24 3443,Genetic bank,ABC-7759-1,Clitoria,ternatea,Clitoria ternatea,93.54160845,5.862227412,20.41590152,14.68281549,60.81721503,
98,6,F24 3444,Genetic bank,ABC-7790-1,Crotalaria,pallida,Crotalaria pallida,92.11118315,5.850741122,22.0861462,20.08618277,67.61203479,
99,6,F24 3445,Genetic bank,ABC-7792-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,92.87643743,8.05209851,23.63066193,23.50042464,63.99407622,
100,6,F24 3446,Genetic bank,ABC-7816-1,Indigofera,spicata,Indigofera spicata,92.50111417,17.58626282,24.06341709,23.10642255,54.74263748,
101,6,F24 3447,Genetic bank,ABC-7858-1,Crotalaria,incana,Crotalaria incana,93.155,9.146013912,29.43059343,23.57983665,60.75471542,
102,6,F24 3448,Genetic bank,ABC-7972-1,Canavalia,brasiliensis,Canavalia brasiliensis,91.88,17.8164834,29.01401583,23.87081726,56.1091518,
103,6,F24 3449,Genetic bank,ABC-8205-1,Indigofera,suffruticosa,Indigofera suffruticosa,92.225,14.65425381,25.335008,26.75249523,51.19431248,
104,6,F24 3450,Genetic bank,ABC-8402-1,Indigofera,suffruticosa,Indigofera suffruticosa,92.01,17.72088972,25.58233898,18.99313227,47.89959503,
105,6,F24 3451,Genetic bank,ABC-8408-1,Chamaecrista,nictitans,Chamaecrista nictitans,94.01679496,6.884976232,24.85046879,38.38327518,58.65399616,
106,6,F24 3452,Genetic bank,ABC-8409-1,Chamaecrista,nictitans,Chamaecrista nictitans,91.93701698,7.660929259,25.85235955,38.02759415,61.85587213,
107,6,F24 3453,Genetic bank,ABC-8719-1,Canavalia,sp.,Canavalia sp.,93.52759939,17.13245986,23.79660353,16.09918371,40.18477672,
108,6,F24 3454,Genetic bank,ABC-8797-1,Desmanthus,virgatus,Desmanthus virgatus,92.94852574,7.059427508,23.1295439,30.21775381,59.9499983,
109,6,F24 3455,Genetic bank,ABC-8819-1,Coursetia,caribaea,Coursetia caribaea,91.77870381,13.95647988,24.00645742,18.24323904,51.97573659,
110,6,F24 3456,Genetic bank,ABC-9170-1,Indigofera,lespedezioides,Indigofera lespedezioides,93.09103769,15.38048733,20.75389269,41.98638116,54.57173406,
111,6,F24 3457,Genetic bank,ABC-9254-1,Crotalaria,pallida,Crotalaria pallida,90.82638109,6.638052507,24.64778486,20.57624578,55.33710134,
112,6,F24 3458,Genetic bank,ABC-9283-1,Crotalaria,pallida,Crotalaria pallida,92.80107782,8.193728449,25.55766027,15.01232891,54.1619301,
113,6,F24 3459,Genetic bank,ABC-9288-1,Indigofera,suffruticosa,Indigofera suffruticosa,93.755,11.90871169,27.5825287,16.46284897,52.41146942,
114,6,F24 3460,Genetic bank,ABC-9336-1,Clitoria,ternatea,Clitoria ternatea,90.39240088,8.112591028,31.6648623,19.15227714,48.60971355,
115,6,F24 3461,Genetic bank,ABC-9349-1,Mucuna,pruriens,Mucuna pruriens,91.42214894,8.633607276,30.38137152,27.80099367,55.5632413,
116,6,F24 3462,Genetic bank,ABC-9356-1,Tephrosia,noctiflora,Tephrosia noctiflora,93.0320801,8.360226701,30.62410081,20.60305675,55.97912636,
117,6,F24 3463,Genetic bank,ABC-9432-1,Clitoria,ternatea,Clitoria ternatea,91.27936032,8.031756823,31.25458694,17.91608339,44.95314053,
118,6,F24 3464,Genetic bank,ABC-9433-1,Clitoria,ternatea,Clitoria ternatea,94.27286357,9.441272076,31.6787523,21.94377376,43.14194918,
119,6,F24 3465,Genetic bank,ABC-9435-1,Desmanthus,pubescens,Desmanthus pubescens,94.58635365,8.482190043,26.77532246,36.05686171,53.82572072,
120,6,F24 3466,Genetic bank,ABC-9530-1,Crotalaria,maypurensis,Crotalaria maypurensis,93.26303362,8.793760286,32.65498846,10.83686663,32.19897401,
121,6,F24 3467,Genetic bank,ABC-9562-1,Eriosema,diffusum,Eriosema diffusum,93.93151174,8.403009219,18.10554432,51.96325733,64.55154831,
122,6,F24 3468,Genetic bank,ABC-9982-1,Crotalaria,incana,Crotalaria incana,93.81655922,8.64768717,26.85672385,14.32890927,46.83102013,
123,6,F24 3469,Genetic bank,ABC-10647-1,Stylosanthes,scabra,Stylosanthes scabra,92.92782887,9.358364243,20.01579809,32.44224002,56.19410887,
124,6,F24 3470,Genetic bank,ABC-11194-1,Stylosanthes,hamata,Stylosanthes hamata,92.89142264,9.606070391,21.17967693,30.17992448,55.93710804,
125,6,F25 0017,Genetic bank,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,91.33303174,10.05857506,,,,
126,6,F25 0018,LMF,Homenheim Concentrate,0,0,Homenheim Concentrate,89.69309597,6.035393965,,,,
127,6,F25 0019,LMF,Sample 8,0,0,Cynodon nlemfuensis ,93.73093584,11.41385651,,,,
128,7,F24 3471,LMF,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,93.5025929,10.465,20.08914589,33.8951169,61.31669822,
129,7,F24 3472,Genetic bank,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,94.102359,11.085,22.04897357,29.34322756,55.25520846,
130,7,F24 3473,Genetic bank,ABC-13575-1,Desmodium,incanum,Desmodium incanum,94.13646412,11.515,23.16919124,44.08764943,57.60611616,
131,7,F24 3474,Genetic bank,ABC-13609-1,Desmodium,incanum,Desmodium incanum,93.40199114,11.575,20.01347066,40.85292871,58.78077664,
132,7,F24 3475,Genetic bank,ABC-15551-1,Centrosema,molle,Centrosema molle,93.75094022,10.485,22.31266675,23.67242922,61.58812353,
133,7,F24 3476,Genetic bank,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,92.53223803,8.23,24.6266959,32.03196846,58.23503518,
134,7,F24 3477,Genetic bank,ABC-17091-1,Crotalaria,micans,Crotalaria micans,94.56155534,8.37,24.38060094,17.15303522,49.73373546,
135,7,F24 3478,Genetic bank,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,93.3869839,7.63,32.12201646,23.36870323,51.72327633,
136,7,F24 3479,Genetic bank,ABC-17451-1,Canavalia,sp.,Canavalia sp.,91.64376079,19.475,22.34228589,20.07506852,49.14213417,
