42_no,42_column1,42_ciat_lab_id,42_requisitioner,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_dm_percentage,42_ash_dm_percentage,42_protein_dm_percentage,42_adf_dm_percentage,42_ndf_dm_percentage,42_remarks
No,Column1,CIAT Lab-ID,Requisitioner,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %","Ash (DM), %","Protein (DM), %","ADF (DM), %"," NDF (DM), %",Remarks
22,2,F24 3432,Genetic bank,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,91.535,10.36216711,25.77536281,37.54664403,65.50813774,Eliminados
23,2,F24 3433,Genetic bank,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,92.53224525,11.21974911,17.21944618,33.31727006,60.62801841,Eliminados
24,2,F24 3434,Genetic bank,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,92.00080584,9.417483983,31.82560604,44.08080067,59.53002965,Eliminados
25,2,F24 3435,Genetic bank,ABC-7317-1,Canavalia,sp.,Canavalia sp.,92.45081984,19.06227474,23.8828974,24.67008166,52.25784177,Eliminados
26,2,F24 3436,Genetic bank,ABC-7322-1,Canavalia,sp.,Canavalia sp.,89.36711797,15.19263964,21.51684891,18.09453556,47.53834417,Eliminados
27,2,F24 3437,Genetic bank,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,91.98580484,16.46288643,24.9715208,42.64975005,57.93782208,Eliminados
28,2,F24 3438,Genetic bank,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,92.165,8.094191443,26.36670549,22.47667027,60.52862179,Eliminados
29,2,F24 3439,Genetic bank,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,93.8215466,7.352550439,22.49012437,37.74177758,66.98254594,Eliminados
30,2,F24 3440,Genetic bank,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,91.94619664,8.846261932,22.07736189,32.03650832,67.28945857,Eliminados
31,3,F24 3441,Genetic bank,ABC-7714,Alysicarpus,glumaceus,Alysicarpus glumaceus,93.05,17.46376309,20.28455956,27.78830201,52.26265146,
