40gp_no,40gp_requisitioner,40gp_gene_bank_id,40gp_genus,40gp_species,40gp_tax_name,40gp_family,40gp_order,40gp_functional_group,40gp_ciat_id,40gp_set_ciat,40gp_batch,40gp_run,40gp_replication,40gp_ch4_8h_percentage,40gp_ch4_24h_percentage,40gp_net_gas_8h_ml,40gp_net_gas_24h_ml,40gp_gas_ml_g_dm_incubated_24h,40gp_percentage_dmd_truly_digestibility,40gp_part_fact,40gp_ch4_percentage_in_gas_8h,40gp_ch4_percentage_in_gas_24h,40gp_ch4_ml_g_dm_incubated_24h,40gp_ch4_ml_g_dmd_24h,40gp_ch4_ml_g_ndf_digested_in_24h,40gp_ch4_g_g_dm_incubated_24h,40gp_ch4_g_g_dmd_24h,40gp_remarks,40gp_remarks_2
No,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks,Remarks2
27,Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,1,1,3,13.5,18.9,23.80668174,58.82415134,124.1150258,69.46926761,5.597168206,13.5,16.71456972,20.74529252,29.86254675,68.39650799,11.51399626,16.5742301,Feed despues del clip,
28,Genetic bank,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3425,1,1,1,1,12.4,16.4,36.6392797,89.1567493,194.2086831,53.51542838,2.755563115,12.4,14.75618593,28.65779438,53.55052785,188.6803663,15.90557169,29.72146944,,
29,Genetic bank,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3425,1,1,1,2,12.2,16.4,37.96678984,90.48425943,197.1398046,52.28604678,2.652231845,12.2,14.63769882,28.85673085,55.19011788,206.7225574,16.01598487,30.63147027,,
30,Genetic bank,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3425,1,1,1,3,12.5,16.2,38.40929321,92.42676281,201.1305693,53.14840609,2.642482755,12.5,14.66241088,29.49059048,55.48725286,198.9714515,16.36778793,30.79638532,,
31,Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,2,2,1,14.2,20.8,28.17271507,62.90923025,136.6665394,86.83501251,6.353787318,14.2,17.84431419,24.38720668,28.08453178,76.07276543,13.53532163,15.58740103,,
32,Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,2,2,2,15,21.1,28.17271507,61.58172011,133.7826031,85.40120199,6.383580527,15,18.30934132,24.49471342,28.68193053,79.98554282,13.59498973,15.91896767,,
33,Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,2,2,3,13.8,20.6,29.5002252,63.35173362,137.6828697,84.06964771,6.106035406,13.8,17.43352736,24.00298075,28.55130408,81.94276997,13.3220696,15.84646773,,
34,Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,2,2,1,13.9,19.4,30.82773534,67.33426403,149.448262,68.46093392,4.580912018,13.9,16.88192771,25.22974755,36.85276566,111.7884026,14.00294639,20.45392253,,
35,Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,2,2,2,14,19.4,29.5002252,66.44925727,147.3661219,65.824871,4.466757362,14,17.00266371,25.05616613,38.06489211,125.7010711,13.9066057,21.12667368,The piston is hard to move,
36,Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,2,2,3,12.9,19.1,30.82773534,67.33426403,149.4781516,65.23571041,4.364230472,12.9,16.26144578,24.30730858,37.26074021,125.6582858,13.4909768,20.68035547,,
