40gp_no,40gp_requisitioner,40gp_gene_bank_id,40gp_genus,40gp_species,40gp_tax_name,40gp_family,40gp_order,40gp_functional_group,40gp_ciat_id,40gp_set_ciat,40gp_batch,40gp_run,40gp_replication,40gp_ch4_8h_percentage,40gp_ch4_24h_percentage,40gp_net_gas_8h_ml,40gp_net_gas_24h_ml,40gp_gas_ml_g_dm_incubated_24h,40gp_percentage_dmd_truly_digestibility,40gp_part_fact,40gp_ch4_percentage_in_gas_8h,40gp_ch4_percentage_in_gas_24h,40gp_ch4_ml_g_dm_incubated_24h,40gp_ch4_ml_g_dmd_24h,40gp_ch4_ml_g_ndf_digested_in_24h,40gp_ch4_g_g_dm_incubated_24h,40gp_ch4_g_g_dmd_24h,40gp_remarks,40gp_remarks_2
No,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks,Remarks2
953,Genetic bank,ABC-18813-1,Crotalaria,nitens,Crotalaria nitens,Fabaceae,Fabales,Herbaceous,F24 3488,7,20,2,2,12.5,20.2,28.61521845,62.46672687,135.9615302,46.8488148,3.445740477,12.5,16.67272727,22.66849513,48.38648582,-2905.814868,12.58140699,26.85533677,,
954,Genetic bank,ABC-18813-1,Crotalaria,nitens,Crotalaria nitens,Fabaceae,Fabales,Herbaceous,F24 3488,7,20,2,3,12.7,20.3,28.61521845,62.02422349,135.1063796,54.45207954,4.030311498,12.7,16.79369798,22.68935735,41.66848638,332.5346073,12.59298588,23.12673085,,
955,Genetic bank,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3489,7,20,2,1,13.7,22.1,34.81026574,55.38667282,117.2877034,55.6571214,4.745350091,13.7,16.82063915,19.72854135,35.44657154,494.2841748,10.94968177,19.67346046,Muestra en manguera 24H,
956,Genetic bank,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3489,7,20,2,2,14.1,21.7,33.48275561,55.38667282,117.2877034,59.53235864,5.075754484,14.1,17.10559254,20.06275664,33.70059091,255.0380766,11.13517704,18.70441101,Muestra en manguera 24H,
957,Genetic bank,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3489,7,20,2,3,13.8,22.3,35.25276912,55.38667282,117.2408164,54.51062472,4.64945796,13.8,16.88988016,19.80183339,36.32655743,696.0616175,10.99036013,20.16186786,,
958,Genetic bank,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3490,7,20,2,1,15,21.5,34.36776236,62.90923025,135.1666371,46.17762376,3.416347757,15,17.94900352,24.26106445,52.53857274,-552.7577573,13.46531051,29.15981684,,
959,Genetic bank,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3490,7,20,2,2,14.2,21,33.92525898,62.46672687,134.2158753,55.71739823,4.151326965,14.2,17.30696576,23.22869558,41.69020149,450.9831532,12.89232793,23.13878311,,
960,Genetic bank,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3490,7,20,2,3,15,21.1,32.59774885,61.13921673,131.3898626,50.89471994,3.873565201,15,17.84764777,23.44999988,46.07550627,7149.369711,13.01515564,25.57270313,,
961,Genetic bank,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,Fabaceae,Fabales,Shrub,F24 3491,7,20,2,1,12.9,20.4,33.04025223,62.02422349,132.5685521,48.33983041,3.646402533,12.9,16.40475624,21.74754782,44.98887902,230.7121387,12.0702653,24.96960621,,
962,Genetic bank,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,Fabaceae,Fabales,Shrub,F24 3491,7,20,2,2,13.7,20.5,32.59774885,61.13921673,130.5986397,64.26327718,4.920669721,13.7,16.87442702,22.03777214,34.29294786,86.93498561,12.23134481,19.03317937,,
963,Genetic bank,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,Fabaceae,Fabales,Shrub,F24 3491,7,20,2,3,13.1,20.2,33.48275561,63.35173362,135.3518099,50.9242937,3.762365184,13.1,16.44749709,22.26198499,43.71584438,185.3507649,12.35578682,24.26304996,,
964,Genetic bank,ABC-19038-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Shrub,F24 3492,7,20,2,1,14.1,21.9,37.02278263,76.18433159,168.80776,68.24786474,4.042934088,14.1,18.10948693,30.57021924,44.79293141,192.3224983,16.96700058,24.8608519,,
965,Genetic bank,ABC-19038-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Shrub,F24 3492,7,20,2,2,13.6,22.3,38.35029276,77.06933834,170.8711611,51.88872417,3.03671631,13.6,17.9708134,30.70693751,59.17844001,-6620.009359,17.04288158,32.84505806,,
966,Genetic bank,ABC-19038-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Shrub,F24 3492,7,20,2,3,14,22,36.13777587,74.85682145,165.9325956,67.01600502,4.038748671,14,18.13793103,30.09673976,44.90977902,205.250332,16.70421127,24.92570434,,
967,Genetic bank,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Climber,F24 3493,7,20,2,1,14.9,21.3,37.90778939,73.08680794,157.2163277,47.36281898,3.012589065,14.9,17.98052472,28.26832068,59.68462454,-339.5775484,15.68940705,33.12599923,Muestra en manguerab24H,
968,Genetic bank,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Climber,F24 3493,7,20,2,2,15.5,21.4,37.90778939,71.31679443,153.3475665,63.66109982,4.151425502,15.5,18.263909,28.00726,43.99430747,351.2443426,15.54451385,24.41760179,,
969,Genetic bank,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Climber,F24 3493,7,20,2,3,14.8,21.1,37.46528601,70.87429105,152.5484782,61.19257038,4.011352397,14.8,17.76971904,27.10743598,44.29857385,492.3972789,15.04509596,24.5864749,,
970,Genetic bank,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3494,7,20,2,1,15.3,22.4,34.81026574,61.58172011,133.4548916,50.22128556,3.763165588,15.3,18.38658683,24.53779952,48.8593616,300.8986253,13.61890326,27.11779101,,
971,Genetic bank,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3494,7,20,2,2,14.5,22.4,35.6952725,65.12174714,141.1830007,47.75155051,3.38224505,14.5,18.06976217,25.51143245,53.42534886,448.7416778,14.15928638,29.65199293,,
972,Genetic bank,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3494,7,20,2,3,15.2,22.7,33.92525898,61.58172011,133.4548916,44.32672295,3.321476075,15.2,18.56826347,24.78025589,55.90364963,1096.337251,13.75347074,31.02749273,,
973,Genetic bank,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3495,7,20,2,1,14.5,22.1,33.04025223,61.58172011,132.8036875,48.11355193,3.622907829,14.5,18.02239521,23.93440542,49.74566304,237.2865929,13.2840091,27.60970364,,
974,Genetic bank,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3495,7,20,2,2,15,22.2,35.25276912,62.46672687,134.7122435,48.43703353,3.595592521,15,18.13671783,24.43237949,50.44152729,234.6967804,13.56039332,27.99592034,Muestra en manguera 24H,
975,Genetic bank,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3495,7,20,2,3,14.5,22,34.81026574,63.794237,137.6025815,46.07562219,3.348456234,14.5,17.90751445,24.64120217,53.47991194,306.1483596,13.67629352,29.68227639,,
976,Genetic bank,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3496,7,20,2,1,15.7,22.8,35.6952725,61.58172011,131.7599202,49.52696169,3.758879149,15.7,18.6845509,24.61874936,49.70777233,212.1665629,13.66383182,27.58867364,Embolo duro 8h,
977,Genetic bank,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3496,7,20,2,2,14.8,22.8,34.81026574,62.02422349,132.6006388,54.50581345,4.110524198,14.8,18.31010702,24.27931887,44.54445743,146.4166101,13.47544203,24.72294454,,
978,Genetic bank,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3496,7,20,2,3,15.6,22.9,34.36776236,62.46672687,133.573348,50.15594865,3.754936849,15.6,18.8837072,25.22359994,50.29034564,206.201714,13.99953436,27.91201191,,
979,Genetic bank,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3497,7,20,2,1,14.8,22.6,41.00531303,72.20180118,155.0292612,50.74400923,3.273189127,14.8,18.17017365,28.16908597,55.51214103,477.9154819,15.63433007,30.81019869,Muestra en manguera 24H,
980,Genetic bank,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3497,7,20,2,2,15.4,23.1,40.56280965,68.21927078,146.5074025,53.35422461,3.64174258,15.4,18.52162162,27.13554674,50.859228,319.0776162,15.06069791,28.22775146,,
981,Genetic bank,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3497,7,20,2,3,14.9,23.2,40.56280965,66.89176065,143.5703055,28.48502518,1.984047125,14.9,18.16692393,26.08230817,91.56498197,-159.3802803,14.47613229,50.82014916,,
982,Genetic bank,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3498,7,20,2,1,14.8,22.4,38.79279614,68.66177416,146.3272297,61.93800184,4.232841828,14.8,18.10612245,26.49418738,42.77533436,139.3870167,14.70473237,23.74105063,Muestra en la manguera 24H,
983,Genetic bank,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3498,7,20,2,2,14.7,22.5,41.89031979,73.08680794,155.7886888,58.05096047,3.726262858,14.7,18.02936428,28.08771021,48.38457449,185.7578801,15.58916511,26.85427594,Embolo duro 8h,
984,Genetic bank,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3498,7,20,2,3,15.3,22.5,38.35029276,68.66177416,146.3857372,43.77960756,2.990701718,15.3,18.47851772,27.04991438,61.78656204,3185.155761,15.01317048,34.2926109,Muestra en Manguera 24H. Obstrucción en manguera,
985,Genetic bank,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3499,7,20,2,1,15.1,22.2,38.35029276,66.00675389,142.3667032,58.76101754,4.127441052,15.1,18.07486034,25.73258277,43.79192848,201.1340295,14.28202864,24.30527795,Muestra en manguera 24H,
986,Genetic bank,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3499,7,20,2,2,14.1,21.9,38.35029276,67.33426403,145.2589844,52.64766381,3.624399829,14.1,17.45750274,25.35859118,48.16660292,379.5971699,14.07445683,26.73329795,Muestra en manguera 24H,
987,Genetic bank,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24 3499,7,20,2,3,14.5,22,37.90778939,66.00675389,142.4236499,55.18429502,3.87465811,14.5,17.69273743,25.19864242,45.66270605,273.3923204,13.98568251,25.34359187,,
988,Genetic bank,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3500,7,20,2,1,14.2,22,31.27023872,57.59918971,121.7670559,57.4020713,4.714088789,14.2,17.76542894,21.63243978,37.68581741,137.6965548,12.00637834,20.91628067,Muestra en manguera 24H,
989,Genetic bank,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3500,7,20,2,2,13.3,22.3,33.04025223,58.92669984,124.4987676,46.77923648,3.757405585,13.3,17.25369212,21.48063406,45.91916344,422.2328067,11.92212354,25.48593016,,
990,Genetic bank,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3500,7,20,2,3,14.2,22,28.17271507,54.94416944,116.1542339,63.27910564,5.447851838,14.2,18.00053691,20.90838574,33.04153169,96.85520783,11.60451582,18.33862174,,
991,Genetic bank,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,F24 3471,7,21,3,1,11.3,16.1,32.45024772,74.04556526,158.2236201,57.22043768,3.616428297,11.3,13.99641434,22.14563345,38.70231398,119.4663165,12.29120971,21.48045385,,
992,Genetic bank,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,F24 3471,7,21,3,2,11.7,16.1,32.00774435,75.37307539,161.156896,62.36903754,3.870081832,11.7,14.23150685,22.9350547,36.77314193,96.83066181,12.72935216,20.40972999,,
993,Genetic bank,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,F24 3471,7,21,3,3,11.4,16.1,33.33525448,75.81557877,162.1030226,52.98267816,3.268457139,11.4,14.03346304,22.74866776,42.93604731,159.0885305,12.62590418,23.83024909,,
994,Genetic bank,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,F24 3472,7,21,3,1,12.4,17.1,38.64529502,80.68311593,171.3766497,52.65446211,3.07244086,12.4,14.8488117,25.44739602,48.32903994,321.7251062,14.12374506,26.82345331,,
995,Genetic bank,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,F24 3472,7,21,3,2,12.3,17.1,38.64529502,78.02809566,165.7703329,53.77097936,3.243703407,12.3,14.72268431,24.4058428,45.3885034,270.3892638,13.545665,25.19140466,,
996,Genetic bank,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,F24 3472,7,21,3,3,12.6,17,37.76028826,79.79810917,169.4291017,53.94731461,3.184064252,12.6,14.91792976,25.27531439,46.85184902,274.6563547,14.02823678,26.00358679,,
997,Genetic bank,ABC-13575-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24 3473,7,21,3,1,12.1,16.3,24.9276903,49.26537609,104.6261473,43.74250513,4.180838753,12.1,14.1748503,14.83059976,33.90432193,1099.686017,8.23123945,18.81748525,,
998,Genetic bank,ABC-13575-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24 3473,7,21,3,2,12.1,16.5,24.48518692,47.0528592,99.88742926,47.16159323,4.721474321,12.1,14.21034483,14.19434814,30.0972617,297.7184007,7.878108793,16.70450096,,
999,Genetic bank,ABC-13575-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24 3473,7,21,3,3,12.3,16.1,24.04268354,48.82287271,103.6449501,33.93606996,3.274261787,12.3,14.22870091,14.74732996,43.45621038,-174.3633776,8.185023269,24.1189486,,
1000,Genetic bank,ABC-13609-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24 3474,7,21,3,1,12.3,17.1,26.25520043,55.01792,117.6911892,40.68156928,3.456636776,12.3,14.80938338,17.42933941,42.84333107,-3241.738516,9.673584918,23.77878998,,
1001,Genetic bank,ABC-13609-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24 3474,7,21,3,2,11.9,16.9,26.25520043,46.61035582,99.70620854,35.95406362,3.606000484,11.9,14.0835443,14.04216805,39.05585806,-266.6997537,7.793646213,21.67667693,,
1002,Genetic bank,ABC-13609-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24 3474,7,21,3,3,12.2,17.3,25.37019367,44.39783893,95.06829221,39.5944355,4.164841356,12.2,14.38571429,13.67625289,34.54084576,-841.7254485,7.590556969,19.17076699,,
1003,Genetic bank,ABC-15551-1,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,F24 3475,7,21,3,1,13.6,17.6,33.33525448,66.08050445,140.8576429,59.84053066,4.248298453,13.6,15.58214286,21.94863915,36.67855032,102.4265871,12.18187446,20.35723,,
1004,Genetic bank,ABC-15551-1,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,F24 3475,7,21,3,2,13.5,17.3,29.79522746,62.09797405,132.3684546,46.26219628,3.494956287,13.5,15.47672209,20.48629786,44.28302049,260.9613157,11.37024975,24.57784252,Muestra en la manguera 0h,
1005,Genetic bank,ABC-15551-1,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,F24 3475,7,21,3,3,13.2,17.2,31.12273759,62.54047743,133.3916688,44.31036322,3.32182389,13.2,15.20943396,20.28811778,45.78639466,343.9546217,11.26025637,25.41224119,,
1006,Genetic bank,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Shrub,F24 3476,7,21,3,1,12.5,18.1,27.58271056,46.16785244,99.70783949,36.91571435,3.702388352,12.5,14.7543131,14.71120682,39.85079818,-303.3707356,8.164974305,22.11788245,,
1007,Genetic bank,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Shrub,F24 3476,7,21,3,2,13.4,18,25.81269705,44.39783893,95.84686661,41.08584893,4.286613677,13.4,15.3255814,14.68908956,35.75218704,-2162.972449,8.152698841,19.84308236,Muestra en manguera 0h,
1008,Genetic bank,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Shrub,F24 3476,7,21,3,3,12.7,17.9,28.9102207,48.38036933,104.5279482,40.28254583,3.853758398,12.7,14.79268293,15.46248795,38.38508126,-1043.057869,8.581948329,21.3043842,,
1009,Genetic bank,ABC-17091-1,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,F24 3477,7,21,3,1,13.3,16.8,39.53030177,83.78063958,177.0210787,67.48229168,3.812104874,13.3,15.14859155,26.81620016,39.73812907,155.7629989,14.88345504,22.05534914,,
1010,Genetic bank,ABC-17091-1,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,F24 3477,7,21,3,2,13.9,17.4,39.97280515,82.45312944,174.3555123,60.5838278,3.474729706,13.9,15.70322004,27.37942974,45.1926376,265.3672098,15.1960572,25.08269575,,
1011,Genetic bank,ABC-17091-1,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,F24 3477,7,21,3,3,14,17.1,39.97280515,85.10814971,179.9338426,63.86868496,3.549564887,14,15.6440208,28.14888775,44.07306612,206.9402862,15.62311971,24.46131421,,
1012,Genetic bank,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3478,7,21,3,1,13.6,17.6,46.16785244,83.3381362,178.2652075,61.7322308,3.462943313,13.6,15.3840708,27.42444572,44.42484155,203.8157718,15.22104185,24.65655566,,
1013,Genetic bank,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3478,7,21,3,2,13.6,17.6,44.84034231,82.89563282,177.3895373,61.22475568,3.451429921,13.6,15.43629893,27.38237925,44.72435855,211.4790822,15.19769423,24.82279278,,
1014,Genetic bank,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3478,7,21,3,3,13.5,17.9,47.0528592,83.3381362,178.3008249,60.05578535,3.368228128,13.5,15.41575221,27.48641336,45.76813573,233.34977,15.25543496,25.40210717,,
1015,Genetic bank,ABC-17451-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3479,7,21,3,1,11.6,15.9,35.10526799,65.28399837,142.4734162,59.03703681,4.143722975,11.6,13.58775418,19.35893757,32.79117418,236.685816,10.74454528,18.19966899,,
1016,Genetic bank,ABC-17451-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3479,7,21,3,2,11.3,15.6,34.22026124,66.96551121,145.9387742,60.99030664,4.179170818,11.3,13.40264317,19.55965316,32.07010136,193.0398956,10.8559459,17.7994611,,
1017,Genetic bank,ABC-17451-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3479,7,21,3,3,11.2,15.8,34.22026124,65.1954977,142.1949586,64.25251047,4.51862085,11.2,13.38552036,19.03353514,29.62302173,142.098097,10.5639413,16.44128957,,
1018,Genetic bank,ABC-17775-1,Christia,obcordata,Christia obcordata,Fabaceae,Fabales,Herbaceous,F24 3480,7,21,3,1,13.5,19.5,45.72534906,83.3381362,176.570797,55.31603802,3.13279653,13.5,16.2079646,28.61853228,51.7364101,278.2822442,15.88378055,28.7146027,,
1019,Genetic bank,ABC-17775-1,Christia,obcordata,Christia obcordata,Fabaceae,Fabales,Herbaceous,F24 3480,7,21,3,2,13.6,19.2,42.18532204,79.79810917,169.2056739,56.80700191,3.357275238,13.6,16.23955638,27.47825081,48.37123925,233.3617544,15.2509046,26.84687466,,
1020,Genetic bank,ABC-17775-1,Christia,obcordata,Christia obcordata,Fabaceae,Fabales,Herbaceous,F24 3480,7,21,3,3,13.7,19.7,44.84034231,80.68311593,171.0138699,59.00743042,3.450447057,13.7,16.3654479,27.98718578,47.42993481,200.2605355,15.53337231,26.3244344,,
1021,Genetic bank,ABC-18016-1,Sesbania,emerus,Sesbania emerus,Fabaceae,Fabales,Shrub,F24 3481,7,21,3,1,13.1,15.8,32.00774435,58.11544365,124.6808985,46.45080498,3.725575092,13.1,14.31294416,17.84550738,38.41807992,630.0525426,9.904565341,21.32269903,,
1022,Genetic bank,ABC-18016-1,Sesbania,emerus,Sesbania emerus,Fabaceae,Fabales,Shrub,F24 3481,7,21,3,2,13.1,15.2,26.69770381,54.57541663,117.0627104,50.36536071,4.302425644,13.1,14.1727027,16.59094992,32.9411915,245.9033368,9.208264246,18.2829312,,
1023,Genetic bank,ABC-18016-1,Sesbania,emerus,Sesbania emerus,Fabaceae,Fabales,Shrub,F24 3481,7,21,3,3,12.7,16.1,30.68023421,53.69040987,115.1643962,46.59021096,4.045539465,12.7,14.15714286,16.30398809,34.99445001,548.6251787,9.048995463,19.4225252,,
1024,Genetic bank,ABC-18044-1,Christia,sp.,Christia sp.,Fabaceae,Fabales,Climber,F24 3482,7,21,3,1,,,,,,,,,,,,,,,Se pierde la muestra en la filtracion,
1025,Genetic bank,ABC-18044-1,Christia,sp.,Christia sp.,Fabaceae,Fabales,Climber,F24 3482,7,21,3,2,13.4,18.1,35.54777137,69.1780281,147.7107242,61.13888681,4.139096004,13.4,15.68486141,23.16822237,37.89441316,146.4668815,12.85876425,21.03205492,,
1026,Genetic bank,ABC-18044-1,Christia,sp.,Christia sp.,Fabaceae,Fabales,Climber,F24 3482,7,21,3,3,13.3,18.6,34.66276461,66.52300783,142.0132532,51.94567362,3.657804637,13.3,15.8383592,22.49256916,43.30017803,339.5182175,12.48376503,24.03234795,Muestra en la manguera 0h,
1027,Genetic bank,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,Fabaceae,Fabales,Shrub,F24 3483,7,21,3,1,,,,,,,,,,,,,,,Se pierde la muestra en la filtracion,
1028,Genetic bank,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,Fabaceae,Fabales,Shrub,F24 3483,7,21,3,2,13.2,16.6,39.08779839,70.50553824,151.5874734,54.82833127,3.616943408,13.2,14.71506276,22.30619185,40.68369643,376.0320737,12.3803224,22.58015539,Embolo duro 0h,
1029,Genetic bank,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,Fabaceae,Fabales,Shrub,F24 3483,7,21,3,3,12.9,16.5,37.31778488,67.40801459,144.9856975,45.58305613,3.143969158,12.9,14.50700219,21.03307831,46.14231711,-634.8107383,11.67372235,25.6097843,,
1030,Genetic bank,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3484,7,21,3,1,12.7,17.2,43.51283217,77.58559228,166.9033077,57.98676658,3.474273062,12.7,14.67623574,24.4951229,42.24260869,203.5017119,13.595217,23.44537866,,
1031,Genetic bank,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3484,7,21,3,2,12.9,17.3,42.62782542,77.14308891,165.9182173,51.41376134,3.098741185,12.9,14.86864245,24.66978649,47.98284709,451.5126133,13.69215831,26.63131029,,
1032,Genetic bank,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3484,7,21,3,3,13,17.2,42.62782542,75.37307539,162.1112984,49.09091327,3.028222818,13,14.82465753,24.03244481,48.95497599,765.1303479,13.33842265,27.17085865,,
1033,Genetic bank,ABC-18455-1,Christia,obcordata,Christia obcordata,Fabaceae,Fabales,Climber,F24 3485,7,21,3,1,13.5,18.5,39.97280515,77.58559228,166.4533261,64.40755817,3.869406498,13.5,15.92395437,26.5059517,41.15348021,157.4505684,14.71126178,22.84089352,,
1034,Genetic bank,ABC-18455-1,Christia,obcordata,Christia obcordata,Fabaceae,Fabales,Climber,F24 3485,7,21,3,2,13.3,18.8,39.53030177,75.81557877,162.5908885,59.8109874,3.678618646,13.3,15.93229572,25.90446117,43.31053924,211.6742712,14.37742412,24.0380986,,
1035,Genetic bank,ABC-18455-1,Christia,obcordata,Christia obcordata,Fabaceae,Fabales,Climber,F24 3485,7,21,3,3,13.5,18.8,39.08779839,73.60306188,157.909144,51.47070318,3.259513786,13.5,15.98537074,25.2423621,49.04219399,647.6378999,14.00994769,27.21926615,,
1036,Genetic bank,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,F24 3486,7,21,3,1,14.1,22.3,35.54777137,67.40801459,144.502615,57.25460598,3.962184766,14.1,17.97571116,25.97537269,45.36817999,282.9199212,14.41678125,25.18012481,,
1037,Genetic bank,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,F24 3486,7,21,3,2,14.3,24.6,36.43277813,68.29302135,146.3705598,57.94899204,3.959060627,14.3,19.10518359,27.96436417,48.25686037,283.1673501,15.52070593,26.7833924,Muestra en manguera 0h,
1038,Genetic bank,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,F24 3486,7,21,3,3,14.7,25,35.54777137,66.08050445,141.6285331,48.15423636,3.400037783,14.7,19.45915179,27.55971122,57.23216336,34106.33964,15.29611654,31.76484084,,
1039,Genetic bank,ABC-18749-1,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,F24 3487,7,21,3,1,10.3,15.9,24.04268354,64.75299432,139.596441,57.24989317,4.101099767,10.3,13.82072893,19.29324571,33.70005539,219.7730428,10.70808516,18.70411379,,
