22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
44,,,2,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,B,1.0006,0.0006,1,26.6,3.774956535,23.59347834,25.77536281,
45,,,2,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,A,1.0004,0.0002,1.0002,18,2.549366428,15.93354017,17.21944618,17.21944618
46,,,2,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,B,1.0004,0.0002,1.0002,18,2.549366428,15.93354017,17.21944618,
47,,,2,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,A,1.0006,0.0002,1.0004,33,4.684770243,29.27981402,31.82560604,31.82560604
48,,,2,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,B,1.0006,0.0002,1.0004,33,4.684770243,29.27981402,31.82560604,
49,,,2,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,A,1.0006,0.0006,1,24.9,3.532789512,22.07993445,23.8828974,23.8828974
50,,,2,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,B,1.0006,0.0006,1,24.9,3.532789512,22.07993445,23.8828974,
51,,,2,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,A,1.0005,0.0004,1.0001,21.7,3.07663804,19.22898775,21.51684891,21.51684891
52,,,2,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,B,1.0005,0.0004,1.0001,21.7,3.07663804,19.22898775,21.51684891,
53,,,2,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,A,1.0003,0.0003,1,25.9,3.675240702,22.97025439,24.9715208,24.9715208
54,,,2,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,B,1.0003,0.0003,1,25.9,3.675240702,22.97025439,24.9715208,
55,,,2,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,A,1.0002,0,1.0002,27.4,3.888139859,24.30087412,26.36670549,26.36670549
