subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,ABC-20893,2264,LMF,F25-0883,Fabales,Fabaceae,Cajanus,cajan,Cajanus cajan,Browse,11,29,1,1,66,17.85,32.41,2.23,4.63,12.5,14.29,71.32,,48.35,22.14
1,ABC-21031,1908,Genetic bank,F24-3513,Fabales,Fabaceae,Christia ,obcordata,Christia obcordata,Herbaceous_legumes,10,26,1,1,132,34.52,60.94,4.76,9.52,13.8,15.58,129.5,282.43,37.14,55.29
1,ABC-21128,1911,Genetic bank,F24-3514,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,10,26,1,1,135,33.38,65.81,5.05,11.76,15.13,17.95,140.73,521.97,47.36,53.1
1,ABC-21212,1914,Genetic bank,F24-3515,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,26,1,1,138,39.43,77.07,5.26,12.46,13.34,16.14,164.44,281.56,40.3,66.3
1,ABC-21263,1917,Genetic bank,F24-3516,Fabales,Fabaceae,Sesbania,rostrata,Sesbania rostrata,Shrub_Trees,10,26,1,1,141,38.45,68.47,5.5,10.33,14.32,15.06,147.82,899.24,37.31,60.43
1,ABC-21514,1920,Genetic bank,F24-3517,Fabales,Fabaceae,Desmanthus ,virgatus,Desmanthus virgatus,Shrub_Trees,10,26,1,1,144,27.93,48.55,3.84,7.3,13.74,15.01,103.75,-218.72,46.93,35.54
1,ABC-21565,1923,Genetic bank,F24-3518,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,10,26,1,1,147,36.78,71.66,4.59,10.59,12.47,14.73,154.6,156.23,39.86,57.7
1,ABC-21694,2217,LMF,F25-0897,,,Erythrina ,velutina,Erythrina velutina,,11,29,1,1,19,39.38,73.86,5.61,11.88,14.23,16.08,162.59,,48.88,53.97
1,ABC-21709,1926,Genetic bank,F24-3519,Fabales,Fabaceae,Crotalaria ,juncea,Crotalaria juncea,Herbaceous_legumes,10,26,1,1,150,39.28,69.74,5.86,11.08,14.92,15.88,151.26,151.59,42.07,57.17
1,ABC-22286,1929,Genetic bank,F24-3520,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,10,26,1,1,153,36.48,74.76,5.42,11.94,14.86,15.96,159.67,1203.16,43.2,59.54
1,ABC-22475,1932,Genetic bank,F24-3521,Fabales,Fabaceae,Alysicarpus ,rugosus,Alysicarpus rugosus,Herbaceous_legumes,10,26,1,1,156,31.22,59.17,4.37,9.19,14.0,15.47,125.61,97.12,44.51,43.56
