subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
3,110,Genetic bank,F24-3540,CIAT-1467,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,47,2,3,110,44.54997748,99.06744708,6.01424696,14.84607703,13.5,14.98582781,213.7629034,307.4413083,55.71900919,57.49230125
3,111,Genetic bank,F24-3541,CIAT-1475,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,47,2,1,111,43.04997748,90.06744708,5.81174696,13.38155956,13.5,14.8572653,198.2496987,294.2685155,54.99727004,53.55626502
3,112,Genetic bank,F24-3541,CIAT-1475,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,47,2,2,112,43.54997748,92.06744708,5.87924696,13.73907703,13.5,14.92283915,202.81407,469.407741,60.53790277,49.99449279
3,113,Genetic bank,F24-3541,CIAT-1475,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,47,2,3,113,44.04997748,92.56744708,5.902696982,13.81104453,13.4,14.91997993,203.8747379,1886.699262,67.3575464,45.15911225
3,114,Genetic bank,F25-0954,CIAT-23326,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,47,2,1,114,42.54997748,77.76744708,6.212296712,12.55144124,14.6,16.13971104,162.2535407,-3824.718569,44.14922582,59.31531557
3,115,Genetic bank,F25-0954,CIAT-23326,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,47,2,2,115,42.54997748,78.06744708,6.339946644,13.01723093,14.9,16.6743392,162.7818094,570.0974386,41.91219687,64.76107928
3,116,Genetic bank,F25-0954,CIAT-23326,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,47,2,3,116,43.04997748,78.06744708,6.32834669,12.84159603,14.7,16.4493608,162.846896,1092.28156,42.89229425,62.45241469
3,117,Genetic bank,F25-0971,CIAT-13149,Fabales,Fabaceae,Desmodium,strigillosum,Desmodium strigillosum,Herbaceous_legumes,23,47,2,1,117,35.04997748,67.06744708,4.696696982,9.723439709,13.4,14.49800184,143.0104746,-346.7732732,46.75432506,44.34597485
3,118,Genetic bank,F25-0971,CIAT-13149,Fabales,Fabaceae,Desmodium,strigillosum,Desmodium strigillosum,Herbaceous_legumes,23,47,2,2,118,35.04997748,66.06744708,4.661647005,9.469354792,13.3,14.33286015,140.7655465,-798.8704297,42.20910775,47.79946793
3,119,Genetic bank,F25-0971,CIAT-13149,Fabales,Fabaceae,Desmodium,strigillosum,Desmodium strigillosum,Herbaceous_legumes,23,47,2,3,119,33.54997748,64.56744708,4.361497072,9.16920486,13,14.20097166,137.6796293,-179.6482718,49.5716364,39.44159715
