subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,ABC-21212,339,Genetic bank,F24-3515,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,93.67,15.0,85.0,22.98,20.77,39.82
1,ABC-21263,341,Genetic bank,F24-3516,Fabales,Fabaceae,Sesbania,rostrata,Sesbania rostrata,Shrub_Trees,10,92.58,13.36,86.64,25.01,15.32,40.69
1,ABC-21514,343,Genetic bank,F24-3517,Fabales,Fabaceae,Desmanthus ,virgatus,Desmanthus virgatus,Shrub_Trees,10,93.55,9.91,90.08,23.25,15.23,55.95
1,ABC-21565,345,Genetic bank,F24-3518,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,10,92.64,7.89,92.11,19.59,33.72,58.3
1,ABC-21709,347,Genetic bank,F24-3519,Fabales,Fabaceae,Crotalaria ,juncea,Crotalaria juncea,Herbaceous_legumes,10,92.16,16.8,83.2,25.97,23.18,43.06
1,ABC-22286,349,Genetic bank,F24-3520,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,10,93.58,10.4,89.6,25.3,24.48,43.59
1,ABC-22475,351,Genetic bank,F24-3521,Fabales,Fabaceae,Alysicarpus ,rugosus,Alysicarpus rugosus,Herbaceous_legumes,10,94.16,12.42,87.57,17.41,31.68,64.15
1,ABC-22481,353,Genetic bank,F24-3522,Fabales,Fabaceae,Sesbania,cochinchinensis,Sesbania cochinchinensis,Shrub_Trees,10,91.97,10.46,89.54,31.18,26.64,61.96
1,ABC-22520,355,Genetic bank,F24-3523,Fabales,Fabaceae,Arachis,pusilla,Arachis pusilla,Herbaceous_legumes,10,93.06,14.93,85.07,20.36,22.79,61.22
1,ABC-22570,357,Genetic bank,F24-3524,Fabales,Fabaceae,Desmanthus,bicornutus,Desmanthus bicornutus,Shrub_Trees,10,92.67,8.46,91.54,32.64,19.87,64.71
1,ABC-22594,359,Genetic bank,F24-3525,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,10,94.58,8.87,91.13,27.26,23.96,58.58
1,ABC-22754,361,Genetic bank,F24-3526,Fabales,Fabaceae,Lablab ,purpureus,Lablab purpureus,Herbaceous_legumes,10,91.68,12.14,87.86,30.03,24.88,51.34
1,ABC-22915,363,Genetic bank,F24-3527,Fabales,Fabaceae,Aeschynomene ,villosa,Aeschynomene villosa,Herbaceous_legumes,10,92.06,7.92,92.07,27.06,34.54,64.51
1,ABC-23259,365,Genetic bank,F24-3528,Fabales,Fabaceae,Desmodium,gangeticum,Desmodium gangeticum,Shrub_Trees,10,92.86,12.96,87.04,23.04,24.96,56.45
1,ABC-23339,367,Genetic bank,F24-3529,Fabales,Fabaceae,Desmodium,gangeticum,Desmodium gangeticum,Shrub_Trees,10,93.7,15.0,85.0,22.09,14.57,55.68
1,ABC-23761,369,Genetic bank,F24-3530,Fabales,Fabaceae,Uraria,picta,Uraria picta,Herbaceous_legumes,10,95.0,13.68,86.32,18.09,26.64,61.9
1,ABC-24360,371,Genetic bank,F24-3531,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,10,92.73,17.22,82.78,23.17,28.73,53.68
1,ABC-24466,373,Genetic bank,F24-3532,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,10,92.86,19.77,80.23,22.39,20.0,37.53
1,ABC-32246,375,Genetic bank,F24-3533,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,10,91.54,8.03,91.97,26.83,26.64,79.4
1,ABC-32365,377,Genetic bank,F24-3534,Fabales,Fabaceae,Desmanthus,virgatus,Desmanthus virgatus,Shrub_Trees,10,90.93,7.5,92.5,30.19,28.73,75.76
1,ABC-32373,379,Genetic bank,F24-3535,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,10,92.34,8.66,91.34,28.4,19.99,77.89
1,ABC-3240,115,Genetic bank,F24-3428,Fabales,Fabaceae,Desmodium,cinereum,Desmodium cinereum,Herbaceous_legumes,5,92.86,12.01,87.99,22.63,24.91,56.34
1,ABC-3522,117,Genetic bank,F24-3429,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,5,93.28,11.05,88.95,17.94,47.97,64.48
1,ABC-4134,119,Genetic bank,F24-3430,Fabales,Fabaceae,Macroptilium,lathyroides,Macroptilium lathyroides,Herbaceous_legumes,5,91.91,14.36,85.64,22.09,24.29,43.65
1,ABC-4279,121,Genetic bank,F24-3431,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,5,91.04,11.02,88.98,25.72,13.14,52.82
1,ABC-5124,123,Genetic bank,F24-3432,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,5,91.54,10.36,89.64,25.78,37.61,65.51
1,ABC-5234,125,Genetic bank,F24-3433,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,5,92.53,11.22,88.78,17.22,33.38,60.63
1,ABC-705,1,Genetic bank,F24-3416,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,91.97,12.68,87.32,33.01,28.05,45.22
1,ABC-707,3,Genetic bank,F24-3417,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,1,90.09,12.07,87.93,25.4,25.44,54.11
1,ABC-712,5,Genetic bank,F24-3418,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.3,7.76,92.24,31.19,25.82,54.88
1,ABC-7292,127,Genetic bank,F24-3434,Fabales,Fabaceae,Chamaecrista,desvauxii,Chamaecrista desvauxii,Herbaceous_legumes,5,92.0,9.42,90.58,31.83,44.14,59.53
1,ABC-7317,129,Genetic bank,F24-3435,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,5,92.45,19.06,80.94,23.88,24.73,52.26
1,ABC-7322,131,Genetic bank,F24-3436,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,5,89.37,15.19,84.81,21.52,18.16,47.54
1,ABC-7339,133,Genetic bank,F24-3437,Fabales,Fabaceae,Indigofera,lespedezioides,Indigofera lespedezioides,Herbaceous_legumes,5,91.99,16.46,83.54,24.97,42.71,57.94
1,ABC-7469,135,Genetic bank,F24-3438,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,5,92.16,8.09,91.91,26.37,22.54,60.53
1,ABC-749,7,Genetic bank,F24-3419,Fabales,Fabaceae,Crotalaria,juncea,Crotalaria juncea,Herbaceous_legumes,1,91.75,11.55,88.45,27.95,28.75,51.0
1,ABC-7643,137,Genetic bank,F24-3439,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,5,93.82,7.35,92.65,22.49,37.8,66.98
1,ABC-768,9,Genetic bank,F24-3420,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,92.17,8.7,91.3,29.46,25.73,54.21
1,ABC-7703,139,Genetic bank,F24-3440,Fabales,Fabaceae,Aeschynomene,indica,Aeschynomene indica,Herbaceous_legumes,5,91.95,8.85,91.15,22.08,32.1,67.29
1,ABC-7714,21,Genetic bank,F24-3441,Fabales,Fabaceae,Alysicarpus,glumaceus,Alysicarpus glumaceus,Herbaceous_legumes,3,93.05,17.46,82.54,20.67,27.79,67.31
1,ABC-772,11,Genetic bank,F24-3421,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.49,6.18,93.82,18.97,16.74,67.42
1,ABC-7757,23,Genetic bank,F24-3442,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,92.11,8.25,91.75,23.68,21.95,57.24
1,ABC-7759,25,Genetic bank,F24-3443,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,93.55,5.87,94.13,18.44,14.68,60.81
1,ABC-7790,27,Genetic bank,F24-3444,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,3,92.13,5.86,94.14,24.76,20.08,67.6
1,ABC-7792,29,Genetic bank,F24-3445,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,3,92.91,8.06,91.94,21.83,23.49,63.97
1,ABC-7816,31,Genetic bank,F24-3446,Fabales,Fabaceae,Indigofera,spicata,Indigofera spicata,Herbaceous_legumes,3,92.5,17.6,82.4,26.04,23.11,54.74
1,ABC-7858,33,Genetic bank,F24-3447,Fabales,Fabaceaee,Crotalaria,incana,Crotalaria incana,Herbaceous_legumes,3,93.18,9.16,90.84,30.23,23.57,60.74
1,ABC-7972,35,Genetic bank,F24-3448,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,3,91.92,17.83,82.17,27.77,23.86,56.09
1,ABC-819,13,Genetic bank,F24-3422,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,90.76,17.06,82.94,26.78,26.09,53.05
1,ABC-8205,37,Genetic bank,F24-3449,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,92.21,14.65,85.35,24.78,26.76,51.2
1,ABC-8402,39,Genetic bank,F24-3450,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,92.0,17.72,82.28,26.24,18.99,47.9
1,ABC-8408,41,Genetic bank,F24-3451,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,3,94.03,6.87,93.13,24.12,38.38,58.64
1,ABC-8409,43,Genetic bank,F24-3452,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,3,91.94,7.66,92.34,26.82,38.02,61.85
1,ABC-8719,45,Genetic bank,F24-3453,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp. ,Herbaceous_legumes,3,93.52,17.12,82.88,22.04,15.95,40.19
1,ABC-8797,47,Genetic bank,F24-3454,Fabales,Fabaceae,Desmanthus,virgatus,Desmanthus virgatus,Shrub_Trees,3,92.9,7.05,92.95,24.5,30.23,59.98
1,ABC-8819,49,Genetic bank,F24-3455,Fabales,Fabaceae,Coursetia,caribaea,Coursetia caribaea,Herbaceous_legumes,3,91.77,13.95,86.05,22.92,19.59,43.99
1,ABC-905,15,Genetic bank,F24-3423,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,1,91.88,14.53,85.47,24.61,17.08,36.56
