id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_NDF_digested_24h,methane_intensity,tddm
124712,14413,Lablab purpureues,Herbaceous_legumes,22.66,51.63,3.13,12.75,7.47,13.24,117.18,151.33,39.18,73.97
124713,14438,Lablab purpureues,Herbaceous_legumes,21.5,52.31,2.78,12.63,7.01,12.93,118.64,36.27,41.76,69.8
122807,14439,Lablab purpureus,Herbaceous_legumes,25.22,53.92,3.52,14.13,7.2,13.45,118.58,167.21,37.1,83.8
122501,14441,Lablab  purpureus,Herbaceous_legumes,24.83,59.76,3.18,14.85,7.24,14.13,132.76,158.66,38.4,85.87
122503,14443,Lablab  purpureus,Herbaceous_legumes,28.27,61.64,3.79,14.4,7.63,13.29,137.51,130.0,38.22,84.03
122516,14447,Lablab  purpureus,Herbaceous_legumes,11.07,42.24,0.95,9.63,4.71,12.28,94.29,95.0,27.73,77.49
122505,14452,Lablab  purpureus,Herbaceous_legumes,30.81,62.9,4.19,15.26,7.7,13.81,139.92,185.27,38.66,87.8
122509,14453,Lablab  purpureus,Herbaceous_legumes,30.17,62.39,4.62,15.78,8.69,14.4,139.76,190.12,41.21,85.79
122508,14458,Lablab  purpureus,Herbaceous_legumes,18.95,52.72,2.57,12.73,7.66,13.73,117.79,132.72,33.83,84.06
122511,14459,Lablab  purpureus,Herbaceous_legumes,16.89,49.2,2.41,12.27,8.12,14.22,109.92,126.29,36.88,74.35
122506,14473,Lablab  purpureus,Herbaceous_legumes,27.02,62.08,3.48,14.76,7.29,13.53,137.65,152.59,36.74,89.06
124714,14485,Lablab purpureues,Herbaceous_legumes,20.61,50.53,2.74,12.09,7.29,12.85,114.89,152.53,38.73,71.09
124715,14486,Lablab purpureues,Herbaceous_legumes,22.96,56.54,3.19,13.78,7.53,13.06,128.08,134.47,46.0,68.08
122950,14497,Neonotonia  wightii subsp. Wightii,Herbaceous_legumes,14.26,44.17,2.62,12.75,9.33,14.62,97.22,108.1,37.0,75.85
123832,14520,Alysicarpus monilifer,Herbaceous_legumes,20.46,45.2,2.59,11.44,6.43,12.88,98.06,174.56,38.2,64.95
123833,14532,Centrosema acutifolium,Herbaceous_legumes,18.3,39.1,2.31,9.61,6.42,12.49,84.39,79.37,34.13,60.79
123835,14562,Macrotyloma daltonii,Herbaceous_legumes,22.0,50.26,2.55,11.4,6.16,12.15,108.8,119.77,41.08,60.18
122480,147,Lablab purpureus,Herbaceous_legumes,42.39,76.75,5.48,14.8,8.79,13.36,169.26,155.24,40.78,80.04
124719,1486,Avena sativa,Grass,15.87,45.92,1.44,10.81,4.34,11.27,103.02,87.54,36.87,67.36
123873,14984,Cenchrus purpureus,Grass,12.45,41.39,2.17,12.93,8.88,15.8,91.14,90.48,45.08,63.27
124720,1499,Avena sativa,Grass,19.3,51.14,1.67,11.83,4.12,11.06,119.34,101.36,39.17,70.46
123884,1499    p11,Avena sativa,Grass,28.76,59.83,2.29,12.04,3.86,9.88,133.86,101.2,34.85,77.44
122492,15004,Lupinus angstifolius,Herbaceous_legumes,41.77,78.18,4.94,13.28,7.98,11.76,174.64,116.33,34.98,84.74
124721,1506,Avena sativa,Grass,17.67,47.55,1.64,11.04,4.43,11.11,106.83,103.15,39.58,62.69
123885,1513    p12,Avena sativa,Grass,32.51,62.67,2.89,13.02,4.34,10.19,144.31,114.59,38.87,77.18
123886,1513    p7,Avena sativa,Grass,32.53,62.74,3.19,13.72,4.8,10.74,140.48,107.67,38.55,79.7
123836,15167,Desmodium intortum,Herbaceous_legumes,14.47,40.18,1.38,8.36,4.82,10.59,86.76,139.28,32.54,55.58
122795,15217,Vicia sativa,Herbaceous_legumes,18.89,45.43,2.96,11.1,8.1,12.55,99.71,109.24,34.42,70.77
122493,15609,Lathyrus Sativus,Herbaceous_legumes,31.87,66.9,4.9,13.81,10.22,14.26,150.62,138.19,39.76,78.15
123874,15743,Cenchrus purpureus,Grass,12.03,42.44,2.11,13.32,8.62,15.39,93.04,95.59,46.48,62.79
123753,15936,Stylosanthes hamata    ,Herbaceous_legumes,18.01,45.6,2.12,10.47,6.07,11.85,99.18,132.09,36.96,61.7
123718,16006,Onobyrchis vicifolia,Herbaceous_legumes,15.24,54.92,1.37,12.71,4.7,12.42,119.03,197.21,42.53,65.11
122512,16077,Sesbania grandiflora  ,Shrub_Trees,13.1,41.77,0.46,3.75,1.87,4.82,92.24,53.11,9.95,83.28
122769,16246,Bouffordia dichotoma,Herbaceous_legumes,11.93,34.74,1.36,6.58,6.11,10.2,76.58,100.05,22.13,65.58
123841,16249,Desmodium intortum,Herbaceous_legumes,13.03,34.31,1.46,7.79,5.69,11.55,74.2,103.94,33.74,49.96
123903,16315,Vicia  sepium,Herbaceous_legumes,17.32,50.01,2.09,13.66,6.13,13.91,108.02,163.97,43.63,67.64
122814,16349,Desmodium tortuosum,Herbaceous_legumes,19.29,48.95,1.89,11.04,5.21,12.11,106.67,116.19,33.26,72.32
122496,16528, Cajanus  cajan,Shrub_Trees,20.94,49.1,2.95,9.82,9.49,13.84,108.39,78.76,34.25,63.26
124702,16630,Cenchrus ciliaris,Grass,7.92,37.04,1.03,9.31,7.04,13.48,83.0,71.86,40.71,51.35
124754,16630,Cenchrus ciliaris,Grass,11.3,40.94,1.29,10.62,5.72,13.32,91.01,80.65,46.24,51.03
124703,16660,Cenchrus ciliaris,Grass,8.9,36.27,1.17,9.13,7.09,13.5,81.16,77.17,39.7,51.49
124755,16660,Cenchrus ciliaris,Grass,11.23,37.13,1.34,9.62,6.01,13.26,82.36,75.69,43.68,49.2
123875,16791,Cenchrus purpureus,Grass,10.99,39.18,1.99,11.71,8.86,14.67,85.97,80.49,41.45,62.04
124449,16791,Cenchrus purpureus,Grass,11.1,37.52,2.3,11.25,10.14,14.79,83.29,86.42,42.53,58.74
123876,16795,Cenchrus purpureus,Grass,12.11,40.56,2.16,11.56,8.76,13.99,89.38,83.38,42.95,59.34
124450,16795,Cenchrus purpureus,Grass,11.86,39.82,2.44,11.84,10.03,14.65,88.69,82.35,43.97,60.66
123734,168,Stylosanthes leiocarpa    ,Herbaceous_legumes,15.23,48.1,1.38,10.2,4.68,10.94,104.25,146.09,34.96,63.22
123877,16801,Cenchrus purpureus,Grass,12.49,41.12,2.16,11.56,8.51,13.81,90.76,86.44,43.0,59.37
124446,16801,Cenchrus purpureus,Grass,11.53,39.05,2.41,12.38,10.19,15.62,87.04,96.95,49.47,56.07
123878,16802,Cenchrus purpureus,Grass,10.94,37.4,2.03,11.46,9.12,15.05,82.04,82.62,41.47,61.73
124451,16802,Cenchrus purpureus,Grass,10.96,35.79,2.42,11.28,10.78,15.54,79.72,101.26,45.94,54.71
124452,16803,Cenchrus purpureus,Grass,9.92,35.43,2.14,11.57,10.52,16.12,79.46,90.61,46.75,55.5
123879,16803,Cenchrus purpureus,Grass,10.91,38.56,1.98,11.8,8.97,15.03,85.16,88.21,43.76,59.62
123880,16804,Cenchrus purpureus,Grass,12.09,41.2,2.12,13.36,8.66,15.93,91.76,88.41,45.72,65.17
124447,16804,Cenchrus purpureus,Grass,8.9,35.05,1.49,10.98,8.21,15.44,79.07,84.14,41.89,59.11
123881,16811,Cenchrus purpureus,Grass,11.29,39.65,2.0,11.89,8.71,14.74,86.98,74.37,41.01,63.66
124453,16811,Cenchrus purpureus,Grass,11.59,35.98,2.47,11.31,10.48,15.5,79.76,88.63,44.84,55.95
123882,16819,Cenchrus purpureus,Grass,11.91,39.94,2.17,11.78,8.83,14.48,89.2,88.91,42.95,61.31
124454,16819,Cenchrus purpureus,Grass,10.25,36.39,2.25,12.33,10.69,16.7,81.01,90.21,45.8,59.94
123883,16839,Cenchrus purpureus,Grass,12.46,39.75,2.22,11.95,8.66,14.75,87.41,85.69,42.94,61.34
124722,1707,Avena sativa,Grass,15.01,39.41,1.44,8.91,4.6,10.81,91.32,125.64,39.11,52.79
123887,1720    p 5,Avena sativa,Grass,25.79,56.28,2.23,12.07,4.24,10.54,127.43,106.41,35.44,77.22
123888,1720    p13,Avena sativa,Grass,24.27,54.98,2.36,12.47,4.78,11.15,123.9,104.66,36.97,76.09
122966,17757,Indigofera hirsuta,Herbaceous_legumes,9.02,30.31,1.08,5.97,5.96,9.94,66.06,143.22,30.6,42.85
124704,18071,Cenchrus ciliaris,Grass,9.35,36.0,1.17,9.18,6.82,13.67,80.38,94.63,43.58,48.12
124756,18071,Cenchrus ciliaris,Grass,14.07,44.43,1.45,11.33,5.16,13.1,99.83,87.47,45.83,55.51
125314,18077,Cenchrus ciliaris,Grass,8.41,32.91,1.46,9.21,8.57,13.8,73.09,74.74,39.82,52.14
124757,18077,Cenchrus ciliaris,Grass,12.03,41.79,1.31,11.28,5.5,13.88,92.78,87.98,46.54,53.78
122504,18557,Neonotonia wightii  ,Herbaceous_legumes,17.65,53.98,2.01,12.43,6.43,13.08,119.49,119.4,35.74,76.97
124716,18637,Lablab purpureues,Herbaceous_legumes,21.26,51.6,2.73,12.42,6.98,12.91,116.77,166.0,40.17,70.06
123761,19196,Calopogonium caeruleum    ,Shrub_Trees,15.26,41.84,1.91,10.35,6.43,12.77,90.11,124.79,36.87,60.47
123762,19240,Calopogonium  mucunoides,Shrub_Trees,19.23,48.31,2.04,10.77,5.48,11.52,105.53,133.9,36.97,63.78
122771,19338,Chamaecrista nictitans,Herbaceous_legumes,7.6,27.47,0.15,2.85,1.08,5.57,60.23,37.06,8.46,73.84
125315,19369,Cenchrus ciliaris,Grass,8.49,34.72,1.39,9.12,8.06,12.94,76.95,60.31,35.93,56.21
124758,19369,Cenchrus ciliaris,Grass,10.79,41.59,1.08,11.12,4.97,13.69,91.95,72.26,41.3,60.52
124759,19379,Cenchrus ciliaris,Grass,11.26,40.77,1.26,11.01,5.61,13.88,90.45,82.73,46.93,52.07
125316,19379,Cenchrus ciliaris,Grass,7.48,31.49,1.21,7.58,8.03,11.85,70.2,59.38,32.68,51.55
124760,19389,Cenchrus ciliaris,Grass,13.04,41.82,1.49,11.11,5.69,13.63,93.21,84.88,46.63,53.11
125317,19389,Cenchrus ciliaris,Grass,7.29,30.87,1.23,8.62,8.34,13.52,69.22,65.59,37.39,50.91
124705,19397,Cenchrus ciliaris,Grass,7.59,35.49,0.96,9.06,6.82,13.69,78.98,250.52,44.09,48.1
124761,19397,Cenchrus ciliaris,Grass,15.94,46.79,1.77,12.17,5.61,13.36,103.75,90.0,47.46,56.9
124706,19406,Cenchrus ciliaris,Grass,6.46,31.75,0.83,7.81,7.01,13.19,70.61,80.43,40.51,44.14
124762,19406,Cenchrus ciliaris,Grass,12.3,41.14,1.46,11.22,5.91,13.98,91.62,85.38,45.74,54.63
124763,19408,Cenchrus ciliaris,Grass,13.89,43.39,1.76,11.59,6.49,13.73,95.38,83.53,44.83,56.79
124707,19408,Cenchrus ciliaris,Grass,7.25,33.9,0.92,8.66,6.89,13.7,75.36,88.35,45.56,43.48
124764,19439,Cenchrus ciliaris,Grass,12.43,41.45,1.6,11.04,6.51,13.67,91.2,80.13,44.22,54.92
125318,19439,Cenchrus ciliaris,Grass,7.0,31.2,1.17,8.67,8.2,13.65,69.43,70.29,38.54,49.97
124708,19448,Cenchrus ciliaris,Grass,7.2,29.66,0.96,7.65,7.17,13.83,65.96,92.72,45.14,39.37
124765,19448,Cenchrus ciliaris,Grass,11.7,35.49,1.45,9.7,6.28,14.02,78.81,101.31,46.63,46.17
125319,19453,Cenchrus ciliaris,Grass,7.18,30.06,1.17,7.85,8.03,12.77,67.61,81.6,35.79,48.98
124766,19453,Cenchrus ciliaris,Grass,13.59,42.68,1.66,11.59,6.17,13.95,94.83,83.64,45.89,56.16
124709,19456,Cenchrus ciliaris,Grass,8.57,34.36,1.14,8.83,7.18,13.78,76.46,85.77,43.83,46.12
124767,19456,Cenchrus ciliaris,Grass,13.86,42.19,1.71,11.36,6.22,13.82,93.73,93.87,44.73,56.6
124768,19458,Cenchrus ciliaris,Grass,11.81,39.32,1.35,10.62,5.71,13.84,86.86,93.92,43.92,53.47
125320,19458,Cenchrus ciliaris,Grass,6.8,30.78,1.13,8.78,8.13,14.06,68.42,70.48,36.73,53.5
124769,19459,Cenchrus ciliaris,Grass,12.73,36.42,1.61,9.71,6.39,13.68,80.57,100.05,45.58,47.13
124710,19459,Cenchrus ciliaris,Grass,7.32,29.78,0.96,7.51,7.06,13.5,66.26,83.79,42.42,40.97
124770,19467,Cenchrus ciliaris,Grass,13.72,41.21,1.61,11.01,5.87,13.71,93.84,89.32,46.62,53.81
124711,19467,Cenchrus ciliaris,Grass,7.8,34.04,0.99,8.22,6.88,12.95,75.6,70.76,37.84,50.04
122854,19654,Codariocalyx gyroides,Shrub_Trees,10.31,30.01,0.82,4.66,4.25,8.27,65.26,119.43,17.82,56.89
122796,19978,Dolichos sp.,Herbaceous_legumes,23.93,47.62,3.1,12.38,6.63,13.34,104.46,151.64,37.01,73.33
122949,20145,Flemingia macrophylla    ,Shrub_Trees,10.49,24.13,1.65,4.98,7.99,10.47,52.75,653.16,26.17,42.2
122519,20351,Gliricidia sepium,Shrub_Trees,19.8,44.43,2.68,9.67,7.26,11.67,96.96,131.26,28.31,74.71
122497,20389,Gliricidia  sepium,Shrub_Trees,22.95,60.42,2.7,12.58,6.63,11.82,134.42,119.84,36.89,75.85
123723,20437,Glycin latifolia,Herbaceous_legumes,19.3,53.64,1.94,13.65,5.19,13.14,116.15,138.51,39.68,74.49
122942,20476,Glycine sp.,Herbaceous_legumes,19.28,50.27,3.32,13.9,8.76,14.01,110.78,115.23,38.03,80.58
122837,20578,Hyparrhenia hirta    ,Grass,7.43,37.4,0.79,8.08,5.64,11.59,81.02,52.63,29.31,59.69
123764,20669,Indigofera  hirsuta,Herbaceous_legumes,7.07,23.27,0.44,2.13,3.3,4.88,50.44,-942.41,8.82,52.8
122810,21029,Lablab purpureus subsp. bengalensis,Herbaceous_legumes,31.0,59.99,4.27,14.86,7.07,12.71,131.41,153.52,41.37,78.73
124717,21065,Lablab purpureues,Herbaceous_legumes,17.57,48.17,2.24,11.69,6.9,13.0,108.31,147.65,38.76,67.83
123726,21083,Lablab purprues subsp. Uncinatus,Herbaceous_legumes,15.77,45.72,1.79,11.32,5.84,12.79,98.79,109.76,41.74,58.67
123970,21101,Lespedeza daurica,Herbaceous_legumes,9.79,31.38,1.08,6.9,5.71,11.37,67.97,222.57,27.97,56.15
122925,21121,Leucaena collinsii    ,Shrub_Trees,17.28,44.74,2.93,11.96,8.83,13.59,96.4,136.15,33.5,76.91
122510,21139,Leucaena greggii  ,Shrub_Trees,12.35,30.01,1.23,3.1,5.64,5.9,66.35,81.15,10.34,66.4
