id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_NDF_digested_24h,methane_intensity,tddm
415,nan,Hordeum vulgare,Grass,59.5,108.16,7.76,16.5,13.03,15.25,229.26,6.47,41.06,85.27
414,nan,Hordeum vulgare,Grass,64.26,111.16,8.2,15.99,12.73,14.36,245.56,6.77,40.49,87.61
413,nan,Hordeum vulgare,Grass,55.37,99.99,7.21,14.71,12.98,14.71,212.8,5.43,39.43,80.91
412,nan,Hordeum vulgare,Grass,66.42,113.43,8.31,16.08,12.46,14.17,243.84,7.0,39.6,87.77
411,nan,Hordeum vulgare,Grass,60.98,110.88,8.04,16.3,13.16,14.68,237.19,6.84,42.9,83.13
410,nan,Hordeum vulgare,Grass,63.26,110.71,8.1,15.69,12.76,14.15,237.42,5.98,39.39,85.56
409,nan,Hordeum vulgare,Grass,62.64,109.6,7.95,15.46,12.67,14.11,234.48,6.02,44.53,77.58
408,nan,Hordeum vulgare,Grass,68.26,107.1,8.65,14.93,12.67,13.11,251.47,5.47,44.67,81.44
407,nan,Hordeum vulgare,Grass,61.59,110.27,8.03,15.87,13.06,14.43,231.77,6.12,41.83,81.69
406,nan,Hordeum vulgare,Grass,53.19,99.86,7.11,14.78,13.32,14.79,210.12,5.45,39.05,80.9
405,nan,Hordeum vulgare,Grass,56.59,105.88,7.4,15.37,13.03,14.51,223.39,5.36,42.87,80.18
404,nan,Hordeum vulgare,Grass,60.26,109.32,7.66,15.53,12.64,14.2,230.44,5.53,43.5,78.76
403,nan,Hordeum vulgare,Grass,54.03,100.77,7.2,14.71,13.3,14.6,212.19,6.02,36.79,84.42
402,nan,Hordeum vulgare,Grass,104.52,93.76,15.47,13.35,14.79,14.26,200.06,5.95,37.2,76.9
401,nan,Lathyrus sativus,Herbaceous_legumes,114.19,103.81,16.08,13.96,14.07,13.45,224.58,6.49,38.37,78.86
400,nan,Lathyrus sativus,Herbaceous_legumes,107.63,97.26,16.42,14.34,15.23,14.71,209.09,6.59,41.27,74.63
421,nan,Hordeum vulgare,Grass,64.56,117.82,8.23,17.37,12.76,14.75,236.74,7.87,39.9,87.49
447,nan,Hordeum vulgare,Grass,58.41,53.9,7.56,7.33,14.12,13.91,196.92,2.61,25.19,81.74
422,nan,Hordeum vulgare,Grass,56.33,111.38,7.3,16.42,12.94,14.75,236.05,7.11,40.0,87.08
424,nan,Hordeum vulgare,Grass,62.44,120.04,7.93,17.81,12.69,14.81,252.35,8.04,43.21,87.05
445,nan,Hordeum vulgare,Grass,73.41,75.12,8.42,8.82,12.66,12.77,246.44,3.95,27.25,90.82
444,nan,Hordeum vulgare,Grass,62.58,59.9,7.62,7.25,13.3,13.16,200.69,3.22,26.31,76.99
443,nan,Hordeum vulgare,Grass,50.72,95.32,5.47,12.22,10.73,12.82,202.12,5.13,33.51,77.5
442,nan,Hordeum vulgare,Grass,50.39,84.88,5.51,11.0,10.98,12.82,205.61,4.84,32.6,83.02
441,nan,Hordeum vulgare,Grass,50.83,104.88,6.29,15.14,12.37,14.44,219.67,5.57,36.26,87.83
440,nan,Hordeum vulgare,Grass,58.39,105.1,6.97,14.57,11.91,13.85,219.38,5.35,36.51,84.37
439,nan,Hordeum vulgare,Grass,52.11,103.99,6.8,15.54,13.04,14.95,218.39,5.75,38.75,84.89
438,nan,Hordeum vulgare,Grass,51.44,100.38,6.26,14.24,12.19,14.19,209.66,5.91,38.24,78.42
496,nan,Hordeum vulgare,Grass,114.31,110.01,13.69,13.1,11.99,11.59,233.34,5.21,33.56,82.8
436,nan,Hordeum vulgare,Grass,61.44,117.54,7.95,17.41,12.89,14.83,244.74,7.62,41.45,87.58
435,nan,Hordeum vulgare,Grass,59.0,113.16,7.48,16.61,12.63,14.65,237.81,7.57,39.81,87.58
434,nan,Hordeum vulgare,Grass,55.78,108.04,7.08,15.61,12.63,14.41,226.85,8.65,38.46,85.29
433,nan,Hordeum vulgare,Grass,60.28,109.99,7.23,15.0,11.97,13.62,228.34,7.44,39.01,80.03
432,nan,Hordeum vulgare,Grass,67.44,118.99,8.37,16.51,12.39,13.9,248.72,7.66,40.8,84.79
431,nan,Hordeum vulgare,Grass,75.78,126.6,9.47,18.2,12.51,14.37,265.18,9.15,43.37,88.2
430,nan,Hordeum vulgare,Grass,62.61,114.43,8.14,16.96,13.06,14.87,237.46,8.3,40.03,87.73
429,nan,Hordeum vulgare,Grass,64.39,115.21,8.14,16.51,12.6,14.29,240.91,7.53,39.98,86.29
428,nan,Hordeum vulgare,Grass,59.33,116.27,7.69,17.7,12.93,15.23,241.41,7.91,42.22,87.26
427,nan,Hordeum vulgare,Grass,67.5,119.88,8.61,17.63,12.76,14.71,249.94,7.29,41.96,87.8
426,nan,Hordeum vulgare,Grass,54.94,109.1,7.29,16.46,13.23,15.09,226.76,7.33,38.85,87.99
425,nan,Hordeum vulgare,Grass,68.28,118.66,8.34,16.78,12.26,14.17,246.77,7.75,39.32,88.74
423,nan,Hordeum vulgare,Grass,63.83,113.1,7.9,16.18,12.39,14.29,235.87,7.03,38.18,88.43
497,nan,Hordeum vulgare,Grass,112.03,110.23,12.73,12.66,11.42,10.97,234.58,4.98,32.73,82.03
499,nan,Hordeum vulgare,Grass,105.76,104.84,12.87,12.87,12.13,11.87,224.65,5.22,34.04,80.72
763,nan,Hordeum vulgare,Grass,63.17,66.37,11.35,11.92,17.38,17.37,143.98,3.9,49.49,51.92
762,nan,Hordeum vulgare,Grass,62.63,69.12,11.45,12.6,17.68,17.63,148.74,3.98,57.12,48.26
761,nan,Hordeum vulgare,Grass,64.65,67.5,12.79,13.32,19.31,19.34,149.87,3.93,69.47,43.0
760,nan,Hordeum vulgare,Grass,59.92,59.58,11.93,11.92,19.3,19.42,130.02,3.65,64.92,40.48
759,nan,Hordeum vulgare,Grass,63.26,63.11,12.44,12.48,19.25,19.49,137.01,3.68,63.54,42.78
758,nan,Hordeum vulgare,Grass,61.05,65.03,11.94,12.66,18.91,18.91,141.59,3.79,58.86,46.89
757,nan,Hordeum vulgare,Grass,62.09,64.2,12.19,12.59,19.01,19.14,139.22,3.71,57.59,47.8
756,nan,Hordeum vulgare,Grass,68.76,73.66,12.52,13.39,17.78,17.77,157.69,4.22,57.16,51.11
755,nan,Hordeum vulgare,Grass,53.33,54.44,9.16,9.49,16.97,17.04,116.18,2.68,42.62,46.87
754,nan,Hordeum vulgare,Grass,56.56,63.11,9.14,10.2,15.91,15.92,129.25,3.02,47.93,45.95
753,nan,Hordeum vulgare,Grass,60.72,59.67,9.89,9.79,16.0,15.7,121.02,2.86,42.1,48.19
752,nan,Hordeum vulgare,Grass,54.89,59.0,9.09,9.77,16.21,16.0,119.9,2.8,43.38,46.59
751,nan,Hordeum vulgare,Grass,52.11,58.0,8.59,9.55,16.39,16.46,118.01,2.69,46.82,42.44
750,nan,Hordeum vulgare,Grass,71.52,80.26,10.06,11.41,14.02,14.17,163.78,3.44,49.28,47.39
