id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24-3506,ABC-19895,Aeschynomene americana,Herbaceous_legumes,14.14,15.62,38.27,67.43
F24-3507,ABC-20093,Canavalia sp.,Herbaceous_legumes,14.71,15.94,37.98,65.75
F24-3508,ABC-20113,Canavalia sp.,Herbaceous_legumes,13.02,15.1,38.26,65.3
F24-3509,ABC-20125,Coursetia caribaea,Herbaceous_legumes,15.43,17.01,40.0,57.96
F25-0981,ABC-20207,Aeschynomene sensitiva,Herbaceous_legumes,12.38,13.03,46.04,42.06
F24-3510,ABC-20298,Canavalia sp.,Herbaceous_legumes,13.89,15.34,39.36,56.36
F24-3650,ABC-20303,Canavalia brasiliensis,Herbaceous_legumes,13.51,15.82,52.89,58.61
F25-0949,ABC-20304,Canavalia brasiliensis,Herbaceous_legumes,13.52,16.93,47.76,65.02
F24-3511,ABC-20305,Canavalia sp.,Herbaceous_legumes,12.71,14.72,35.46,62.07
F24-3651,ABC-20589,Uraria lagopodioides,Herbaceous_legumes,14.99,16.47,41.75,55.03
F25-0982,ABC-20709,Calopogonium mucunoides,Herbaceous_legumes,15.07,16.0,72.84,34.09
F24-3512,ABC-20803,Canavalia sp.,Herbaceous_legumes,13.8,15.98,42.62,55.7
F25-0935,ABC-20891,Cajanus cajan,Shrub_Trees,12.92,14.44,47.98,29.51
F24-3513,ABC-21031,Christia obcordata,Herbaceous_legumes,13.8,15.58,37.14,55.29
F24-3514,ABC-21128,Crotalaria pallida,Herbaceous_legumes,15.13,17.95,47.37,53.1
F24-3515,ABC-21212,Canavalia sp.,Herbaceous_legumes,13.34,16.14,40.3,66.3
F24-3516,ABC-21263,Sesbania rostrata,Shrub_Trees,14.32,15.06,37.31,60.43
F24-3517,ABC-21514,Desmanthus virgatus,Shrub_Trees,13.74,15.01,46.93,35.54
F24-3518,ABC-21565,Chamaecrista rotundifolia,Herbaceous_legumes,12.47,14.73,39.86,57.7
F25-0950,ABC-21603,Lablab purpureus,Herbaceous_legumes,13.82,15.45,56.99,53.44
F24-3652,ABC-21687,Desmanthus virgatus,Shrub_Trees,12.63,14.66,42.42,45.4
F24-3519,ABC-21709,Crotalaria juncea,Herbaceous_legumes,14.92,15.88,42.07,57.17
F24-3653,ABC-22048,Aeschynomene americana,Herbaceous_legumes,13.39,14.67,57.52,54.67
F24-3654,ABC-22156,Arachis pintoi,Herbaceous_legumes,12.54,14.41,53.45,56.59
F24-3520,ABC-22286,Crotalaria micans,Herbaceous_legumes,14.86,15.96,43.2,59.54
F24-3521,ABC-22475,Alysicarpus rugosus,Herbaceous_legumes,14.0,15.47,44.51,43.56
F24-3522,ABC-22481,Sesbania cochinchinensis,Shrub_Trees,13.89,14.44,31.77,51.99
F24-3655,ABC-22507,Desmanthus subulatus,Shrub_Trees,12.33,14.13,66.19,35.99
F24-3656,ABC-22510,Desmanthus bicornutus,Shrub_Trees,12.51,14.45,66.14,29.98
F24-3523,ABC-22520,Arachis pusilla,Herbaceous_legumes,13.09,14.92,40.72,51.33
F24-3524,ABC-22570,Desmanthus bicornutus,Shrub_Trees,13.38,14.62,24.79,36.77
F24-3525,ABC-22594,Desmanthus pernambucanus,Shrub_Trees,13.66,14.93,35.36,38.96
F24-3657,ABC-22598,Lablab purpureus,Herbaceous_legumes,15.02,15.85,54.86,47.11
F24-3526,ABC-22754,Lablab purpureus,Herbaceous_legumes,13.58,15.12,43.13,51.68
F25-0932,ABC-22768,Lablab purpureus,Herbaceous_legumes,14.17,15.71,49.54,64.18
F25-0933,ABC-22770,Lablab purpureus,Herbaceous_legumes,14.1,15.64,47.68,68.75
F24-3658,ABC-22784,Desmanthus bicornutus,Shrub_Trees,12.84,14.94,51.82,37.08
F24-3527,ABC-22915,Aeschynomene villosa,Herbaceous_legumes,13.71,15.35,41.67,58.09
F25-0951,ABC-23248,Desmodium velutinum,Shrub_Trees,14.16,16.2,49.94,53.11
F24-3528,ABC-23259,Desmodium gangeticum,Shrub_Trees,15.36,16.83,37.41,51.49
F25-0952,ABC-23271,Desmodium velutinum,Shrub_Trees,13.81,16.05,45.15,53.06
F25-0953,ABC-23279,Desmodium velutinum,Shrub_Trees,14.41,16.41,59.41,46.68
F25-0954,ABC-23326,Desmodium velutinum,Shrub_Trees,14.26,16.47,53.1,46.52
F24-3529,ABC-23339,Desmodium gangeticum,Shrub_Trees,15.24,16.87,35.07,53.81
F24-3530,ABC-23761,Uraria picta,Herbaceous_legumes,12.26,13.68,33.56,44.14
F24-3531,ABC-24360,Vigna umbellata,Herbaceous_legumes,13.99,15.44,37.12,52.16
F24-3532,ABC-24466,Vigna umbellata,Herbaceous_legumes,13.63,14.71,31.71,61.87
F24-3659,ABC-25113,Centrosema brasilianum,Herbaceous_legumes,14.63,15.7,55.26,43.93
F25-0984,ABC-25522,Centrosema macrocarpum,Herbaceous_legumes,13.89,15.31,59.89,43.72
F25-0985,ABC-25704,Centrosema molle x acutifolium,Herbaceous_legumes,13.27,14.13,63.12,34.37
F24-3547,ABC-2613,Stylosanthes guianensis,Herbaceous_legumes,11.55,12.15,88.62,30.9
F25-0960,ABC-3187,Desmodium cajanifolium,Shrub_Trees,12.83,14.49,35.08,70.3
F24-3533,ABC-32246,Chamaecrista nictitans,Herbaceous_legumes,13.48,15.7,46.27,42.36
F24-3534,ABC-32365,Desmanthus virgatus,Shrub_Trees,12.9,14.73,37.06,35.6
F24-3535,ABC-32373,Desmanthus pubescens,Shrub_Trees,12.34,14.13,31.7,42.56
F24-3536,ABC-32379,Desmanthus pubescens,Shrub_Trees,12.53,14.73,36.5,52.51
F24-3537,ABC-32380,Desmanthus pubescens,Shrub_Trees,12.96,15.24,44.36,39.27
F24 3428,ABC-3240,Desmodium cinereum,Herbaceous_legumes,17.96,18.55,39.06,56.51
F24-3660,ABC-33114,Dendrolobium sp.,Shrub_Trees,13.69,15.27,58.31,26.15
F24-3538,ABC-33249,Desmodium velutinum,Shrub_Trees,14.49,15.65,50.33,41.65
F25-0955,ABC-33255,Desmodium velutinum,Shrub_Trees,15.04,16.62,49.46,47.06
F25-0956,ABC-33428,Desmodium velutinum,Shrub_Trees,14.39,15.82,35.5,52.17
F25-0957,ABC-33451,Desmodium velutinum,Shrub_Trees,13.04,13.92,43.3,43.25
F25-0958,ABC-33463,Desmodium velutinum,Shrub_Trees,14.49,16.29,36.56,57.77
F25-0986,ABC-33729,Desmodium cinereum,Shrub_Trees,14.3,14.9,46.49,41.62
F25-0987,ABC-33827,Desmodium incanum,Herbaceous_legumes,12.8,14.98,90.32,22.28
F25-0959,ABC-350,Desmodium heterocarpon,Herbaceous_legumes,12.3,13.37,32.84,41.39
F24 3429,ABC-3522,Desmodium incanum,Herbaceous_legumes,15.64,17.48,39.25,37.71
F24 3429,ABC-3522,Desmodium incanum,Herbaceous_legumes,15.64,17.48,39.25,37.71
F24-3619,ABC-3813,Desmodium sequax,Herbaceous_legumes,13.71,15.03,47.74,23.81
F24-3612,ABC-398,Desmodium incanum,Herbaceous_legumes,13.99,15.66,49.86,37.94
F25-0961,ABC-4028,Galactia glaucescens,Herbaceous_legumes,11.34,13.36,40.58,30.53
F24 3430,ABC-4134,Macroptilium lathyroides,Herbaceous_legumes,16.37,17.99,42.33,66.52
F24 3431,ABC-4279,Vigna umbellata,Herbaceous_legumes,16.66,17.91,41.87,70.2
F24 3431,ABC-4279,Vigna umbellata,Herbaceous_legumes,16.66,17.91,41.87,70.2
F24-3662,ABC-43477,Desmodium cinereum,Shrub_Trees,15.27,16.01,72.97,32.23
F24-3613,ABC-438,Centrosema molle x acutifolium,Herbaceous_legumes,14.41,15.63,44.76,38.37
F24-3614,ABC-442,Centrosema molle x acutifolium,Herbaceous_legumes,14.57,15.9,52.27,43.3
F24-3615,ABC-466,Vigna umbellata,Herbaceous_legumes,14.22,15.95,46.59,62.59
F24 3432,ABC-5124,Centrosema molle x acutifolium,Herbaceous_legumes,16.01,17.43,36.76,58.03
F25-0936,ABC-5172,Centrosema molle,Herbaceous_legumes,13.16,14.26,50.12,35.41
F24 3433,ABC-5234,Centrosema brasilianum,Herbaceous_legumes,14.16,16.17,37.63,61.53
F25-0962,ABC-5277,Centrosema acutifolium,Herbaceous_legumes,13.27,14.97,46.87,57.08
F25-0937,ABC-5452,Centrosema macrocarpum,Herbaceous_legumes,12.74,14.37,56.12,36.16
F24-3620,ABC-5512,Centrosema brasilianum,Herbaceous_legumes,14.28,16.09,45.89,59.21
F24-3621,ABC-5568,Centrosema acutifolium,Herbaceous_legumes,14.09,15.92,52.67,44.5
F24-3622,ABC-5657,Centrosema brasilianum,Herbaceous_legumes,12.8,14.93,47.4,50.66
F25-0938,ABC-5733,Centrosema macrocarpum,Herbaceous_legumes,13.21,14.72,48.62,43.99
F25-0939,ABC-5735,Centrosema macrocarpum,Herbaceous_legumes,13.9,15.3,47.18,51.89
