id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
737,nan,Hordeum vulgare,Grass,15.1,15.16,55.51,41.17
736,nan,Hordeum vulgare,Grass,15.04,15.1,54.68,50.23
735,nan,Hordeum vulgare,Grass,16.02,15.96,59.7,39.13
734,nan,Hordeum vulgare,Grass,15.82,15.78,58.8,34.66
733,nan,Hordeum vulgare,Grass,15.97,15.93,54.28,41.85
732,nan,Hordeum vulgare,Grass,15.92,15.92,56.6,45.91
731,nan,Hordeum vulgare,Grass,16.72,16.64,59.73,42.68
730,nan,Hordeum vulgare,Grass,16.13,16.06,58.24,43.8
729,nan,Hordeum vulgare,Grass,14.56,14.53,50.85,44.79
498,nan,Hordeum vulgare,Grass,11.29,7.96,32.84,83.84
728,nan,Hordeum vulgare,Grass,15.01,14.88,54.08,39.84
726,nan,Hordeum vulgare,Grass,14.96,14.5,46.62,40.23
725,nan,Hordeum vulgare,Grass,13.93,13.52,46.43,46.56
724,nan,Hordeum vulgare,Grass,14.02,13.49,67.98,36.25
723,nan,Hordeum vulgare,Grass,14.33,14.06,66.23,37.82
722,nan,Hordeum vulgare,Grass,14.44,13.95,58.76,37.44
721,nan,Hordeum vulgare,Grass,14.4,13.93,61.1,36.23
720,nan,Hordeum vulgare,Grass,14.14,13.61,56.64,46.55
719,nan,Hordeum vulgare,Grass,14.37,13.98,75.47,35.5
718,nan,Hordeum vulgare,Grass,14.23,13.43,49.05,46.6
717,nan,Hordeum vulgare,Grass,14.82,14.4,77.2,31.78
727,nan,Hordeum vulgare,Grass,15.18,15.07,43.35,42.99
398,nan,Lathyrus sativus,Herbaceous_legumes,14.52,13.96,37.81,77.65
387,nan,Lathyrus sativus,Herbaceous_legumes,14.86,14.18,40.8,68.51
396,nan,Lathyrus sativus,Herbaceous_legumes,14.38,13.66,37.22,78.21
115,nan,trifollium stellatum,Herbaceous_legumes,14.58,16.36,48.31,54.25
114,nan,Trifolium tomentosum ,Herbaceous_legumes,14.41,16.28,53.07,74.68
113,nan,Trifolium clypeatum,Herbaceous_legumes,15.22,16.59,51.16,65.12
112,nan,Trifolium boissieri,Herbaceous_legumes,14.43,15.88,53.85,57.26
111,nan,Lathyrus cassius,Herbaceous_legumes,15.77,17.04,46.2,72.12
110,nan,Lathyrus vinealis ,Herbaceous_legumes,14.98,17.14,57.83,73.42
