id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
122782,7000,Chamaecrista pilosa,Herbaceous_legumes,6.97,11.86,37.05,73.46
123869,7153,Panicum coloratum,Grass,6.04,12.72,37.9,61.16
123681,7266,Canavalia brasiliensis,Herbaceous_legumes,5.33,12.16,38.98,64.14
123799,7280,Macroptilium bracteatum,Herbaceous_legumes,6.32,12.65,37.5,59.93
123710,7315,Lotononis listil,Herbaceous_legumes,5.1,11.91,37.1,75.43
123870,7384,Chloris gayana,Grass,6.11,13.5,42.51,46.63
122970,7522,Tephrosia elata,Herbaceous_legumes,5.48,12.02,35.51,55.83
122960,7559,Rhynchosia minima    ,Herbaceous_legumes,7.24,11.94,35.36,67.26
122824,7782,Crotalaria incana,Herbaceous_legumes,5.45,10.94,30.84,64.73
122849,8123,Trifolium burchellianum,Herbaceous_legumes,3.95,9.91,31.09,89.83
124095,8266,Trifolium burchellianum,Herbaceous_legumes,5.54,12.96,42.8,80.93
122801,8367,Vicia villosa,Herbaceous_legumes,7.47,13.34,36.85,78.8
122766,8446,Crotalaria distantiflora,Herbaceous_legumes,6.21,12.03,30.85,75.15
122853,8624,Trifolium burchellianum,Herbaceous_legumes,4.12,5.27,7.66,62.15
124098,8680,Trifolium burchellianum,Herbaceous_legumes,5.57,12.79,42.44,83.12
123711,9270,Mucuan Proiens,Herbaceous_legumes,5.32,12.67,35.93,71.35
122969,9287,Stylosanthes humilis,Herbaceous_legumes,7.01,12.54,50.43,64.75
123737,9314,Faidherbia albida    ,Shrub_Trees,4.54,9.2,17.51,37.18
124727,9334,Vigna unguiculata,Herbaceous_legumes,5.77,12.03,36.42,74.15
124728,9339,Vigna unguiculata,Herbaceous_legumes,6.48,12.23,42.68,74.98
124729,9349,Vigna unguiculata,Herbaceous_legumes,7.29,12.89,45.7,73.96
124730,9353,Vigna unguiculata,Herbaceous_legumes,6.33,12.58,38.61,76.51
122813,947,Trifolium semipilosum,Herbaceous_legumes,7.0,13.61,44.21,85.42
124731,9624,Vigna unguiculata,Herbaceous_legumes,6.38,12.71,42.91,76.39
124732,9643,Vigna unguiculata,Herbaceous_legumes,6.58,12.86,36.07,78.94
124100,9764,Trifolium burchellianum,Herbaceous_legumes,4.76,12.13,37.34,83.38
122978,9933,Desmanthus acuminatus,Shrub_Trees,7.11,12.75,38.84,46.25
