id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml/g_dm_incubated_24h,ch4_ml/g_NDF_digested_24h,methane_intensity,tddm
F24-3518,ABC-21565,Chamaecrista rotundifolia,Herbaceous,36.78,71.66,4.58,10.59,12.47,14.73,154.6,-104.9,39.86,57.7
F24-3519,ABC-21709,Crotalaria juncea,Herbaceous,39.29,69.74,5.86,11.08,14.92,15.88,151.26,-157.46,42.07,57.17
F24-3520,ABC-22286,Crotalaria micans,Herbaceous,36.48,74.76,5.42,11.93,14.86,15.96,159.67,-205.27,43.2,59.54
F24-3521,ABC-22475,Alysicarpus rugosus,Herbaceous,31.22,59.17,4.37,9.19,14.0,15.47,125.62,-51.16,44.51,43.56
F24-3522,ABC-22481,Sesbania cochinchinensis,Shrub,30.63,52.58,4.26,7.59,13.89,14.44,114.3,-121.7,31.77,51.99
F24-3523,ABC-22520,Arachis pusilla,Herbaceous,32.8,64.53,4.31,9.67,13.09,14.92,138.62,-85.05,40.72,51.33
F24-3524,ABC-22570,Desmanthus bicornutus,Shrub,20.63,28.26,2.76,4.2,13.38,14.62,60.98,-29.93,24.79,36.77
F24-3525,ABC-22594,Desmanthus pernambucanus,Shrub,27.09,43.49,3.7,6.52,13.66,14.93,91.94,-43.7,35.36,38.96
F24-3526,ABC-22754,Lablab purpureus,Climber,42.1,67.48,5.72,10.23,13.58,15.12,147.12,-134.67,43.13,51.68
F24-3527,ABC-22915,Aeschynomene villosa,Herbaceous,40.76,72.35,5.59,11.12,13.71,15.35,157.1,1152.49,41.67,58.09
F24-3528,ABC-23259,Desmodium gangeticum,Shrub,27.44,53.1,4.22,8.94,15.36,16.83,114.3,-78.63,37.41,51.49
F24-3529,ABC-23339,Desmodium gangeticum,Shrub,27.34,52.34,4.17,8.84,15.24,16.87,111.66,-87.3,35.07,53.81
F24-3530,ABC-23761,Uraria picta,Herbaceous,32.55,50.91,3.99,6.99,12.26,13.68,107.11,-39.21,33.56,44.14
