id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml/g_dm_incubated_24h,ch4_ml/g_NDF_digested_24h,methane_intensity,tddm
F25-2111,CIAT-BR12_4039,Brachiaria interespecifico,Grasses,30.95,77.67,3.79,11.09,12.23,14.29,21.38,29.13,38.13,56.17
F25-2112,CIAT-BR12_4856,Brachiaria interespecifico,Grasses,28.94,72.71,3.63,10.26,12.56,14.1,20.06,20.7,40.7,49.55
F25-2113,CIAT-BR12_5049,Brachiaria interespecifico,Grasses,32.03,79.05,4.09,11.53,12.74,14.58,22.5,18.43,44.66,50.57
F25-2114,CIAT-BR15_1851,Brachiaria interespecifico,Grasses,33.8,82.64,4.33,11.87,12.8,14.36,22.93,17.77,45.29,51.12
F25-2115,CIAT-BR15_3025,Brachiaria interespecifico,Grasses,33.56,79.93,4.31,11.42,12.84,14.28,22.16,20.37,42.43,52.27
F25-2116,CIAT-BR15_3248,Brachiaria interespecifico,Grasses,31.79,78.46,4.03,11.36,12.69,14.48,21.9,22.3,40.34,54.32
F25-2117,CIAT-BR15_7659,Brachiaria interespecifico,Grasses,32.92,80.48,4.08,11.33,12.39,14.07,21.66,21.68,41.22,52.92
F25-2118,CIAT-BR15_8919,Brachiaria interespecifico,Grasses,29.97,79.2,3.72,11.11,12.42,14.02,21.96,22.36,43.24,50.93
F25-2119,CIAT-BR19_5515,Brachiaria interespecifico,Grasses,33.06,82.64,4.09,11.6,12.34,14.04,23.48,21.19,45.3,52.02
F25-2120,CIAT-BR19_5877,Brachiaria interespecifico,Grasses,32.43,80.92,4.12,11.53,12.69,14.25,22.63,17.63,46.91,50.01
F25-2121,CIAT-BR19_6136,Brachiaria interespecifico,Grasses,32.03,78.56,4.05,11.11,12.63,14.14,21.86,9.99,48.9,46.05
F25-1651,CIAT-798,Galactia striata,Climber,36.51,82.59,4.65,12.35,12.72,14.94,24.32,12.98,53.66,49.62
F25-1652,CIAT-822,Calopogonium mucunoides,Climber,36.85,69.36,5.16,10.57,14.01,15.25,20.43,0.04,43.7,49.82
F25-1653,CIAT-852,Dioclea sericea,Climber,18.07,33.08,2.13,4.31,11.81,13.06,8.39,-37.15,43.16,23.64
F25-1654,CIAT-907,Dioclea virgata,Climber,26.13,62.23,3.54,9.68,13.54,15.55,18.76,-1.67,57.71,36.64
F25-1655,CIAT-1992,Stylosanthes guianensis,Herbaceous,30.06,69.11,3.56,8.99,11.81,13.01,17.54,0.82,48.53,39.69
F25-1656,CIAT-3001,Codariocalyx gyroides,Shrub,24.41,49.94,3.07,7.02,12.54,14.04,13.71,-11.84,45.13,34.35
F25-1657,CIAT-3304,Desmodium cajanifolium,Shrub,44.82,79.69,5.99,11.61,13.34,14.55,22.52,-12.85,54.83,43.46
F25-1658,CIAT-5713,Centrosema macrocarpum,Climber,37.34,72.85,5.2,11.31,13.92,15.52,21.89,-32.88,60.77,38.7
F25-1659,CIAT-7381,Galactia glaucescens,Herbaceous,22.05,41.78,2.79,6.1,12.66,14.6,11.72,-34.62,105.18,21.46
F25-1660,CIAT-7799,Dioclea guianensis,Climber,18.61,37.16,2.29,5.02,12.31,13.49,9.82,-30.91,102.97,13.27
F25-1661,CIAT-7803,Dioclea holtiana,Climber,22.1,43.21,2.52,5.5,11.41,12.73,10.7,-24.17,68.49,24.78
F25-1662,CIAT-8182,Eriosema diffusum,Herbaceous,25.0,44.39,3.26,6.46,13.1,14.59,12.51,-25.71,118.46,21.92
F25-1663,CIAT-8434,Dioclea sericea,Climber,25.25,47.68,3.4,7.17,13.44,15.03,14.18,-27.7,97.89,19.87
F25-1664,CIAT-8702,Calopogonium caeruleum,Climber,30.61,56.97,4.43,9.17,14.46,16.11,17.98,-24.55,68.3,31.99
F25-1665,CIAT-8816,Crotalaria micans,Herbaceous,49.78,88.1,6.88,13.45,13.81,15.27,26.26,16.7,43.29,62.44
F25-2144,CIAT-BH16_1763,Urochloa humidicola,grasses,34.96,84.49,4.29,11.68,12.28,13.82,22.18,31.52,41.73,53.52
F25-2145,CIAT-BH16B_2165,Urochloa humidicola,grasses,34.37,88.67,4.32,12.64,12.58,14.24,23.72,36.53,43.54,54.77
F25-2146,CIAT-BH16B_2167,Urochloa humidicola,grasses,31.62,83.66,4.0,11.6,12.67,13.87,21.41,30.72,43.77,49.81
F25-2147,CIAT-CIAT_16886,Urochloa humidicola,grasses,33.29,84.74,4.38,11.96,13.17,14.11,22.12,35.81,40.89,54.54
F25-2148,CIAT-CIAT_16891,Urochloa humidicola,grasses,30.83,79.63,3.89,11.16,12.63,14.03,20.54,26.35,41.7,49.99
F25-2149,CIAT-CIAT_26146,Urochloa humidicola,grasses,31.22,87.59,3.94,12.33,12.61,14.08,22.48,33.79,44.07,51.97
F25-2150,CIAT-CIAT_26149,Urochloa humidicola,grasses,34.57,88.18,4.3,12.36,12.44,14.02,22.81,30.29,43.75,52.93
F25-2151,CIAT-CIAT_26160,Urochloa humidicola,grasses,31.91,84.89,4.09,12.18,12.82,14.34,22.59,30.61,44.14,52.52
F25-2152,CIAT-CIAT_26415,Urochloa humidicola,grasses,30.48,79.09,3.68,10.8,12.09,13.65,20.19,25.3,42.34,48.43
F25-2153,CIAT-BH22_4092,Urochloa humidicola,grasses,36.83,84.0,4.64,11.85,12.6,14.1,22.23,22.61,47.17,47.84
F25-2154,CIAT-CIAT_26438,Urochloa humidicola,grasses,33.73,84.44,4.23,11.77,12.53,13.92,21.74,10.35,101.65,34.95
F25-2155,CIAT-CIAT_26570,Urochloa humidicola,grasses,33.53,78.05,4.45,11.36,13.28,14.55,21.08,4.19,88.85,36.37
F25-2156,CIAT-BH22_3115,Urochloa humidicola,grasses,31.02,84.54,3.77,11.71,12.14,13.86,22.23,12.06,62.56,37.57
F25-2157,CIAT-BH22_1375,Urochloa humidicola,grasses,35.21,87.95,4.38,12.37,12.44,14.06,23.76,9.28,71.42,38.62
F25-2158,CIAT-CIAT_6133,Urochloa humidicola,grasses,29.89,83.61,3.69,11.6,12.34,13.88,22.12,10.89,86.18,35.05
F25-2159,CIAT-CIAT_679,Urochloa humidicola,grasses,33.09,89.41,4.11,12.48,12.42,13.96,24.04,6.82,80.93,34.05
F25-2160,CIAT-BH22_4865,Urochloa humidicola,grasses,29.01,75.45,3.72,10.64,12.84,14.1,20.23,2.11,69.45,34.09
F25-2161,CIAT-BH22_1706,Urochloa humidicola,grasses,27.48,76.97,3.41,10.69,12.42,13.89,20.08,2.51,82.91,29.45
F25-2162,CIAT-BH22_4169,Urochloa humidicola,grasses,26.16,75.45,3.38,10.71,12.93,14.2,19.96,0.19,86.19,27.87
F25-2163,CIAT-BH22_1258,Urochloa humidicola,grasses,31.96,82.13,4.11,11.53,12.87,14.04,21.43,-1.69,82.25,27.68
F25-2164,CIAT-BH22_1370,Urochloa humidicola,grasses,28.56,74.71,3.68,10.46,12.89,13.99,19.56,3.39,67.25,36.08
F25-2165,CIAT-BH22_2225,Urochloa humidicola,grasses,31.12,81.0,4.14,11.66,13.31,14.4,21.83,4.47,103.85,30.15
F25-2166,CIAT-BH22_0528,Urochloa humidicola,grasses,26.06,71.42,3.37,10.0,12.93,14.0,18.79,-4.54,146.98,23.11
F25-2167,CIAT-BH22_3507,Urochloa humidicola,grasses,27.98,70.23,3.58,9.8,12.79,13.93,18.59,-7.33,113.16,22.86
F25-2168,CIAT-BH22_4253,Urochloa humidicola,grasses,30.68,74.71,3.98,10.46,12.99,14.01,19.88,-4.91,93.59,28.65
F25-2169,CIAT-BH22_2189,Urochloa humidicola,grasses,28.61,69.99,3.7,9.83,12.93,14.04,18.84,-6.17,76.17,27.59
F25-2170,CIAT-BH22_0765,Urochloa humidicola,grasses,29.79,72.3,4.03,10.26,13.54,14.22,19.52,0.86,117.87,28.37
F25-2171,CIAT-BH22_2531,Urochloa humidicola,grasses,29.94,77.02,3.78,10.83,12.53,14.02,20.97,1.39,143.87,29.77
F25-2172,CIAT-BH22_0132,Urochloa humidicola,grasses,29.11,73.92,3.7,10.25,12.72,13.86,19.32,-2.79,95.25,26.1
F25-2173,CIAT-BH22_3521,Urochloa humidicola,grasses,29.6,71.27,3.89,9.99,13.17,14.02,18.53,-6.6,121.53,27.73
F25-2174,CIAT-BH22_2074,Urochloa humidicola,grasses,32.6,83.36,4.38,12.1,13.41,14.49,24.98,8.01,71.56,37.63
F25-2175,CIAT-BH22_0456,Urochloa humidicola,grasses,34.06,90.72,4.47,12.78,13.02,13.91,26.03,3.94,102.73,34.77
F25-2176,CIAT-BH22_1832,Urochloa humidicola,grasses,32.84,87.1,4.32,12.28,13.25,14.22,25.77,6.97,141.93,32.5
F25-2177,CIAT-BH22_1872,Urochloa humidicola,grasses,33.58,87.25,4.36,12.53,13.05,14.42,26.18,-5.62,316.34,24.68
F25-2178,CIAT-BH22_0071,Urochloa humidicola,grasses,29.7,77.32,3.84,11.0,13.04,14.37,23.56,-1.84,145.75,27.72
F25-2179,CIAT-BH22_4454,Urochloa humidicola,grasses,34.17,81.3,4.59,11.89,13.6,14.85,25.33,-0.35,131.33,31.18
F25-2180,CIAT-BH22_1267,Urochloa humidicola,grasses,32.29,85.47,4.09,12.08,12.74,14.34,26.42,0.88,270.12,29.82
F25-2181,CIAT-BH22_1303,Urochloa humidicola,grasses,32.25,83.9,4.2,11.92,13.15,14.47,26.36,4.72,101.14,31.28
F25-2182,CIAT-BH22_2508,Urochloa humidicola,grasses,35.3,84.94,4.73,12.34,13.44,14.59,25.57,-3.29,111.51,27.25
F25-2183,CIAT-BH22_2046,Urochloa humidicola,grasses,34.91,85.53,4.39,11.92,12.75,14.2,26.15,-1.57,102.72,28.61
F25-0017,Hohenheimer Heustandard,Hohenheimer Heustandard,Concentrate,22.18,45.27,3.2,7.1,14.45,15.7,31.62,-14.24,88.39,45.44
F252174,CIAT-BH22_2074,Urochloa humidicola,grasses,28.1,87.46,3.48,12.4,12.4,14.14,25.59,28.72,48.82,52.78
F252175,CIAT-BH22_0456,Urochloa humidicola,grasses,27.81,81.83,3.56,11.09,12.8,13.55,22.9,26.95,45.49,50.37
F252176,CIAT-BH22_1832,Urochloa humidicola,grasses,28.1,81.68,3.58,11.13,12.73,13.63,22.87,28.45,47.51,48.27
F252177,CIAT-BH22_1872,Urochloa humidicola,grasses,28.1,79.47,3.54,11.01,12.6,13.85,22.54,25.97,47.76,47.33
F252178,CIAT-BH22_0071,Urochloa humidicola,grasses,25.0,72.24,3.17,9.86,12.67,13.65,20.3,23.96,44.3,45.85
F252179,CIAT-BH22_4454,Urochloa humidicola,grasses,30.46,78.29,3.99,11.21,13.1,14.32,22.96,20.89,50.09,45.93
F252180,CIAT-BH22_1267,Urochloa humidicola,grasses,27.51,79.47,3.42,10.87,12.43,13.68,22.23,15.04,55.75,39.89
F252181,CIAT-BH22_1303,Urochloa humidicola,grasses,26.48,77.99,3.35,10.74,12.67,13.77,22.16,27.05,47.14,47.07
F252182,CIAT-BH22_2508,Urochloa humidicola,grasses,29.87,79.61,3.87,11.15,12.97,14.01,22.77,29.76,44.9,50.9
F252183,CIAT-BH22_2046,Urochloa humidicola,grasses,30.31,80.21,3.69,10.76,12.2,13.42,22.16,24.17,47.65,46.42
