gender,species,id,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
Stylosanthes,hamata,CIAT-1467,38.82,95.0,204.98,56.84,2.77,12.8,14.34,29.39,51.7,239.6
Stylosanthes,hamata,CIAT-1475,51.92,101.95,220.07,62.87,2.86,13.4,14.77,32.51,51.71,239.57
Stylosanthes,hamata,CIAT-1475,52.42,95.95,211.37,55.28,2.62,13.3,14.75,31.18,56.4,256.05
Stylosanthes,hamata,CIAT-1475,51.42,94.95,208.96,60.83,2.91,13.3,14.9,31.14,51.2,232.66
Stylosanthes,hamata,CIAT-1475,44.55,99.07,213.76,57.49,2.69,13.5,14.99,32.03,55.72,258.23
Stylosanthes,hamata,CIAT-1475,43.05,90.07,198.25,53.56,2.7,13.5,14.86,29.45,55.0,249.86
Stylosanthes,hamata,CIAT-1475,43.55,92.07,202.81,49.99,2.47,13.5,14.92,30.27,60.54,274.81
Stylosanthes,hamata,CIAT-1475,40.32,96.0,207.14,58.79,2.84,12.8,14.42,29.88,50.82,235.54
Stylosanthes,hamata,CIAT-1475,39.32,89.5,197.03,53.99,2.74,12.7,14.38,28.34,52.49,238.42
Stylosanthes,hamata,CIAT-1475,39.32,89.5,197.11,53.53,2.72,13.0,14.51,28.61,53.45,242.66
Stylosanthes,hamata,CIAT-172,28.84,72.98,160.08,46.54,2.91,13.3,14.51,23.23,49.91,278.71
Stylosanthes,hamata,CIAT-172,30.61,77.4,169.79,43.93,2.59,13.2,14.41,24.46,55.69,318.99
Stylosanthes,hamata,CIAT-172,27.95,72.98,160.08,38.47,2.4,13.1,14.15,22.65,58.88,360.67
Stylosanthes,hamata,CIAT-172,30.81,71.74,157.25,20.02,1.27,12.5,14.04,22.08,110.28,1393.9
Stylosanthes,hamata,CIAT-172,37.1,78.03,171.06,43.42,2.54,12.4,14.08,24.08,55.47,319.65
Stylosanthes,hamata,CIAT-172,35.33,75.82,166.17,42.44,2.55,12.4,14.11,23.45,55.24,321.85
Stylosanthes,humilis,CIAT-10440,42.05,96.18,214.29,61.72,2.88,12.2,13.72,29.4,47.63,213.78
Stylosanthes,humilis,CIAT-10440,46.55,92.18,204.21,47.27,2.31,13.1,14.09,28.77,60.87,274.74
Stylosanthes,humilis,CIAT-10440,45.05,91.18,202.08,60.75,3.01,12.6,14.12,28.53,46.96,211.89
Stylosanthes,humilis,CIAT-10440,40.51,95.35,212.49,34.24,1.61,12.4,13.61,28.92,84.46,378.99
Stylosanthes,humilis,CIAT-10440,39.51,90.35,200.13,61.28,3.06,12.4,13.69,27.41,44.72,201.91
Stylosanthes,humilis,CIAT-10440,42.51,93.35,206.73,49.04,2.37,12.2,13.56,28.04,57.17,258.14
Stylosanthes,humilis,CIAT-10440,38.66,92.89,206.92,35.36,1.71,11.9,13.71,28.37,80.24,360.2
Stylosanthes,humilis,CIAT-10440,39.66,86.39,191.39,55.63,2.91,11.9,13.74,26.3,47.27,213.38
Stylosanthes,humilis,CIAT-10440,41.66,88.89,196.81,58.93,2.99,11.7,13.72,27.0,45.82,206.95
Stylosanthes,humilis,CIAT-11624,27.55,65.68,143.55,47.83,3.33,12.5,12.15,17.44,36.47,166.87
Stylosanthes,humilis,CIAT-11624,33.05,76.18,165.47,47.11,2.85,12.3,13.09,21.66,45.99,211.71
Stylosanthes,humilis,CIAT-11624,32.55,73.68,160.07,59.81,3.74,12.9,13.51,21.63,36.17,166.48
Stylosanthes,humilis,CIAT-11624,31.01,70.35,153.65,48.26,3.14,12.2,12.48,19.18,39.73,181.92
Stylosanthes,humilis,CIAT-11624,37.01,83.85,182.17,29.87,1.64,12.0,12.89,23.49,78.64,361.96
Stylosanthes,humilis,CIAT-11624,38.01,86.35,187.64,63.21,3.37,12.1,13.05,24.49,38.74,178.3
Stylosanthes,humilis,CIAT-11624,32.16,70.89,154.89,35.74,2.31,11.3,12.01,18.6,52.04,238.2
Stylosanthes,humilis,CIAT-11624,42.16,86.89,188.73,57.38,3.04,11.5,13.35,25.2,43.92,202.2
Stylosanthes,humilis,CIAT-11624,40.66,87.89,190.94,46.86,2.45,11.8,13.3,25.4,54.21,249.54
Stylosanthes,humilis,CIAT-11690,36.55,80.68,175.28,52.23,2.98,12.9,13.67,23.95,45.86,211.11
Stylosanthes,humilis,CIAT-11690,36.55,78.68,173.54,42.45,2.45,12.3,13.42,23.3,54.88,248.79
Stylosanthes,humilis,CIAT-11690,35.55,77.18,170.13,51.37,3.02,12.4,13.48,22.93,44.64,202.5
Stylosanthes,humilis,CIAT-11690,37.51,83.35,181.05,29.73,1.64,12.2,13.19,23.88,80.32,369.77
Stylosanthes,humilis,CIAT-11690,37.51,80.85,178.27,33.77,1.89,12.6,13.51,24.09,71.33,323.52
Stylosanthes,humilis,CIAT-11690,38.51,80.85,178.3,55.78,3.13,12.3,13.3,23.71,42.49,192.7
Stylosanthes,humilis,CIAT-11690,40.16,84.89,184.43,59.05,3.2,11.7,13.28,24.49,41.48,190.93
Stylosanthes,humilis,CIAT-11690,40.66,83.39,183.82,51.13,2.78,12.0,13.64,25.07,49.04,222.46
Stylosanthes,humilis,CIAT-11690,40.66,82.39,181.69,39.27,2.16,11.9,13.67,24.84,63.26,286.88
Stylosanthes,humilis,CIAT-12042,38.55,81.18,176.81,57.98,3.28,12.7,14.01,24.78,42.73,196.18
Stylosanthes,humilis,CIAT-12042,35.05,76.18,166.69,24.95,1.5,12.6,13.46,22.44,89.96,411.14
Stylosanthes,humilis,CIAT-12042,33.55,75.68,165.6,37.9,2.29,13.0,13.67,22.63,59.72,272.92
Stylosanthes,humilis,CIAT-12042,39.01,84.85,184.78,34.67,1.88,12.6,13.79,25.48,73.49,337.47
Stylosanthes,humilis,CIAT-12042,37.01,75.85,166.05,29.71,1.79,12.2,13.12,21.79,73.34,335.02
Stylosanthes,humilis,CIAT-12042,40.01,86.35,188.92,47.6,2.52,11.8,13.03,24.62,51.73,236.44
Stylosanthes,humilis,CIAT-12042,44.16,87.89,191.39,53.44,2.79,12.9,14.29,27.36,51.19,235.07
Stylosanthes,humilis,CIAT-12042,42.66,82.39,180.25,59.86,3.32,11.9,13.44,24.23,40.48,185.05
Stylosanthes,humilis,CIAT-12042,42.16,85.39,186.85,32.63,1.75,11.6,13.22,24.7,75.71,346.0
Stylosanthes,humilis,CIAT-12115,46.9,93.59,202.32,52.37,2.59,13.0,14.1,28.52,54.46,251.91
Stylosanthes,humilis,CIAT-12115,46.9,93.59,202.32,52.37,2.59,13.0,14.1,28.52,54.46,251.91
Stylosanthes,humilis,CIAT-12115,47.9,93.59,202.32,56.76,2.81,12.7,13.97,28.26,49.79,230.32
Stylosanthes,humilis,CIAT-12115,47.9,93.59,202.32,56.76,2.81,12.7,13.97,28.26,49.79,230.32
Stylosanthes,humilis,CIAT-12115,41.71,93.73,202.5,56.51,2.79,93.73,50.32,101.89,180.31,834.56
Stylosanthes,humilis,CIAT-12115,41.71,93.73,202.5,56.51,2.79,93.73,50.32,101.89,180.31,834.56
Stylosanthes,humilis,CIAT-12115,42.21,94.53,204.23,46.09,2.26,94.53,50.74,103.62,224.8,1040.48
Stylosanthes,humilis,CIAT-12115,42.21,94.53,204.23,46.09,2.26,94.53,50.74,103.62,224.8,1040.48
Stylosanthes,humilis,CIAT-12115,43.05,82.4,178.14,62.08,3.49,82.4,50.17,89.36,143.95,665.84
Stylosanthes,humilis,CIAT-12115,42.05,89.9,194.35,44.72,2.3,89.9,50.19,97.55,218.13,1009.0
Stylosanthes,humilis,CIAT-12140,47.9,90.59,197.82,60.58,3.06,12.5,13.87,27.43,45.28,207.34
Stylosanthes,humilis,CIAT-12140,47.9,90.59,197.82,60.58,3.06,12.5,13.87,27.43,45.28,207.34
Stylosanthes,humilis,CIAT-12140,47.9,90.09,196.72,64.65,3.29,12.3,13.7,26.96,41.7,190.98
Stylosanthes,humilis,CIAT-12140,47.9,90.09,196.72,64.65,3.29,12.3,13.7,26.96,41.7,190.98
Stylosanthes,humilis,CIAT-12140,45.71,96.73,208.98,62.56,2.99,96.73,53.84,112.51,179.85,832.41
Stylosanthes,humilis,CIAT-12140,45.71,96.73,208.98,62.56,2.99,96.73,53.84,112.51,179.85,832.41
Stylosanthes,humilis,CIAT-12140,41.71,86.23,188.33,64.99,3.45,86.23,49.61,93.43,143.77,658.25
Stylosanthes,humilis,CIAT-12140,41.71,86.23,188.33,64.99,3.45,86.23,49.61,93.43,143.77,658.25
Stylosanthes,humilis,CIAT-12140,44.71,90.73,198.16,57.23,2.89,90.73,52.42,103.88,181.5,830.99
Stylosanthes,humilis,CIAT-12140,44.71,90.73,198.16,57.23,2.89,90.73,52.42,103.88,181.5,830.99
Stylosanthes,humilis,CIAT-12140,46.55,94.4,204.08,63.96,3.13,94.4,54.31,110.83,173.27,801.48
Stylosanthes,humilis,CIAT-12140,42.05,84.9,185.39,63.51,3.43,84.9,49.67,92.09,144.99,663.99
Stylosanthes,humilis,CIAT-12184,47.4,84.09,183.62,40.91,2.23,12.6,13.73,25.22,61.65,282.3
Stylosanthes,humilis,CIAT-12184,47.4,84.09,183.62,40.91,2.23,12.6,13.73,25.22,61.65,282.3
Stylosanthes,humilis,CIAT-12184,47.4,96.59,208.72,60.18,2.88,13.0,14.27,29.79,49.51,229.1
Stylosanthes,humilis,CIAT-12184,47.4,96.59,208.72,60.18,2.88,13.0,14.27,29.79,49.51,229.1
Stylosanthes,humilis,CIAT-12184,46.4,94.59,204.39,59.18,2.9,13.3,14.22,29.06,49.1,227.23
Stylosanthes,humilis,CIAT-12184,46.4,94.59,204.39,59.18,2.9,13.3,14.22,29.06,49.1,227.23
Stylosanthes,humilis,CIAT-12184,44.71,90.23,197.07,62.91,3.19,90.23,52.33,103.13,163.92,750.49
Stylosanthes,humilis,CIAT-12184,44.71,90.23,197.07,62.91,3.19,90.23,52.33,103.13,163.92,750.49
