gender,species,id,subset,no,requisitioner,id_lab,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
Stylosanthes,humilis,CIAT-12140,3,241.0,Genetic bank,F24-3569,Herbaceous_legumes,91.55,11.27,88.73,19.39,28.38,53.46
Stylosanthes,humilis,CIAT-12140,3,242.0,Genetic bank,F24-3569,Herbaceous_legumes,91.59,11.16,88.84,19.39,28.09,54.84
Stylosanthes,humilis,CIAT-12184,3,243.0,Genetic bank,F24-3570,Herbaceous_legumes,92.14,10.22,89.78,15.38,25.76,46.84
Stylosanthes,humilis,CIAT-12184,3,244.0,Genetic bank,F24-3570,Herbaceous_legumes,92.93,10.51,89.49,15.38,25.58,50.14
Stylosanthes,humilis,CIAT-12202,3,245.0,Genetic bank,F24-3571,Herbaceous_legumes,92.58,10.69,89.31,18.22,24.87,47.97
Stylosanthes,humilis,CIAT-12202,3,246.0,Genetic bank,F24-3571,Herbaceous_legumes,92.67,10.68,89.32,18.22,23.29,48.15
Stylosanthes,humilis,CIAT-1706,2,117.0,Genetic bank,F24-3543,Herbaceous_legumes,92.69,14.94,85.06,19.4,31.74,99.03
Stylosanthes,humilis,CIAT-1706,2,118.0,Genetic bank,F24-3543,Herbaceous_legumes,92.7,14.52,85.48,19.4,32.02,100.15
Stylosanthes,humilis,CIAT-1727,2,119.0,Genetic bank,F24-3544,Herbaceous_legumes,92.14,14.04,85.96,18.76,34.73,101.33
Stylosanthes,humilis,CIAT-1727,2,120.0,Genetic bank,F24-3544,Herbaceous_legumes,92.09,13.61,86.39,18.76,33.52,101.36
Stylosanthes,humilis,CIAT-1803,2,121.0,Genetic bank,F24-3545,Herbaceous_legumes,91.87,8.71,91.29,17.76,33.0,77.29
Stylosanthes,humilis,CIAT-1803,2,122.0,Genetic bank,F24-3545,Herbaceous_legumes,91.85,8.63,91.37,17.76,35.39,77.95
Stylosanthes,humilis,CIAT-2783,3,153.0,Genetic bank,F24-3548,Herbaceous_legumes,89.8,10.11,89.89,17.78,31.1,49.94
Stylosanthes,humilis,CIAT-2783,3,154.0,Genetic bank,F24-3548,Herbaceous_legumes,89.69,10.1,89.9,17.78,31.5,49.36
Stylosanthes,scabra,CIAT-10613,3,157.0,Genetic bank,F24-3550,Herbaceous_legumes,92.82,8.93,91.07,15.96,45.36,59.71
Stylosanthes,scabra,CIAT-10613,3,158.0,Genetic bank,F24-3550,Herbaceous_legumes,92.85,6.86,93.14,15.96,47.07,59.32
Stylosanthes,scabra,CIAT-10627,3,159.0,Genetic bank,F24-3551,Herbaceous_legumes,93.35,13.72,86.28,11.83,39.45,58.36
Stylosanthes,scabra,CIAT-10627,3,160.0,Genetic bank,F24-3551,Herbaceous_legumes,93.42,13.71,86.29,11.83,39.73,56.64
Stylosanthes,scabra,CIAT-10634,3,161.0,Genetic bank,F24-3552,Herbaceous_legumes,92.91,10.52,89.48,15.74,33.73,57.28
Stylosanthes,scabra,CIAT-10634,3,162.0,Genetic bank,F24-3552,Herbaceous_legumes,93.13,10.6,89.4,15.74,33.46,56.7
Stylosanthes,scabra,CIAT-10639,3,163.0,Genetic bank,F24-3553,Herbaceous_legumes,93.19,11.26,88.74,15.72,35.55,54.97
Stylosanthes,scabra,CIAT-10639,3,164.0,Genetic bank,F24-3553,Herbaceous_legumes,93.21,10.91,89.09,15.72,34.53,52.91
Stylosanthes,scabra,CIAT-10725,3,165.0,Genetic bank,F24-3554,Herbaceous_legumes,92.41,11.45,88.55,15.0,40.3,58.25
Stylosanthes,scabra,CIAT-10725,3,166.0,Genetic bank,F24-3554,Herbaceous_legumes,92.37,11.66,88.34,15.0,41.88,59.37
Stylosanthes,scabra,CIAT-11820,3,189.0,Genetic bank,F24-3566,Herbaceous_legumes,91.72,9.27,90.73,18.06,31.61,53.22
Stylosanthes,scabra,CIAT-11820,3,190.0,Genetic bank,F24-3566,Herbaceous_legumes,91.89,12.99,87.01,18.06,31.14,52.56
Stylosanthes,scabra,CIAT-12485,3,257.0,Genetic bank,F24-3577,Herbaceous_legumes,94.06,13.11,86.89,14.59,30.83,56.54
Stylosanthes,scabra,CIAT-12485,3,258.0,Genetic bank,F24-3577,Herbaceous_legumes,93.84,13.58,86.42,14.59,30.72,55.03
Stylosanthes,scabra,CIAT-12710,3,263.0,Genetic bank,F24-3580,Herbaceous_legumes,91.68,10.75,89.25,11.5,38.96,58.26
Stylosanthes,scabra,CIAT-12710,3,264.0,Genetic bank,F24-3580,Herbaceous_legumes,91.77,11.67,88.33,11.5,37.9,58.49
