no,center,id_lab,replication,id,genus,species,,family,order,functional_group,sampling_stage,dm ,ash/dm,om ,pc_dm,adf_dm,ndf_dm
No,CENTER,Internal ID lab (when possible),replication,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Sampling stage,"DM, %",Ash/DM,"OM, %","PC (%), DM","ADF, % DM","NDF, % DM"
54,ICARDA,45,3,171123,lathyrus,latifolius,lathyrus latifolius,Fabaceae,Fabales,Legume,,95.79,11.82,88.18,24.06,33.46904687,54.82827017
55,ICARDA,46,1,171152,lathyrus,pratense,lathyrus pratense,Fabaceae,Fabales,Legume,,93.72,13.28,86.72,26.18,31.76483141,59.16559966
56,ICARDA,46,2,171152,lathyrus,pratense,lathyrus pratense,Fabaceae,Fabales,Legume,,93.65,13.17,86.83,25.53,31.45755473,57.66150561
57,ICARDA,46,3,171152,lathyrus,pratense,lathyrus pratense,Fabaceae,Fabales,Legume,,93.66,13.22,86.78,26.56,33.95259449,59.65193252
58,ICARDA,47,1,16162,Medicago,noeana,Medicago noeana,Fabaceae,Fabales,Legume,,92.87,11.19,88.81,14.54,41.19737267,52.24507376
59,ICARDA,47,2,16162,Medicago,noeana,Medicago noeana,Fabaceae,Fabales,Legume,,92.95,10.96,89.04,15.36,41.24798279,50.77998924
60,ICARDA,47,3,16162,Medicago,noeana,Medicago noeana,Fabaceae,Fabales,Legume,,93.02,10.79,89.21,15.08,41.21694259,52.42958504
61,ICARDA,48,1,16635,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,94.89,15.61,84.39,14.04,32.26894299,47.70787227
62,ICARDA,48,2,16635,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,94.78,15.62,84.38,13.69,29.33108251,49.03988183
63,ICARDA,48,3,16635,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,94.77,15.77,84.23,13.34,24.5014245,48.87622665
64,ICARDA,49,1,49164,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,92.01,7.21,92.79,18.95,24.56254755,44.28866428
65,ICARDA,49,2,49164,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,91.97,7.11,92.89,18.63,22.3551158,43.12275742
66,ICARDA,49,3,49164,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,92.05,7.18,92.82,18.72,20.47800109,43.94350896
67,ICARDA,50,1,49208,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,91.59,9.18,90.82,22.42,33.34425156,54.05611966
68,ICARDA,50,2,49208,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,91.61,9.1,90.9,22.71,30.77174981,54.40454099
69,ICARDA,50,3,49208,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,91.62,9.21,90.79,21.73,26.24972713,54.59506658
70,ICARDA,51,1,50542,Pisum,Sativum,Pisum sativum subsp. Sativum,Fabaceae,Fabales,Legume,,92.72,8.27,91.73,18.64,33.64969802,50.55004314
71,ICARDA,51,2,50542,Pisum,Sativum,Pisum sativum subsp. Sativum,Fabaceae,Fabales,Legume,,92.75,8.28,91.72,18.89,32.76549865,50.8032345
72,ICARDA,51,3,50542,Pisum,Sativum,Pisum sativum subsp. Sativum,Fabaceae,Fabales,Legume,,92.77,8.16,91.84,19.49,33.32974022,50.94319284
73,ICARDA,52,1,51225,Pisum,sativum,Pisum sativum var. sativum,Fabaceae,Fabales,Legume,,94.14,8.33,91.67,19.49,24.20862545,39.4412577
74,ICARDA,52,2,51225,Pisum,sativum,Pisum sativum var. sativum,Fabaceae,Fabales,Legume,,94.19,8.23,91.77,19.7,26.23420745,41.17209895
75,ICARDA,52,3,51225,Pisum,sativum,Pisum sativum var. sativum,Fabaceae,Fabales,Legume,,94.19,8.23,91.77,18.84,30.67204586,41.66047351
76,ICARDA,53,1,51226,Pisum,sp.,Pisum sp.,Fabaceae,Fabales,Legume,,94.24,6.84,93.16,17.87,22.11375212,43.24066214
77,ICARDA,53,2,51226,Pisum,sp.,Pisum sp.,Fabaceae,Fabales,Legume,,94.15,6.43,93.57,17.79,19.23526288,44.23791822
78,ICARDA,53,3,51226,Pisum,sp.,Pisum sp.,Fabaceae,Fabales,Legume,,94.26,6.45,93.55,18.45,20.86781243,42.98748143
79,ICARDA,54,1,52386,lathyrus,ochrus,Lathyrus ochrus,Fabaceae,Fabales,Legume,,92.97,8.76,91.24,18.78,20.63031085,38.99107239
80,ICARDA,54,2,52386,lathyrus,ochrus,Lathyrus ochrus,Fabaceae,Fabales,Legume,,92.88,8.8,91.2,18.54,23.47114556,40.38544358
81,ICARDA,54,3,52386,lathyrus,ochrus,Lathyrus ochrus,Fabaceae,Fabales,Legume,,92.9,8.76,91.24,18.79,28.41765339,39.49407966
82,ICARDA,55,1,52524,Pisum,sativum,Pisum sativum subsp. Elatius,Fabaceae,Fabales,Legume,,93.43,7.21,92.79,18.66,24.27485818,44.19351386
83,ICARDA,55,2,52524,Pisum,sativum,Pisum sativum subsp. Elatius,Fabaceae,Fabales,Legume,,93.42,7.2,92.8,17.79,24.2667523,44.84050525
84,ICARDA,55,3,52524,Pisum,sativum,Pisum sativum subsp. Elatius,Fabaceae,Fabales,Legume,,93.25,7.15,92.85,18.63,27.43163539,43.78552279
85,ICARDA,56,1,52646,Medicago,doliata,Medicago doliata var. doliata,Fabaceae,Fabales,Legume,,92.25,15.25,84.75,19.92,28.08672087,49.9295393
86,ICARDA,56,2,52646,Medicago,doliata,Medicago doliata var. doliata,Fabaceae,Fabales,Legume,,92.09,14.74,85.26,18.78,29.03681181,49.23444457
87,ICARDA,56,3,52646,Medicago,doliata,Medicago doliata var. doliata,Fabaceae,Fabales,Legume,,92.42,14.86,85.14,19.81,29.49578013,49.4806319
88,ICARDA,57,1,52671,Medicago,bonarotiana,Medicago bonarotiana,Fabaceae,Fabales,Legume,,94.18,19.31,80.69,17.72,33.31917605,45.49798259
89,ICARDA,57,2,52671,Medicago,bonarotiana,Medicago bonarotiana,Fabaceae,Fabales,Legume,,94.17,18.52,81.48,17.53,34.06605076,46.16119783
90,ICARDA,57,3,52671,Medicago,bonarotiana,Medicago bonarotiana,Fabaceae,Fabales,Legume,,94.35,17.76,82.24,16.95,36.24801272,45.53259141
91,ICARDA,58,1,52688,Medicago,constricta,Medicago constricta,Fabaceae,Fabales,Legume,,94.36,12.39,87.61,13.8,36.65748198,52.03476049
92,ICARDA,58,2,52688,Medicago,constricta,Medicago constricta,Fabaceae,Fabales,Legume,,94.24,12.64,87.36,14.05,34.86842105,51.89940577
93,ICARDA,58,3,52688,Medicago,constricta,Medicago constricta,Fabaceae,Fabales,Legume,,94.55,12.35,87.65,14.26,35.75885775,51.10523533
94,ICARDA,59,1,52790,Medicago,orbicularis,Medicago orbicularis,Fabaceae,Fabales,Legume,,92.38,16.02,83.98,21.14,23.15436242,31.05650574
95,ICARDA,59,2,52790,Medicago,orbicularis,Medicago orbicularis,Fabaceae,Fabales,Legume,,92.38,15.9,84.1,22.41,21.64970773,29.36782853
96,ICARDA,59,3,52790,Medicago,orbicularis,Medicago orbicularis,Fabaceae,Fabales,Legume,,92.54,14.91,85.09,22.42,24.15171818,30.4625027
97,ICARDA,60,1,52830,Medicago,polymorpha,Medicago polymorpha var. polymorpha,Fabaceae,Fabales,Legume,,92.36,12.32,87.68,13.67,34.09484625,47.71546124
98,ICARDA,60,2,52830,Medicago,polymorpha,Medicago polymorpha var. polymorpha,Fabaceae,Fabales,Legume,,92.11,11.93,88.07,13.1,38.57344479,48.105526
99,ICARDA,60,3,52830,Medicago,polymorpha,Medicago polymorpha var. polymorpha,Fabaceae,Fabales,Legume,,92.29,12.98,87.02,13.56,36.04940947,46.87398418
100,ICARDA,61,1,52945,Medicago,rigidula,Medicago rigidula,Fabaceae,Fabales,Legume,,95.33,21.58,78.42,19.17,36.39987412,43.55397042
101,ICARDA,61,2,52945,Medicago,rigidula,Medicago rigidula,Fabaceae,Fabales,Legume,,95.3,21.5,78.5,19.1,36.13850997,43.98740818
102,ICARDA,61,3,52945,Medicago,rigidula,Medicago rigidula,Fabaceae,Fabales,Legume,,95.29,20.84,79.16,19.45,35.98488824,45.04145241
103,ICARDA,62,1,52987,Medicago,rotata,Medicago rotata var. eliezeri,Fabaceae,Fabales,Legume,,93.28,12.79,87.21,11.15,35.43096055,48.83147513
104,ICARDA,62,2,52987,Medicago,rotata,Medicago rotata var. eliezeri,Fabaceae,Fabales,Legume,,93.25,12.64,87.36,11.93,34.25201072,49.97319035
105,ICARDA,62,3,52987,Medicago,rotata,Medicago rotata var. eliezeri,Fabaceae,Fabales,Legume,,93.33,12.58,87.42,11.92,35.40126433,49.65177328
106,ICARDA,63,1,53028,Medicago,tornata,Medicago tornata var. rugulosa,Fabaceae,Fabales,Legume,,92.8,8.88,91.12,16.82,39.25646552,52.98491379
107,ICARDA,63,2,53028,Medicago,tornata,Medicago tornata var. rugulosa,Fabaceae,Fabales,Legume,,92.92,8.85,91.15,16.27,41.59492036,52.63667671
108,ICARDA,63,3,53028,Medicago,tornata,Medicago tornata var. rugulosa,Fabaceae,Fabales,Legume,,92.87,8.79,91.21,16.76,39.52837299,51.64208033
109,ICARDA,64,1,53313,Medicago,rotata,Medicago rotata,Fabaceae,Fabales,Legume,,95.11,11.06,88.94,14.93,34.83335086,50.72021869
110,ICARDA,64,2,53313,Medicago,rotata,Medicago rotata,Fabaceae,Fabales,Legume,,94.74,11.04,88.96,15.4,34.34663289,52.99767786
111,ICARDA,64,3,53313,Medicago,rotata,Medicago rotata,Fabaceae,Fabales,Legume,,95.17,11.07,88.93,15.02,34.26499947,50.75128717
112,ICARDA,65,1,53352,Medicago,scutellata,Medicago scutellata,Fabaceae,Fabales,Legume,,93.06,15.31,84.69,17.66,33.09692671,44.72383409
113,ICARDA,65,2,53352,Medicago,scutellata,Medicago scutellata,Fabaceae,Fabales,Legume,,93.08,14.96,85.04,18.05,34.09969918,44.68199398
114,ICARDA,65,3,53352,Medicago,scutellata,Medicago scutellata,Fabaceae,Fabales,Legume,,92.98,14.58,85.42,18.15,34.84620348,44.27833943
115,ICARDA,66,1,53384,Medicago,orbicularis,Medicago orbicularis f. marginata,Fabaceae,Fabales,Legume,,93.58,13.62,86.38,20.35,34.92199188,45.75764052
116,ICARDA,66,2,53384,Medicago,orbicularis,Medicago orbicularis f. marginata,Fabaceae,Fabales,Legume,,93.67,13.76,86.24,20.01,32.80666168,45.52151169
117,ICARDA,66,3,53384,Medicago,orbicularis,Medicago orbicularis f. marginata,Fabaceae,Fabales,Legume,,93.53,12.86,87.14,20.18,33.4972736,45.18336363
118,ICARDA,67,1,53533,Medicago,orbicularis,Medicago orbicularis f. biancae,Fabaceae,Fabales,Legume,,92.94,14.12,85.88,19.61,27.69528728,30.77254142
119,ICARDA,67,2,53533,Medicago,orbicularis,Medicago orbicularis f. biancae,Fabaceae,Fabales,Legume,,93.08,13.85,86.15,20.35,26.69746455,33.04684143
120,ICARDA,67,3,53533,Medicago,orbicularis,Medicago orbicularis f. biancae,Fabaceae,Fabales,Legume,,93.17,14.18,85.82,20.43,26.49994633,32.90758828
121,ICARDA,68,1,54107,Medicago,doliata,Medicago doliata,Fabaceae,Fabales,Legume,,91.85,13.94,86.06,17.54,28.78606424,35.24224279
122,ICARDA,68,2,54107,Medicago,doliata,Medicago doliata,Fabaceae,Fabales,Legume,,91.99,14.19,85.81,17.2,29.02489401,34.56897489
123,ICARDA,68,3,54107,Medicago,doliata,Medicago doliata,Fabaceae,Fabales,Legume,,92.36,14.08,85.92,17.36,27.93417064,34.8960589
124,ICARDA,69,1,54137,Medicago,doliata,Medicago doliata var. muricata,Fabaceae,Fabales,Legume,,94.36,15.48,84.52,16.02,33.48876643,38.60746079
125,ICARDA,69,2,54137,Medicago,doliata,Medicago doliata var. muricata,Fabaceae,Fabales,Legume,,94.4,15.75,84.25,16.13,33.63347458,38.82415254
126,ICARDA,69,3,54137,Medicago,doliata,Medicago doliata var. muricata,Fabaceae,Fabales,Legume,,94.49,15.64,84.36,16.05,33.3897767,38.78717325
127,ICARDA,70,1,54224,Medicago,intertexta,Medicago intertexta var. ciliaris,Fabaceae,Fabales,Legume,,93.03,12.45,87.55,14.34,26.55057508,31.36622595
128,ICARDA,70,2,54224,Medicago,intertexta,Medicago intertexta var. ciliaris,Fabaceae,Fabales,Legume,,92.94,12.05,87.95,14.17,26.42565096,30.85861846
