no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,sampling_stage,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,sampling stage,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
268,ICARDA,47,16162,32,3,Medicago,noeana,Medicago noeana,Fabaceae,Fabales,Legume,,91,75.5,13.56,10.69,14.9,14.16,162.07,65.07,4.43,35.27
2755,ICARDA,48,,5,1,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,64.8,92.5,8.42,14.11,13,15.25,192.7,75.9,6.05,38.72
2756,ICARDA,48,16635,5,2,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,64.3,102,9.32,16.94,14.5,16.61,213.67,74.09,7.31,47.9
2757,ICARDA,48,16635,5,3,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,68.3,94.5,9.62,14.87,14.1,15.74,197.84,69.35,6.41,44.9
207,ICARDA,48,16635,6,3,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,73.3,101.2,9.17,14.76,12.5,14.59,211.34,78.21,6.35,39.43
208,ICARDA,48,16635,6,1,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,73.3,101.2,9.68,15.36,13.2,15.18,211.47,78.66,6.61,40.81
209,ICARDA,48,16635,6,2,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,73.3,96.7,9.39,14.17,12.8,14.66,202.62,77.91,6.12,38.12
269,ICARDA,48,16635,32,1,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,115.5,103,14.67,12.11,12.7,11.75,213.44,80.86,5.17,31.02
270,ICARDA,48,16635,32,2,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,116.5,104,14.8,12.2,12.7,11.73,215.89,74.34,5.22,34.05
271,ICARDA,48,16635,32,3,Astragalus,boeticus,Astragalus boeticus,Fabaceae,Fabales,Legume,,118.5,107,15.41,13.02,13,12.17,224.46,73.92,5.63,36.96
272,ICARDA,49,49164,5,1,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,63.8,113,8.86,17.82,13.9,15.77,244.06,81.27,8.79,47.37
2758,ICARDA,49,49164,5,2,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,63.3,114.5,9.42,18.7,14.9,16.33,248.04,76.76,9.25,52.78
2759,ICARDA,49,49164,5,3,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,63.8,116.5,9.24,18.74,14.5,16.08,250.48,77.96,9.2,51.68
2760,ICARDA,49,49164,6,3,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,63.3,112.7,9.12,17.85,14.4,15.84,242.04,82.99,8.76,46.22
210,ICARDA,49,49164,6,1,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,74.3,116.2,10.56,16.16,14.2,13.91,251.25,83.02,7.98,42.1
211,ICARDA,49,49164,6,2,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,57.3,100.2,8.49,15.3,14.8,15.27,216.91,81.03,7.56,40.88
212,ICARDA,49,49164,6,3,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,73.3,115.7,10.05,16.69,13.7,14.43,248.83,80.12,8.2,44.82
273,ICARDA,49,49164,32,1,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,80,73.5,12.08,10.93,15.1,14.87,159.03,73.02,5.4,32.39
274,ICARDA,49,49164,32,2,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,112.5,106,16.99,15.82,15.1,14.92,228.04,76.59,7.77,44.43
