no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,sampling_stage,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,sampling stage,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
1576,ICARDA,198,,19,3,lathyrus,tingitanus,Lathyrus tingitanus,Fabaceae,Fabales,Legume,,45,84,6.39,13.33,14.2,15.87,180.17,,5.59,
1577,ICARDA,198,,20,1,lathyrus,tingitanus,Lathyrus tingitanus,Fabaceae,Fabales,Legume,,45.3,84.5,6.24,13.55,13.8,16.03,180.23,72.4,5.65,39.9
1578,ICARDA,198,,20,2,lathyrus,tingitanus,Lathyrus tingitanus,Fabaceae,Fabales,Legume,,44.3,83.5,6.15,13.33,13.9,15.97,178.42,75.58,5.57,37.7
1675,ICARDA,198,,20,3,lathyrus,tingitanus,Lathyrus tingitanus,Fabaceae,Fabales,Legume,,42.3,81.5,5.7,12.93,13.5,15.86,173.32,71.93,5.38,38.22
1676,ICARDA,198,,21,1,lathyrus,tingitanus,Lathyrus tingitanus,Fabaceae,Fabales,Legume,,54.8,89.3,8.49,15.01,15.5,16.81,189.95,76.64,6.25,41.67
1677,ICARDA,198,,21,2,lathyrus,tingitanus,Lathyrus tingitanus,Fabaceae,Fabales,Legume,,52.8,86.3,8.5,14.93,16.1,17.3,184.07,74.83,6.23,42.56
1773,ICARDA,198,,21,3,lathyrus,tingitanus,Lathyrus tingitanus,Fabaceae,Fabales,Legume,,51.8,88.3,7.56,14.42,14.6,16.34,189.05,77.43,6.04,39.88
1774,ICARDA,199,,19,1,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,46,87,6.49,13.82,14.1,15.89,183.64,58.2,4.41,50.14
1775,ICARDA,199,,19,2,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,32,59.5,4.64,9.15,14.5,15.38,126.51,70.42,2.94,27.63
3894,ICARDA,199,,19,3,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,53,90.5,7.26,14.08,13.7,15.56,192.02,70.67,4.52,42.29
3895,ICARDA,199,,19,4,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,51,90,6.73,13.75,13.2,15.28,190.01,70.48,4.39,41.19
3994,ICARDA,199,,20,1,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,53.3,91.5,7.03,14.14,13.2,15.46,191.62,65.91,4.48,44.94
3995,ICARDA,199,,20,2,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,47.3,83.5,6.24,13.16,13.2,15.76,177.34,77.64,4.23,36
3996,ICARDA,199,,20,3,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,45.3,78.5,6.02,12.4,13.3,15.8,165.4,71.41,3.95,36.6
4095,ICARDA,199,,21,1,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,49.8,84.3,7.12,13.64,14.3,16.18,178.15,66.4,4.36,43.42
4096,ICARDA,199,,21,2,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,51.8,76.3,7.56,12.24,14.6,16.04,159.75,66.75,3.87,38.4
4097,ICARDA,199,,21,3,lathyrus,cirrhosus,Lathyrus cirrhosus,Fabaceae,Fabales,Legume,,46.8,77.3,7.16,12.8,15.3,16.56,162.94,68.23,4.08,39.55
4384,ICARDA,353,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,92.5,87,16.56,15.53,17.9,17.86,188.99,79.08,8.1,42.67
3896,ICARDA,353,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,89,72.5,15.58,12.28,17.5,16.93,157.68,74.84,6.41,35.67
3897,ICARDA,353,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,98.7,75.7,16.77,12.31,17,16.27,162.54,72.4,6.35,36.53
3898,ICARDA,353,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,92.2,68.7,16.31,11.57,17.7,16.84,147.82,72.85,5.98,34.18
3997,ICARDA,353,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,78.2,65.7,14.15,11.55,18.1,17.59,139.45,79.93,5.89,30.68
3998,ICARDA,353,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,93.1,82.9,15.73,13.72,16.9,16.54,178.64,76.28,7.09,38.75
3999,ICARDA,353,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,93.1,81.9,16.66,14.37,17.9,17.55,180.08,82.28,7.58,38.4
4098,ICARDA,353,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,93.1,84.9,16.2,14.56,17.4,17.14,186.37,75.66,7.67,42.22
4099,ICARDA,353,,50,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,95.3,82.5,15.63,13.15,16.4,15.93,176.51,77.32,6.75,36.37
4100,ICARDA,354,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,93,92.5,15.16,15.06,16.3,16.28,198.84,75.62,8.02,42.81
3899,ICARDA,354,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,95,95,15.87,15.87,16.7,16.7,208.21,74.51,8.61,46.67
3900,ICARDA,354,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,92,86.5,15.27,14.19,16.6,16.41,184.54,67.93,7.5,44.57
3901,ICARDA,354,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,106.2,92.7,16.46,13.7,15.5,14.79,197.34,78.09,7.23,37.37
4000,ICARDA,354,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,107.2,92.7,16.83,13.77,15.7,14.86,199.04,80.26,7.32,36.84
4001,ICARDA,354,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,109.7,96.2,16.78,13.96,15.3,14.51,202.91,82.63,7.29,35.64
4002,ICARDA,354,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,101.6,93.4,15.95,14.27,15.7,15.28,200.09,77.6,7.57,39.4
4101,ICARDA,354,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.1,95.9,16.45,14.77,15.8,15.4,204.91,77.93,7.81,40.49
4102,ICARDA,354,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,102.1,89.9,15.93,13.46,15.6,14.96,197.71,76.65,7.33,38.6
4103,ICARDA,355,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,90.5,84,15.75,14.48,17.4,17.24,180.6,79.12,7.26,39.34
3902,ICARDA,355,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,95,96.5,15.87,16.17,16.7,16.76,209.47,68.48,8.19,51.26
3903,ICARDA,355,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,94.5,94,15.78,15.68,16.7,16.68,201.74,77.81,7.85,43.24
3904,ICARDA,355,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,108.7,94.2,18.47,15.37,17,16.32,201.69,79.93,7.68,41.19
4003,ICARDA,355,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,105.7,88.2,17.96,14.22,17,16.13,194.02,77.91,7.3,40.16
4004,ICARDA,355,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,109.7,96.2,18.53,15.63,16.9,16.25,209.33,74.27,7.94,45.81
4005,ICARDA,355,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,102.6,92.4,17.03,14.92,16.6,16.15,204,78.96,7.69,41.72
4104,ICARDA,355,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,108.1,98.9,17.73,15.81,16.4,15.98,212.62,78.35,7.93,43.37
4105,ICARDA,355,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,103.6,93.4,16.47,14.36,15.9,15.37,204,79.32,7.31,39.52
4106,ICARDA,356,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,90,91.5,15.03,15.33,16.7,16.75,195.6,77.06,7.99,42.52
3905,ICARDA,356,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,85,83.5,14.54,14.24,17.1,17.05,183.67,76.31,7.64,41.04
3906,ICARDA,356,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,90.5,89,15.84,15.54,17.5,17.46,192.43,77.92,8.2,43.12
3907,ICARDA,356,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,102.7,87.2,17.97,15.08,17.5,17.3,189.57,80.3,8,40.85
4006,ICARDA,356,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,103.7,92.2,18.87,16.69,18.2,18.11,198.92,78.7,8.79,45.78
4007,ICARDA,356,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,102.2,87.7,17.98,15.3,17.6,17.45,186.59,81.38,7.94,40.02
4008,ICARDA,356,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,99.1,87.9,15.75,13.47,15.9,15.32,190.66,78.79,7.12,37.06
4107,ICARDA,356,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,98.6,89.4,15.48,13.62,15.7,15.23,190.06,80.36,7.06,36.02
4108,ICARDA,356,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.1,95.9,16.76,15.08,16.1,15.73,205.41,83.32,7.88,38.77
4109,ICARDA,357,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,88.5,88,14.78,14.68,16.7,16.68,193.58,76.04,7.7,42.47
4385,ICARDA,357,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,91.5,88,15.74,15.06,17.2,17.12,189.05,73.9,7.72,43.79
4386,ICARDA,357,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,89,90.5,15.31,15.6,17.2,17.23,197.08,74.96,8.1,45.31
3908,ICARDA,357,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,94.7,73.2,16.66,13.01,17.6,17.78,158.73,83.34,6.73,33.86
3909,ICARDA,357,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,102.2,90.2,17.57,15.52,17.2,17.21,194.91,78.99,8,42.47
3910,ICARDA,357,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.7,96.2,17.9,16.39,17.1,17.04,206.39,80.83,8.39,43.5
4009,ICARDA,357,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,100.1,92.9,16.11,14.74,16.1,15.86,198.47,76.35,7.51,41.23
4010,ICARDA,357,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,95.1,85.9,15.31,13.52,16.1,15.74,184.36,78.95,6.92,36.75
4011,ICARDA,357,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.1,96.9,16.45,15.01,15.8,15.49,206.65,79.96,7.63,40.03
4110,ICARDA,357,,50,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,100.8,87,16.64,13.94,16.5,16.02,186.79,76.83,7.14,38.95
4111,ICARDA,357,,50,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,103.8,94,16.92,15.2,16.3,16.17,199.72,78.12,7.7,41.35
4112,ICARDA,358,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,82,77.5,15.25,14.37,18.6,18.55,166.25,70.12,7.32,43.98
3911,ICARDA,358,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,82.5,79,15.26,14.58,18.5,18.46,166.24,68.9,7.28,44.54
3912,ICARDA,358,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,83,77.5,15.69,14.6,18.9,18.84,168.17,69.21,7.52,45.79
3913,ICARDA,358,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,97.2,79.7,17.39,14.35,17.9,18.01,169.31,78.83,7.24,38.68
4012,ICARDA,358,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,96.7,83.2,18.08,15.7,18.7,18.88,180.18,78.62,8.07,43.27
4013,ICARDA,358,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,92.7,76.2,16.49,13.85,17.8,18.19,161.07,76.82,6.95,38.14
4014,ICARDA,358,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,94.6,82.4,15.32,12.88,16.2,15.62,175.25,78.35,6.5,34.95
4113,ICARDA,358,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,96.6,86.4,16.13,14.1,16.7,16.31,183.76,77.97,7.11,38.44
4114,ICARDA,358,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,98.1,84.9,16.28,13.66,16.6,16.09,179.86,74.67,6.87,38.75
4115,ICARDA,359,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,95.5,94,15.85,15.55,16.6,16.54,202.99,70.65,7.43,47.52
3914,ICARDA,359,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,92,92.5,15.09,15.19,16.4,16.42,199.95,72.59,7.27,45.22
3915,ICARDA,359,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,95,94.5,16.06,15.95,16.9,16.88,203.79,76.28,7.61,45.11
3916,ICARDA,359,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,107.7,95.2,18.52,16.23,17.2,17.06,210.89,78.53,7.96,45.8
4015,ICARDA,359,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,108.7,91.2,17.93,14.73,16.5,16.15,202.97,75.95,7.26,43.17
4016,ICARDA,359,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,107.7,93.2,18.41,15.92,17.1,17.08,204.59,76.09,7.74,45.94
4017,ICARDA,359,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,111.6,102.4,16.85,14.99,15.1,14.63,222.84,77.76,7.22,41.94
4116,ICARDA,359,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,106.1,92.4,15.91,13.15,15,14.23,204.96,75.43,6.46,38.67
4117,ICARDA,359,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,106.1,92.9,15.91,13.25,15,14.26,207.08,77.96,6.54,37.89
4118,ICARDA,360,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,93,95.5,14.88,15.38,16,16.11,204.41,81.51,8.46,40.39
3917,ICARDA,360,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,95,95.5,15.68,15.78,16.5,16.52,204.65,81.4,8.69,41.54
3918,ICARDA,360,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,94,95,15.42,15.62,16.4,16.44,203.34,81.81,8.59,40.86
3919,ICARDA,360,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,106.2,87.7,17.09,13.89,16.1,15.85,192.25,82.76,7.83,36.81
4018,ICARDA,360,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,109.7,95.2,17.66,14.87,16.1,15.63,203.98,85.28,8.19,37.38
4019,ICARDA,360,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.2,86.7,16.35,13.52,15.7,15.6,187.51,83.25,7.52,35.13
4020,ICARDA,360,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,107.6,98.9,16.25,14.47,15.1,14.63,214.87,82.69,8.08,38.01
4119,ICARDA,360,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,103.6,93.4,15.12,13.03,14.6,13.95,199.48,80.7,7.15,34.48
4120,ICARDA,360,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.1,93.9,14.88,12.8,14.3,13.63,204.96,80.51,7.18,34.69
4121,ICARDA,361,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,97.5,89,16.58,14.88,17,16.72,194.06,71.48,7.49,45.4
3920,ICARDA,361,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,96,90.5,15.46,14.4,16.1,15.91,191.42,74.72,7.03,40.76
3921,ICARDA,361,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,99,96.5,17.13,16.63,17.3,17.23,208.38,66.79,8.28,53.76
3922,ICARDA,361,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,111.2,93.7,17.68,14.42,15.9,15.4,200.21,80.06,7.11,38.5
4021,ICARDA,361,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,107.7,90.7,16.69,13.73,15.5,15.14,194.81,78.02,6.8,37.81
4022,ICARDA,361,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,111.2,96.2,17.34,14.85,15.6,15.44,205.6,68.12,7.32,46.61
4023,ICARDA,361,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,105.1,94.9,14.82,12.82,14.1,13.51,200.09,77.04,6.24,35.09
4122,ICARDA,361,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,109.1,98.4,15.38,13.27,14.1,13.48,208,75.63,6.47,37.08
4123,ICARDA,361,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,110.1,99.9,16.18,14.16,14.7,14.17,212.09,71.09,6.93,42.28
4124,ICARDA,362,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,86.5,88,15.05,15.35,17.4,17.44,192.41,81.2,8.04,41.32
4387,ICARDA,362,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,91,87.5,16.74,16.04,18.4,18.34,187.35,79.19,8.23,43.38
3923,ICARDA,362,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,97.5,91,17.94,16.65,18.4,18.29,191.56,79.88,8.39,43.87
3924,ICARDA,362,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,99.7,63.7,15.35,8.33,15.4,13.08,137.94,75.99,4.32,23.75
3925,ICARDA,362,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,102.7,91.7,17.45,15.57,17,16.99,194.72,78.52,7.92,42.13
4024,ICARDA,362,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,101.2,89.2,17.2,15.12,17,16.96,189.63,78.31,7.7,41.07
4025,ICARDA,362,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,99.1,92.4,14.86,13.68,15,14.81,196.39,78.05,6.96,37.25
4026,ICARDA,362,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,97.6,90.4,14.64,13.35,15,14.76,192.29,79.12,6.8,35.88
4125,ICARDA,362,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,97.1,87.9,14.56,12.97,15,14.75,187.61,75.97,6.63,36.42
4126,ICARDA,362,,50,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,96.8,82,13.65,10.78,14.1,13.14,176.1,78.93,5.54,29.32
4127,ICARDA,363,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,99,101.5,16.24,16.73,16.4,16.48,220.3,81.1,9.08,44.78
3926,ICARDA,363,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,96.5,101,14.96,15.84,15.5,15.68,221.66,81.15,8.69,42.84
3927,ICARDA,363,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,97,98.5,15.81,16.11,16.3,16.35,216.84,71.14,8.86,49.84
3928,ICARDA,363,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,113.2,98.7,17.99,15.38,15.9,15.59,210.43,79.97,8.2,41.02
4027,ICARDA,363,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,114.7,96.2,18,14.73,15.7,15.32,207.14,39.56,7.93,80.19
4028,ICARDA,363,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,111.7,98.2,17.31,14.89,15.5,15.17,211.79,88.41,8.03,36.34
4029,ICARDA,363,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,108.1,99.9,15.24,13.76,14.1,13.77,220.27,80.71,7.58,37.59
4128,ICARDA,363,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,111.1,100.9,15.44,13.6,13.9,13.48,219.03,80.57,7.38,36.63
4129,ICARDA,363,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,112.1,100.9,15.58,13.56,13.9,13.44,216.94,82.59,7.29,35.29
4130,ICARDA,364,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,90.5,90,15.39,15.29,17,16.99,193.17,76.6,7.93,42.84
3929,ICARDA,364,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,89,88.5,15.04,14.95,16.9,16.89,192.64,79.23,7.86,41.06
3930,ICARDA,364,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,89,89.5,15.04,15.14,16.9,16.91,195.41,72.64,7.98,45.5
3931,ICARDA,364,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.2,91.7,16.56,14.15,15.9,15.44,197.3,80.2,7.36,37.98
4030,ICARDA,364,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,105.7,92.2,17.22,14.7,16.3,15.95,195.33,77.73,7.52,40.08
4031,ICARDA,364,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,103.7,89.2,17,14.29,16.4,16.03,191.92,76.67,7.43,40.12
4032,ICARDA,364,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.6,94.9,14.85,13.1,14.2,13.8,201.83,78.71,6.73,35.39
4131,ICARDA,364,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,107.1,100.9,15.21,14.1,14.2,13.97,210.39,80.26,7.1,36.63
4132,ICARDA,364,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,104.6,96.9,14.85,13.39,14.2,13.81,205.68,79.73,6.86,35.63
4133,ICARDA,366,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,93,89.5,15.72,15.05,16.9,16.81,192.04,77.94,8,41.43
4388,ICARDA,366,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,86.5,82,14.53,13.68,16.8,16.68,178.83,71.74,7.39,41.58
3932,ICARDA,366,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,93.5,92,16.36,16.08,17.5,17.48,197.87,75.61,8.57,45.73
3933,ICARDA,366,,46,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,101.7,90.2,15.86,13.95,15.6,15.47,196.25,77.08,7.52,39.39
3934,ICARDA,366,,46,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,99.2,85.7,15.37,13.09,15.5,15.28,184.72,78.83,6.99,35.81
4033,ICARDA,366,,46,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,97.2,76.7,15.55,12.45,16,16.24,166.4,79.1,6.69,34.17
4034,ICARDA,366,,47,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,101.1,93.4,14.35,12.94,14.2,13.85,197.1,75.8,6.76,36.01
4035,ICARDA,366,,47,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,101.1,93.9,14.66,13.33,14.5,14.19,203.56,75.07,7.16,38.49
4134,ICARDA,366,,47,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,97.6,89.4,14.05,12.54,14.4,14.03,188.84,79.51,6.56,33.31
4135,ICARDA,366,,50,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,101.3,86,14.29,11.33,14.1,13.17,188.24,78.92,6.14,31.42
4136,ICARDA,367,,45,1,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,88,88.5,15.14,15.23,17.2,17.21,188.04,77.31,7.66,41.86
3935,ICARDA,367,,45,2,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,90,89.5,15.48,15.38,17.2,17.19,192.7,77.28,7.84,42.85
3936,ICARDA,367,,45,3,lathyrus,sativus,Lathyrus sativus,Fabaceae,Fabales,Legume,1st cut,89.5,93,15.04,15.7,16.8,16.89,195.19,79.58,7.8,41.42
