no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
54,CIAT,F24 3416,ABC-705-1,2,1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,28.17,62.91,4,11.23,14.2,17.84,136.67,86.84,76.07,28.08
55,CIAT,F24 3416,ABC-705-1,2,2,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,28.17,61.58,4.23,11.28,15,18.31,133.78,85.4,79.99,28.68
56,CIAT,F24 3416,ABC-705-1,2,3,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,29.5,63.35,4.07,11.04,13.8,17.43,137.68,84.07,81.94,28.55
57,CIAT,F24 3417,ABC-707-1,2,1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,30.83,67.33,4.29,11.37,13.9,16.88,149.45,68.46,111.79,36.85
58,CIAT,F24 3417,ABC-707-1,2,2,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,29.5,66.45,4.13,11.3,14,17,147.37,65.82,125.7,38.06
59,CIAT,F24 3417,ABC-707-1,2,3,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,30.83,67.33,3.98,10.95,12.9,16.26,149.48,65.24,125.66,37.26
60,CIAT,F24 3418,ABC-712-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,38.35,78.84,4.64,11.73,12.1,14.87,172.6,62.94,144.09,40.79
61,CIAT,F24 3418,ABC-712-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,40.56,77.95,5.07,11.88,12.5,15.23,170.73,60.56,168.5,42.95
62,CIAT,F24 3418,ABC-712-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,40.56,81.49,5.03,12.32,12.4,15.11,178.48,60.16,179.32,44.83
63,CIAT,F24 3419,ABC-749-1,2,1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,36.14,69.1,5.1,11.06,14.1,16.01,150.46,60.85,203.25,39.58
64,CIAT,F24 3419,ABC-749-1,2,2,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,35.7,68.22,4.96,10.85,13.9,15.9,148.68,60.38,207.86,39.16
65,CIAT,F24 3419,ABC-749-1,2,3,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,35.7,69.1,4.64,10.69,13,15.47,150.58,64.5,150.23,36.1
66,CIAT,F24 3420,ABC-768-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,31.71,74.41,4.31,12.04,13.6,16.18,161.41,66.62,125.42,39.21
67,CIAT,F24 3420,ABC-768-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,33.48,74.86,4.42,11.7,13.2,15.63,162.37,66.18,124.47,38.35
68,CIAT,F24 3420,ABC-768-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,33.48,75.74,4.42,12.28,13.2,16.21,164.16,61.59,168.43,43.21
69,CIAT,F24 3421,ABC-772-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,32.16,78.84,4.15,11.76,12.9,14.91,172.25,62.71,85.28,40.97
70,CIAT,F24 3421,ABC-772-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,32.16,76.18,4.24,11.55,13.2,15.16,166.48,64.01,80.34,39.44
71,CIAT,F24 3421,ABC-772-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,31.27,76.18,4.13,11.45,13.2,15.03,166.42,63.8,80.1,39.19
72,CIAT,F24 3422,ABC-819-1,2,1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,31.71,63.79,4.38,10.82,13.8,16.97,140.5,57.49,226.11,41.47
73,CIAT,F24 3422,ABC-819-1,2,2,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,32.16,64.68,4.66,11.43,14.5,17.67,142.51,55.03,311.56,45.75
74,CIAT,F24 3422,ABC-819-1,2,3,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,32.16,65.12,4.66,11.35,14.5,17.44,143.43,57.87,229.04,43.22
75,CIAT,Blank,Blank,2,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
76,CIAT,Blank,Blank,2,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
77,CIAT,F24 3423,ABC-905-1,2,1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,38.79,77.51,4.69,12.28,12.1,15.85,168.55,59.1,-615.13,45.2
78,CIAT,F24 3423,ABC-905-1,2,2,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,38.35,77.07,4.72,12.31,12.3,15.97,167.56,58.65,-558.49,45.62
79,CIAT,F24 3423,ABC-905-1,2,3,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,38.79,77.07,4.69,12.16,12.1,15.78,167.73,63.66,12185.38,41.57
80,CIAT,F24 3424,ABC-913-1,2,1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,23.75,54.5,3.23,9.17,13.6,16.82,114.95,61.02,88.32,31.68
81,CIAT,F24 3424,ABC-913-1,2,2,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,23.75,53.62,3.23,9.02,13.6,16.83,113.13,64.83,74.12,29.37
82,CIAT,F24 3424,ABC-913-1,2,3,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,23.75,54.5,3.21,9.02,13.5,16.55,114.97,64.62,74.65,29.44
83,CIAT,F24 3425,ABC-955-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,36.58,82.82,4.54,12.12,12.4,14.63,180.23,63.51,104.74,41.53
84,CIAT,F24 3425,ABC-955-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,37.91,84.15,4.62,12.21,12.2,14.51,183.15,62.87,108.27,42.27
85,CIAT,F24 3425,ABC-955-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,38.35,85.92,4.79,12.5,12.5,14.55,187.08,54.03,173.27,50.37
86,CIAT,F24 1047,,2,1,,,Albizzia saman,Fabaceae,Fabales,Tree,13.13,22.64,1.92,3.58,14.6,15.82,33.8,67.73,21,7.89
87,CIAT,F24 1047,,2,2,,,Albizzia saman,Fabaceae,Fabales,Tree,14.01,21.76,1.78,3.2,12.7,14.73,37.12,61.85,27.91,8.84
88,CIAT,F24 1047,,2,3,,,Albizzia saman,Fabaceae,Fabales,Tree,13.13,21.76,1.64,3.21,12.5,14.76,26.57,72.5,12.97,5.41
89,CIAT,F24 1070,,2,1,,,Gliricidia sepium,Fabaceae,Fabales,Tree,23.31,48.31,2.42,6.85,10.4,14.18,65.28,78.1,25.71,11.85
90,CIAT,F24 1070,,2,2,,,Gliricidia sepium,Fabaceae,Fabales,Tree,21.98,46.98,2.24,6.62,10.2,14.08,63.55,75.91,26.47,11.79
91,CIAT,F24 1070,,2,3,,,Gliricidia sepium,Fabaceae,Fabales,Tree,19.77,44.32,2.21,6.51,11.2,14.69,58.42,76.38,25.03,11.24
92,CIAT,F24 1075,,2,1,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,11.36,27.95,1.27,4.16,11.2,14.88,34,72.12,16.73,7.01
93,CIAT,F24 1075,,2,2,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,11.36,28.39,1.23,4.07,10.8,14.34,36.37,72.45,17.06,7.2
94,CIAT,F24 1075,,2,3,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,12.69,29.72,1.32,4.22,10.4,14.18,37.38,71.2,18.08,7.45
95,CIAT,F24 1084,,2,1,,,Brachiaria decumbens,Poaceae,Poales,Grass,25.96,54.5,2.36,5.82,9.1,10.67,74.09,70.04,27.76,11.29
96,CIAT,F24 1084,,2,2,,,Brachiaria decumbens,Poaceae,Poales,Grass,27.73,57.6,2.44,5.93,8.8,10.3,79.25,72.28,26.58,11.3
97,CIAT,F24 1084,,2,3,,,Brachiaria decumbens,Poaceae,Poales,Grass,25.52,57.6,2.5,6.22,9.8,10.8,78.95,73.27,26.89,11.64
98,CIAT,F24 1095,,2,1,,,Setaria sphacelata,Fabaceae,Fabales,Grass,17.11,40.78,1.83,6.42,10.7,15.75,54.47,71.79,28.65,11.95
99,CIAT,F24 1095,,2,2,,,Setaria sphacelata,Fabaceae,Fabales,Grass,20.65,47.86,2.35,7.74,11.4,16.18,62.54,70.73,35.03,14.3
100,CIAT,F24 1095,,2,3,,,Setaria sphacelata,Fabaceae,Fabales,Grass,15.78,47.42,1.69,7.98,10.7,16.84,59.29,70.74,34.56,14.11
101,CIAT,Blank,Blank,2,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
102,CIAT,Blank,Blank,2,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
103,CIAT,Blank,Blank,,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
104,CIAT,Blank,Blank,,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
105,CIAT,F24 3416,ABC-705-1,3,1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,30.53,61.66,4.24,9.91,13.9,16.07,133.92,75.67,102.99,28.44
106,CIAT,F24 3416,ABC-705-1,3,2,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,30.09,58.12,4.24,9.62,14.1,16.56,126.23,71.11,127.96,29.39
107,CIAT,F24 3416,ABC-705-1,3,3,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,31.86,62.98,4.56,10.34,14.3,16.42,136.88,72.4,127.58,31.05
108,CIAT,F24 3417,ABC-707-1,3,1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,30.53,65.2,4.03,9.89,13.2,15.17,144.61,70.79,88.11,30.99
