40nutrition_no,40nutrition_date,40nutrition_requisitioner,40nutrition_set_ciat,40nutrition_sample_id,40nutrition_gene_bank_breeding_program_id,40nutrition_genus,40nutrition_species,40nutrition_tax_name,40nutrition_dm_percentage,40nutrition_av_dm_105,40nutrition_ash_dm,40nutrition_av_ash_percentage,40nutrition_om_percentage,40nutrition_om_percentage,40nutrition_pc_percentage_dm,40nutrition_av_pc_percentage,40nutrition_adf_percentage_dm,40nutrition_av_adf_percentage_dm,40nutrition_ndf_percentage_dm,40nutrition_av_ndf_percentage_dm
No,Date,,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
40,45621,Genetic bank,3,F24 3450,ABC-8402,Indigofera,suffruticosa,Indigofera suffruticosa,92.1,,17.80673181,,82.19326819,,26.88970109,,19.3165009,,49.50549834,
41,45621,Genetic bank,3,F24 3451,ABC-8408,Chamaecrista,nictitans,Chamaecrista nictitans,94,94.05,6.808510638,6.858027902,93.19148936,93.1419721,23.37980179,23.37980179,38.78359549,38.36972369,58.48434029,58.63328794
42,45621,Genetic bank,3,F24 3451,ABC-8408,Chamaecrista,nictitans,Chamaecrista nictitans,94.1,,6.907545165,,93.09245484,,23.37980179,,37.95585188,,58.78223559,
43,45621,Genetic bank,3,F24 3452,ABC-8409,Chamaecrista,nictitans,Chamaecrista nictitans,91.9,91.95,7.616974973,7.667183139,92.38302503,92.33281686,27.7836572,27.7836572,39.30658161,38.02222478,62.395736,61.8471383
44,45621,Genetic bank,3,F24 3452,ABC-8409,Chamaecrista,nictitans,Chamaecrista nictitans,92,,7.717391304,,92.2826087,,27.7836572,,36.73786796,,61.2985406,
45,45621,Genetic bank,3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,93.40659341,93.5032967,17.11229947,17.10315828,82.88770053,82.89684172,20.28346797,20.28346797,16.15254503,15.80770956,41.55922425,40.19522125
46,45621,Genetic bank,3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,93.6,,17.09401709,,82.90598291,,20.28346797,,15.46287409,,38.83121826,
47,45621,Genetic bank,3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,93.00699301,92.85714286,7.08915145,7.046730897,92.91084855,92.9532691,25.88000034,25.88000034,30.1458951,30.2474918,59.29133305,60.00899649
48,45621,Genetic bank,3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,92.70729271,,7.004310345,,92.99568966,,25.88000034,,30.34908851,,60.72665992,
49,45621,Genetic bank,3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,91.60839161,91.7541958,13.74045802,13.94313434,86.25954198,86.05686566,21.83464401,21.83464401,22.76303077,20.9311004,34.80352448,36.01389313
50,45621,Genetic bank,3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,91.9,,14.14581066,,85.85418934,,21.83464401,,19.09917003,,37.22426177,
51,45621,Breeding,4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,95.98,96.02539292,15.64169595,15.70260308,84.35830405,84.29739692,10.91797301,10.91797301,21.19578114,21.14081447,55.59004249,55.41185871
52,45621,Breeding,4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,96.07078584,,15.7635102,,84.2364898,,10.91797301,,21.08584781,,55.23367493,
53,45621,Breeding,4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,96.97030297,97.04515148,15.13577023,15.01802548,84.86422977,84.98197452,9.392254149,9.392254149,21.26984722,21.83535497,54.82804262,55.76175346
54,45621,Breeding,4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,97.12,,14.90028072,,85.09971928,,9.392254149,,22.40086272,,56.69546429,
55,45621,Breeding,4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,96.56103169,96.76581878,15.97192437,15.96755672,84.02807563,84.03244328,11.00867792,11.00867792,22.15456453,22.02334064,57.44947572,57.36436861
56,45621,Breeding,4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,96.97060588,,15.96318908,,84.03681092,,11.00867792,,21.89211675,,57.27926149,
57,45621,Breeding,4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,97.13086074,97.23582925,13.82820131,13.79735773,86.17179869,86.20264227,10.08023483,10.08023483,21.0430635,21.03258278,55.54448094,55.65771615
58,45621,Breeding,4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,97.34079776,,13.76651416,,86.23348584,,10.08023483,,21.02210206,,55.77095135,
59,45621,Breeding,4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,95.47045295,95.7458233,15.47693428,15.47538705,84.52306572,84.52461295,11.10404195,11.10404195,23.31828587,23.28964746,56.94152855,56.86413105
60,45621,Breeding,4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,96.02119364,,15.47383982,,84.52616018,,11.10404195,,23.26100905,,56.78673355,
61,45621,Breeding,4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,95.0709858,95.2154929,14.04952506,14.05618126,85.95047494,85.94381874,10.31254646,10.31254646,26.52115031,26.17777008,60.67041444,60.21275449
62,45621,Breeding,4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,95.36,,14.06283746,,85.93716254,,10.31254646,,25.83438985,,59.75509455,
63,45621,Breeding,4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,94.97,95.07,13.40065215,13.5689492,86.59934785,86.4310508,9.608712975,9.608712975,24.32323047,24.55349937,59.69854782,59.72506873
64,45621,Breeding,4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,95.17,,13.73724624,,86.26275376,,9.608712975,,24.78376827,,59.75158964,
65,45621,Breeding,4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,96.05,96.07039092,14.10424156,14.1288488,85.89575844,85.8711512,10.07879313,10.07879313,23.75783461,23.97575256,58.02335089,58.41008046
