id,methane_intensity,tddm,ch4_8h,ch4_24h,functional_group,taxonomic_name,family,,
F3-1-1-114,14.5,77.94,14.5,16.48,Legume,PrateekxB111,Lathyrus,,
F3-1-1-91,14.74,78.81,14.74,16.59,Legume,PrateekxB111,Lathyrus,,
F3-1-1-54,16.36,73.1,16.36,18.08,Legume,PrateekxB111,Lathyrus,,
F3-1-1-52,16.29,74.11,16.29,18.12,Legume,PrateekxB111,Lathyrus,,
F3-1-1-83,16.37,74.56,16.37,18.12,Legume,PrateekxB111,Lathyrus,,
F3-1-1-93,15.56,79.55,15.56,17.4,Legume,PrateekxB111,Lathyrus,,
F3-1-1-103,16.16,73.66,16.16,18.18,Legume,PrateekxB111,Lathyrus,,
F3-1-1-127,14.29,78.43,14.29,16.76,Legume,PrateekxB111,Lathyrus,,
F3-2-2-131,13.43,80.62,13.43,16.45,Legume,PrateekxB222,Lathyrus,,
F3-2-2-52,13.29,78.09,13.29,16.04,Legume,PrateekxB222,Lathyrus,,
F3-2-2-133,13.73,77.8,13.73,15.98,Legume,PrateekxB222,Lathyrus,,
F3-2-2-131,16.27,78.52,16.27,17.36,Legume,PrateekxB222,Lathyrus,,
F3-2-2-52,14.47,81.89,14.47,16.4,Legume,PrateekxB222,Lathyrus,,
F3-2-2-133,14.86,68.55,14.86,16.76,Legume,PrateekxB222,Lathyrus,,
F3-15-15-102,13.82,77.73,13.82,16.24,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-98,13.26,79.22,13.26,15.9,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-73,13.63,79.86,13.63,16.39,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-90,13.8,74.55,13.8,16.2,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-124,13.02,81.51,13.02,15.73,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-62,12.88,80.42,12.88,15.32,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-64,13.94,78.69,13.94,16.05,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-112,12.97,82.25,12.97,15.78,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-102,15.24,80.2,15.24,16.77,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-98,15.55,76.96,15.55,16.77,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-73,14.41,78.45,14.41,16.65,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-90,14.18,77.52,14.18,16.58,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-124,14.38,77.12,14.38,16.55,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-62,16.34,75.34,16.34,18.13,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-64,15.23,80.29,15.23,17.4,Legume,PrateekxWIR26,Lathyrus,,
F3-15-15-112,14.79,76.9,14.79,17.06,Legume,PrateekxWIR26,Lathyrus,,
F3-14-14-110,13.34,84.43,13.34,16.2,Legume,Ratanx170,Lathyrus,,
F3-14-14-43,13.56,81.31,13.56,16.14,Legume,Ratanx170,Lathyrus,,
F3-14-14-118,13.67,81.42,13.67,16.11,Legume,Ratanx170,Lathyrus,,
F3-14-14-40,13.37,82.65,13.37,16.23,Legume,Ratanx170,Lathyrus,,
F3-14-14-137,12.72,79.82,12.72,15.49,Legume,Ratanx170,Lathyrus,,
F3-14-14-122,13.83,79.68,13.83,16.15,Legume,Ratanx170,Lathyrus,,
F3-14-14-79,13.47,80.93,13.47,16,Legume,Ratanx170,Lathyrus,,
F3-14-14-130,13.25,80.46,13.25,15.87,Legume,Ratanx170,Lathyrus,,
F3-14-14-106,13.29,82.02,13.29,15.96,Legume,Ratanx170,Lathyrus,,
F3-14-14-19,13.43,81.86,13.43,15.96,Legume,Ratanx170,Lathyrus,,
F3-14-14-110,14.94,80.47,14.94,16.69,Legume,Ratanx170,Lathyrus,,
F3-14-14-43,15.94,82.24,15.94,17.11,Legume,Ratanx170,Lathyrus,,
F3-14-14-118,14.44,81.78,14.44,16.52,Legume,Ratanx170,Lathyrus,,
F3-14-14-40,16.14,77.08,16.14,17.92,Legume,Ratanx170,Lathyrus,,
F3-14-14-137,14.92,76.69,14.92,17.3,Legume,Ratanx170,Lathyrus,,
F3-14-14-122,14.64,78.87,14.64,16.99,Legume,Ratanx170,Lathyrus,,
F3-14-14-79,14.38,78.21,14.38,16.84,Legume,Ratanx170,Lathyrus,,
F3-14-14-130,15.87,76.94,15.87,17.65,Legume,Ratanx170,Lathyrus,,
F3-14-14-106,14.52,77.65,14.52,17.03,Legume,Ratanx170,Lathyrus,,
F3-14-14-19,14.07,78.86,14.07,16.74,Legume,Ratanx170,Lathyrus,,
66425,14.91,74.98,14.91,16.73,Legume,trifoliium argutum,Trifolium,,
137271,14.92,57.05,14.92,16.9,Legume,Trifolium affine,Trifolium,,
120938,13.23,57.57,13.23,15.43,Legume,Trifolium alexandrinum,Trifolium,,
66472,14.54,70.66,14.54,16.59,Legume,trifolium anatolicum,Trifolium,,
66590,14.84,59.7,14.84,16.28,Legume,Trifolium angustifolium,Trifolium,,
66978,14.02,74.72,14.02,16.63,Legume,Trifolium antiabense,Trifolium,,
121055,12.81,60.67,12.81,15.21,Legume,Trifolium arvense,Trifolium,,
121070,14,78.45,14,16.53,Legume,Trifolium arvense var. gracile,Trifolium,,
66898,15.16,67.82,15.16,17.07,Legume,Trifolium aureum,Trifolium,,
68160,13.99,77.47,13.99,16.14,Legume,Trifolium batmanicum,Trifolium,,
66399,14.43,57.26,14.43,15.88,Legume,Trifolium boissieri,Trifolium,,
67148,14.43,53.11,14.43,16.58,Legume,Trifolium brachycarpum,Trifolium,,
67059,14.44,64.75,14.44,16.48,Legume,Trifolium bullatum,Trifolium,,
121117,14.46,70.27,14.46,16.41,Legume,Trifolium campestre,Trifolium,,
121155,13.5,71.14,13.5,15.34,Legume,Trifolium carolinianum,Trifolium,,
137266,13.76,73.23,13.76,16.32,Legume,Trifolium caudatum,Trifolium,,
121160,13.37,54.54,13.37,16.09,Legume,Trifolium cherleri,Trifolium,,
121205,11.43,55.6,11.43,16.55,Legume,Trifolium chilense,Trifolium,,
66778,15,69.84,15,16.72,Legume,Trifolium clusii,Trifolium,,
66401,15.22,65.12,15.22,16.59,Legume,Trifolium clypeatum,Trifolium,,
67363,14.78,51.52,14.78,16.34,Legume,Trifolium constantinopolitanum,Trifolium,,
67010,15.49,49.83,15.49,17.28,Legume,Trifolium dasyurum,Trifolium,,
137329,15.02,81.32,15.02,16.76,Legume,Trifolium diffusum,Trifolium,,
121226,14.61,74.25,14.61,16.67,Legume,Trifolium dubium,Trifolium,,
66532,14.06,67.58,14.06,16.16,Legume,Trifolium echinatum,Trifolium,,
121242,12.93,70.08,12.93,15.55,Legume,Trifolium echinatum var. carmeli,Trifolium,,
67269,13.9,74.24,13.9,16.1,Legume,Trifolium eriosphaerum,Trifolium,,
67902,13.76,61.71,13.76,16.34,Legume,Trifolium erubescens ,Trifolium,,
121249,13.51,63.19,13.51,15.49,Legume,Trifolium gemellum,Trifolium,,
67912,14.04,65.34,14.04,16.05,Legume,Trifolium glanduliferum,Trifolium,,
66656,13.21,69,13.21,15.4,Legume,Trifolium globosum,Trifolium,,
67588,13.16,59.69,13.16,15.29,Legume,Trifolium glomeratum,Trifolium,,
137071,12.89,52.35,12.89,15.63,Legume,Trifolium haussknechtii,Trifolium,,
66813,15.78,70.34,15.78,17.62,Legume,Trifolium hirtum,Trifolium,,
66728,13.63,65.12,13.63,15.76,Legume,Trifolium hybridum,Trifolium,,
69036,14.34,57.88,14.34,16.51,Legume,Trifolium isthmocarpum,Trifolium,,
68053,13.1,67.49,13.1,15.38,Legume,Trifolium lappaceum,Trifolium,,
66736,14.11,71.83,14.11,15.35,Legume,Trifolium leucanthum,Trifolium,,
69049,14.19,59.59,14.19,16.39,Legume,Trifolium meironense,Trifolium,,
121370,14.16,79.34,14.16,16.29,Legume,Trifolium micranthum,Trifolium,,
165573,13.96,68.34,13.96,15.31,Legume,Trifolium montanum,Trifolium,,
121392,12.54,62.3,12.54,14.92,Legume,Trifolium obscurum,Trifolium,,
121395,13.17,50.67,13.17,15.2,Legume,Trifolium palaestinum,Trifolium,,
137045,13.26,62.09,13.26,15.87,Legume,Trifolium pauciflorum,Trifolium,,
66844,14.77,67.23,14.77,16.82,Legume,Trifolium pilulare,Trifolium,,
66745,13.1,64.71,13.1,15.92,Legume,Trifolium plebeium,Trifolium,,
156276,13.47,57.52,13.47,15.16,Legume,trifolium pratense,Trifolium,,
156283,13.09,62.1,13.09,14.76,Legume,trifolium pratense,Trifolium,,
156292,11.32,65.27,11.32,13.38,Legume,trifolium pratense,Trifolium,,
156297,14.19,67.35,14.19,15.47,Legume,trifolium pratense,Trifolium,,
156302,12.86,72.35,12.86,13.62,Legume,trifolium pratense,Trifolium,,
165511,12.31,61.07,12.31,13.67,Legume,trifolium pratense,Trifolium,,
165563,13.76,68.8,13.76,14.75,Legume,trifolium pratense,Trifolium,,
66908,13.57,72.59,13.57,15.81,Legume,Trifolium pratense,Trifolium,,
66420,13.5,67.54,13.5,15.74,Legume,Trifolium purpureum,Trifolium,,
121481,12.73,76.43,12.73,15.01,Legume,Trifolium resupinatum,Trifolium,,
66708,14.09,79.02,14.09,15.86,Legume,Trifolium resupinatum var. resupinatum,Trifolium,,
121241,13.13,67.53,13.13,15.47,Legume,Trifolium scabrum,Trifolium,,
67060,14.36,68.27,14.36,16.45,Legume,Trifolium scutatum,Trifolium,,
66740,14.49,69.6,14.49,16.84,Legume,Trifolium sp.,Trifolium,,
165769,13.84,73.7,13.84,15.78,Legume,Trifolium spadiceum ,Trifolium,,
137162,13.4,50.08,13.4,15.81,Legume,Trifolium speciosum,Trifolium,,
66860,14.24,77.11,14.24,16.59,Legume,Trifolium spumosum,Trifolium,,
121644,13.09,68.31,13.09,15.06,Legume,Trifolium squamosum,Trifolium,,
111529,14.03,70.9,14.03,15.78,Legume,Trifolium squarrosum,Trifolium,,
126998,14.08,76.83,14.08,16.36,Legume,Trifolium striatum,Trifolium,,
66409,14.41,74.68,14.41,16.28,Legume,Trifolium tomentosum ,Trifolium,,
135628,13.57,66.32,13.57,15.33,Legume,Trifolium tomentosum var. cthonocephalum,Trifolium,,
68755,14.33,62.55,14.33,16.19,Legume,Trifolium tomentosum var. glabrescens,Trifolium,,
121862,13.33,79.84,13.33,15.82,Legume,Trifolium vesiculosum,Trifolium,,
66411,14.58,54.25,14.58,16.36,Legume,trifollium stellatum,Trifolium,,
118162,13.51,75.96,13.51,15.27,Legume,Vicia articulata,Vicia,,
60186,14.06,81.67,14.06,16.24,Legume,vicia ervillia,Vicia,,
