icarda_id,functional_group,tanoxomic_name,gb_id,genus,run,replication,dm,ndf,om,gas_g_dm_incubated,ch4_g_dm_incubated,ch4_ndf,ch4_g_digested,tddm,ch4_g_kg_dm
ICARDA ID,Functional group,Latin name,GB ID,Genus,Run,Replication,DM,NDF,OM,Gas /g DM Incubated,CH4/gDM incubated,CH4/NDF,Ch4 /g digested,True digestebility,CH4 (g/kg DM) 
250100038,Legume,trifolium pratense,156292,Trifolium,2,3,94.09697194,34.93975812,88.42884822,216.2907955,34.05019986,9.170128452,53.93656381,63.13008737,18.89845003
250100039,Legume,trifolium pratense,156297,Trifolium,2,1,92.84890145,35.07683361,86.8325648,187.4523811,30.19916941,7.993765162,48.51138964,62.25170963,16.7610615
250100039,Legume,trifolium pratense,156297,Trifolium,2,2,92.84890145,35.07683361,86.8325648,184.6717669,29.57601799,7.828816051,46.16725067,64.06276648,16.41520168
250100039,Legume,trifolium pratense,156297,Trifolium,2,3,92.84890145,35.07683361,86.8325648,177.5481267,28.27653859,7.484841916,46.21506796,61.18467381,15.69396813
250100040,Legume,trifolium pratense,156302,Trifolium,2,1,92.19726717,34.70296698,86.26535313,,,0,,,0
250100040,Legume,trifolium pratense,156302,Trifolium,2,2,92.19726717,34.70296698,86.26535313,195.0658926,30.408247,8.078725011,43.21895925,70.35858228,16.87710318
250100040,Legume,trifolium pratense,156302,Trifolium,2,3,92.19726717,34.70296698,86.26535313,196.6308639,30.5110022,8.106024545,47.24945258,64.57429776,16.93413409
250100041,Legume,Vicia tenuifolia,165072,Vicia,2,1,94.01868343,39.95823147,88.09821108,189.5525971,29.75604103,7.001370429,47.3414762,62.85406248,16.51511758
250100041,Legume,Vicia tenuifolia,165072,Vicia,2,2,94.01868343,39.95823147,88.09821108,188.9489264,30.0852208,7.078823928,47.63115939,63.16289838,16.69781805
250100041,Legume,Vicia tenuifolia,165072,Vicia,2,3,94.01868343,39.95823147,88.09821108,209.9386673,33.75760622,7.942908323,59.85758807,56.39653603,18.73605549
250100042,Legume,trifolium pratense,165511,Trifolium,2,1,91.59906906,38.9549726,87.85206642,,,0,,,0
250100042,Legume,trifolium pratense,165511,Trifolium,2,2,91.59906906,38.9549726,87.85206642,160.6422959,24.97034739,5.871549694,43.17885503,57.83003595,13.85897481
250100042,Legume,trifolium pratense,165511,Trifolium,2,3,91.59906906,38.9549726,87.85206642,163.4981159,25.85266743,6.079019213,42.30804547,61.10579474,14.3486777
251002501,CC,HH Concentrate,2501,HH Concentrate,2,1,90.6969697,#N/A,#DIV/0!,226.7254368,38.13109619,#N/A,56.98707957,,21.16341809
251002501,CC,HH Concentrate,2501,HH Concentrate,2,2,90.6969697,#N/A,#DIV/0!,0,0,#N/A,,,0
251002501,CC,HH Concentrate,2501,HH Concentrate,2,3,90.6969697,#N/A,#DIV/0!,220.6769955,37.78585856,#N/A,60.64278468,,20.97180523
250100028,Legume,Medicago sativa ,101045,Medicago,3,1,92.76548217,39.23080084,88.03689603,185.2220851,27.00409337,6.385410669,48.09523361,56.14713007,14.98773902
250100028,Legume,Medicago sativa ,101045,Medicago,3,2,92.76548217,39.23080084,88.03689603,175.9926779,26.06177452,6.16258916,40.48032552,64.38133633,14.46473576
250100028,Legume,Medicago sativa ,101045,Medicago,3,3,92.76548217,39.23080084,88.03689603,153.9752149,20.89162495,4.940051235,36.89850947,56.61915684,11.59521329
250100029,Legume,Medicago sativa,101063,Medicago,3,1,94.97554156,50.67460138,89.57815622,162.8173041,23.11378493,4.332040473,48.15070892,48.00300027,12.82855053
250100029,Legume,Medicago sativa,101063,Medicago,3,2,94.97554156,50.67460138,89.57815622,177.5230691,26.24230193,4.91839456,57.341091,45.76526444,14.56493159
250100029,Legume,Medicago sativa,101063,Medicago,3,3,94.97554156,50.67460138,89.57815622,190.7546429,28.82205572,5.401898143,65.19907391,44.20623483,15.99673958
250100030,Legume,Medicago sativa,101065,Medicago,3,1,94.55973598,45.96391947,89.33570223,186.5956057,25.59666555,5.265899786,46.74749618,54.75515834,14.20659223
250100030,Legume,Medicago sativa,101065,Medicago,3,2,94.55973598,45.96391947,89.33570223,182.2879791,25.66352461,5.279654431,52.99719788,48.42430474,14.24370016
250100030,Legume,Medicago sativa,101065,Medicago,3,3,94.55973598,45.96391947,89.33570223,208.8894822,30.99630886,6.376746841,65.15209178,47.57530882,17.20348769
250100031,Legume,Medicago sativa,101076,Medicago,3,1,94.11254912,50.19399211,89.49776942,130.8373108,18.37563774,3.445388655,41.77632206,43.98577193,10.19879686
250100031,Legume,Medicago sativa,101076,Medicago,3,2,94.11254912,50.19399211,89.49776942,188.8744658,26.11222509,4.895980502,53.5835329,48.73180935,14.4927367
250100031,Legume,Medicago sativa,101076,Medicago,3,3,94.11254912,50.19399211,89.49776942,186.4645032,26.98012129,5.058708988,59.54459846,45.31077879,14.9744341
250100032,Legume,Medicago sativa,101077,Medicago,3,2,94.81654008,39.17100141,89.19875488,172.138502,25.23383264,6.1080509,62.65141008,40.27655979,14.00521369
250100032,Legume,Medicago sativa,101077,Medicago,3,3,94.81654008,39.17100141,89.19875488,203.0828711,28.50680813,6.900300779,,,15.82177171
250100032,Legume,Medicago sativa,101077,Medicago,3,1,94.81654008,39.17100141,89.19875488,188.0347437,25.72990022,6.228128022,54.6170238,47.10967099,14.28053977
250100033,Legume,Medicago sativa,101094,Medicago,3,2,94.63798987,45.15915203,89.14939321,174.5914989,20.27931302,4.249843796,41.87905176,48.42352482,11.25536958
250100033,Legume,Medicago sativa,101094,Medicago,3,3,94.63798987,45.15915203,89.14939321,181.1608668,26.44240791,5.541415681,51.4615736,51.38282035,14.67599387
250100033,Legume,Medicago sativa,101094,Medicago,3,1,94.63798987,45.15915203,89.14939321,180.8019903,26.06060526,5.461403028,52.43593939,49.69989202,14.46408679
250100034,Legume,Medicago sativa,101095,Medicago,3,2,94.85692556,41.23542082,89.51456595,187.0881364,26.64703432,6.129816794,53.60512103,49.7098669,14.78956507
250100034,Legume,Medicago sativa,101095,Medicago,3,3,94.85692556,41.23542082,89.51456595,185.6792285,25.17951361,5.79223202,61.75888113,40.77067646,13.97506569
250100034,Legume,Medicago sativa,101095,Medicago,3,1,94.85692556,41.23542082,89.51456595,170.6187234,23.26940607,5.352835683,46.76032665,49.76313841,12.91492296
250100035,Legume,Medicago sativa,101097,Medicago,3,2,95.6714815,40.01079244,88.98042022,169.1997111,23.02987404,5.506769633,51.77139465,44.48378143,12.78197853
