accession_no,taxonomic_name,functional_group
22990,Pueraria montana var. lobata  ,Herbaceous legume
23689,Sesbania sesban var. bicolor  ,Shrub/Tree
24831,Leptospron adenanthum    ,Herbaceous legume
7280,Macroptilium bracteatum,Herbaceous legume
10003,Chamaecrista mimosoides,Herbaceous legume
12212,Centrosema brasilianum,Herbaceous legume
12490,Trifolium rueppellianum,Herbaceous legume
14520,Alysicarpus monilifer,Herbaceous legume
14532,Centrosema acutifolium,Herbaceous legume
15167,Desmodium intortum,Herbaceous legume
16249,Desmodium intortum,Herbaceous legume
1251,Canavalia sp,Herbaceous legume
16315,Vicia  sepium,Herbaceous legume
24925,Vigna parkeri,Herbaceous legume
12433,Trifolium burchellianum,Herbaceous legume
12483,Trifolium burchellianum,Herbaceous legume
24248,Teramnus repens,Herbaceous legume
10919,Aeschynomene americana,Shrub/Tree
16349,Desmodium tortuosum,Herbaceous legume
11545,Centrosema pascuorum,Herbaceous legume
20578,Hyparrhenia hirta    ,Grass
CNPGL_93_08_1,Cenchrus  Purpureues,Grass
10245,Trifolium burchellianum  ,Herbaceous legume
2274,Trifolium burchellianum,Herbaceous legume
345,Desmanthus virgatus,Shrub/Tree
6984,Medicago sativa,Herbaceous legume
7522,Tephrosia elata,Herbaceous legume
11243,Stylosanthes scabra,Herbaceous legume
14397,Desmanthus leptophyllus,Shrub/Tree
248,Centrosema molle,Herbaceous legume
7315,Lotononis listil,Herbaceous legume
16006,Onobyrchis vicifolia,Herbaceous legume
20669,Indigofera  hirsuta,Herbaceous legume
14562,Macrotyloma daltonii,Herbaceous legume
11461,Zornia glabra,Herbaceous legume
11338,Zornia latifolia,Herbaceous legume
21101,Lespedeza daurica,Herbaceous legume
2277,Trifolium burchellianum,Herbaceous legume
6284,Trifolium burchellianum,Herbaceous legume
8266,Trifolium burchellianum,Herbaceous legume
8680,Trifolium burchellianum,Herbaceous legume
9764,Trifolium burchellianum,Herbaceous legume
10179,Trifolium burchellianum,Herbaceous legume
10195,Trifolium burchellianum,Herbaceous legume
10203,Trifolium burchellianum,Herbaceous legume
10207,Trifolium burchellianum,Herbaceous legume
10247,Trifolium burchellianum,Herbaceous legume
12431,Trifolium burchellianum,Herbaceous legume
11176,Calopogonium caeruleum,Shrub/Tree
24,Desmanthus pubescens,Shrub/Tree
14402,Desmanthus leptophyllus,Shrub/Tree
11557,Cajanus cajan,Shrub/Tree
14384,Desmanthus covillei,Shrub/Tree
14384 (rep 2),Desmanthus covillei,Shrub/Tree
14376,Desmanthus tatuhyensis var. brevipes,Shrub/Tree
122,Centrosema schottii,Herbaceous legume
24684,Clitoria ternatea,Herbaceous legume
17757,Indigofera hirsuta,Herbaceous legume
13977,Crotalaria sp.,Herbaceous legume
9287,Stylosanthes humilis,Herbaceous legume
24645,Chamaecrista rotundifolia,Herbaceous legume
2145,Stylosanthes fruticosa,Herbaceous legume
24339,Teramnus volubilis,Herbaceous legume
24686,Clitoria ternatea,Herbaceous legume
24107,Teramnus labialis,Herbaceous legume
325,Desmanthus virgatus,Shrub/Tree
9933,Desmanthus acuminatus,Shrub/Tree
10965,Aeschynomene americana,Shrub/Tree
11035,Aeschynomene americana,Shrub/Tree
11558,Cajanus cajan,Shrub/Tree
14364,Desmanthus tatuhyensis var. tatuhyensis,Shrub/Tree
14369,Desmanthus pubescens,Shrub/Tree
448,Desmodium cinereum,Shrub/tree
529,Glycin max,Herbaceous legume
5167,Vicia sativa,Herbaceous legume
6642,Cenchrus ciliaris,Grass
6646,Cenchrus ciliaris,Grass
13284,Cenchrus ciliaris,Grass
16630,Cenchrus ciliaris,Grass
16660,Cenchrus ciliaris,Grass
18071,Cenchrus ciliaris,Grass
19397,Cenchrus ciliaris,Grass
19406,Cenchrus ciliaris,Grass
19408,Cenchrus ciliaris,Grass
19448,Cenchrus ciliaris,Grass
19456,Cenchrus ciliaris,Grass
19459,Cenchrus ciliaris,Grass
19467,Cenchrus ciliaris,Grass
14413,Lablab purpureues,Herbaceous legume
14438,Lablab purpureues,Herbaceous legume
14485,Lablab purpureues,Herbaceous legume
14486,Lablab purpureues,Herbaceous legume
18637,Lablab purpureues,Herbaceous legume
21065,Lablab purpureues,Herbaceous legume
Doli-I/11640,Lablab purpureues,Herbaceous legume
2275,Trifolium burchellianum,Herbaceous legume
1486,Avena sativa,Grass
1499,Avena sativa,Grass
1506,Avena sativa,Grass
1707,Avena sativa,Grass
5450,Avena sativa,Grass
5470,Avena sativa,Grass
5500,Avena sativa,Grass
5504,Avena sativa,Grass
9334,Vigna unguiculata,Herbaceous legume
9339,Vigna unguiculata,Herbaceous legume
9349,Vigna unguiculata,Herbaceous legume
9353,Vigna unguiculata,Herbaceous legume
9624,Vigna unguiculata,Herbaceous legume
9643,Vigna unguiculata,Herbaceous legume
11978,Vigna unguiculata,Herbaceous legume
11979,Vigna unguiculata,Herbaceous legume
11987,Vigna unguiculata,Herbaceous legume
11989,Vigna unguiculata,Herbaceous legume
11996,Vigna unguiculata,Herbaceous legume
6642,Cenchrus ciliaris,Grass
6646,Cenchrus ciliaris,Grass
13284,Cenchrus ciliaris,Grass
16630,Cenchrus ciliaris,Grass
16660,Cenchrus ciliaris,Grass
18071,Cenchrus ciliaris,Grass
18077,Cenchrus ciliaris,Grass
19369,Cenchrus ciliaris,Grass
19379,Cenchrus ciliaris,Grass
19389,Cenchrus ciliaris,Grass
19397,Cenchrus ciliaris,Grass
19406,Cenchrus ciliaris,Grass
19408,Cenchrus ciliaris,Grass
19439,Cenchrus ciliaris,Grass
19448,Cenchrus ciliaris,Grass
19453,Cenchrus ciliaris,Grass
19456,Cenchrus ciliaris,Grass
19458,Cenchrus ciliaris,Grass
19459,Cenchrus ciliaris,Grass
19467,Cenchrus ciliaris,Grass
12004,Vigna unguiculata,Herbaceous legume
12007,Vigna unguiculata,Herbaceous legume
12635,Vigna unguiculata,Herbaceous legume
12650,Vigna unguiculata,Herbaceous legume
12657,Vigna unguiculata,Herbaceous legume
12659,Vigna unguiculata,Herbaceous legume
12663,Vigna unguiculata,Herbaceous legume
25093,Vigna unguiculata,Herbaceous legume
25120,Vigna unguiculata,Herbaceous legume
25166,Vigna unguiculata,Herbaceous legume
25335,Vigna unguiculata,Herbaceous legume
25351,Vigna unguiculata,Herbaceous legume
25357,Vigna unguiculata,Herbaceous legume
144,Megathyrsus maximus,Grass
6633,Chloris gayana,Grass
7153,Panicum coloratum,Grass
7384,Chloris gayana,Grass
10871,Urochloa decumbens,Grass
14355,Cenchrus purpureus,Grass
14984,Cenchrus purpureus,Grass
15743,Cenchrus purpureus,Grass
16791,Cenchrus purpureus,Grass
16795,Cenchrus purpureus,Grass
16801,Cenchrus purpureus,Grass
16802,Cenchrus purpureus,Grass
16803,Cenchrus purpureus,Grass
16804,Cenchrus purpureus,Grass
16811,Cenchrus purpureus,Grass
16819,Cenchrus purpureus,Grass
16839,Cenchrus purpureus,Grass
1499    p11,Avena sativa,Grass
1513    p12,Avena sativa,Grass
1513    p7,Avena sativa,Grass
1720    p 5,Avena sativa,Grass
1720    p13,Avena sativa,Grass
BAGCE 100,Cenchrus purpureus,Grass
BAGCE 30,Cenchrus purpureus,Grass
BAGCE 34,Cenchrus purpureus,Grass
BAGCE 81,Cenchrus purpureus,Grass
16801,Cenchrus purpureus,Grass
16804,Cenchrus purpureus,Grass
14355,Cenchrus purpureus,Grass
16791,Cenchrus purpureus,Grass
16795,Cenchrus purpureus,Grass
16802,Cenchrus purpureus,Grass
16803,Cenchrus purpureus,Grass
16811,Cenchrus purpureus,Grass
16819,Cenchrus purpureus,Grass
18077,Cenchrus ciliaris,Grass
19369,Cenchrus ciliaris,Grass
19379,Cenchrus ciliaris,Grass
19389,Cenchrus ciliaris,Grass
19439,Cenchrus ciliaris,Grass
19453,Cenchrus ciliaris,Grass
19458,Cenchrus ciliaris,Grass
Doli-II/147,Lablab purpureues,Herbaceous legume
6642,Cenchrus ciliaris,Grass
6646,Cenchrus ciliaris,Grass
13284,Cenchrus ciliaris,Grass
16630,Cenchrus ciliaris,Grass
16660,Cenchrus ciliaris,Grass
18071,Cenchrus ciliaris,Grass
18077,Cenchrus ciliaris,Grass
19369,Cenchrus ciliaris,Grass
19379,Cenchrus ciliaris,Grass
19389,Cenchrus ciliaris,Grass
19397,Cenchrus ciliaris,Grass
19406,Cenchrus ciliaris,Grass
19408,Cenchrus ciliaris,Grass
19439,Cenchrus ciliaris,Grass
19448,Cenchrus ciliaris,Grass
19453,Cenchrus ciliaris,Grass
19456,Cenchrus ciliaris,Grass
19458,Cenchrus ciliaris,Grass
19459,Cenchrus ciliaris,Grass
19467,Cenchrus ciliaris,Grass
16839,Cenchrus purpureus,Grass
BAGCE 100,Cenchrus purpureus,Grass
BAGCE 30,Cenchrus purpureus,Grass
BAGCE 34,Cenchrus purpureus,Grass
BAGCE 81,Cenchrus purpureus,Grass
6633,Chloris gayana,Grass
7384,Chloris gayana,Grass
14421,Lablab  purpureus,Herbaceous legume
21885,Lablab  purpureus,Herbaceous legume
11640,Lablab purpureus,Herbaceous legume
14417,Lablab purpureus,Herbaceous legume
11609,Lablab purpureus,Herbaceous legume
6529,Lablab purpureus,Herbaceous legume
14423,Lablab purpureus,Herbaceous legume
14438,Lablab purpureus,Herbaceous legume
14445,Lablab purpureus,Herbaceous legume
14485,Lablab purpureus,Herbaceous legume
144,Megathyrsus maximus,Grass
7153,Panicum coloratum,Grass
10871,Urochloa decumbens,Grass
11058,Cajanus cajan,Shrub/Tree
11560,Cajanus cajan,Shrub/Tree
11575,Cajanus cajan,Shrub/tree
11556,Cajanus cajan,Trees/shrubs
11556,Cajanus cajan,Trees/shrubs
11566,Cajanus cajan,Trees/shrubs
18596,Lablab  purpureus,Herbaceous legume
14449,Lablab purprues ,Herbaceous legume
24800,Lablab purprues subsp. Uncinatus,Herbaceous legume
24747,Lablab purpureus,Herbaceous legume
7403,Lablab purpureus,Herbaceous legume
10977,Lablab purpureus,Herbaceous legume
14438,Lablab purpureus ,Herbaceous legume
14445,Lablab purpureus ,Herbaceous legume
10954,Lablab purpureus  ,Herbaceous legume
11629,Lablab purpureus  ,Herbaceous legume
13699,Lablab purpureus  ,Herbaceous legume
21086,Lablab purpureus subsp. bengalensis,Herbaceous legume
11652,Leucaena diversifolia,Shrub/Tree
15477,Gliricidia sepium    ,Shrub/Tree
21283,Leucaena leucocephala,Shrub/Tree
21626,Leucaena leucocephala    ,Shrub/Tree
13703,Lablab purpureus  ,Herbaceous legume
15480,Gliricidia sepium    ,Shrub/Tree
21675,Leucaena  pallida,Shrub/Tree
14504,Gliricidia sepium    ,Shrub/Tree
14342,Leucaena leucocephala,Shrub/Tree
14503,Gliricidia sepium,Shrub/Tree
15484,Gliricidia sepium    ,Shrub/Tree
21045,Lablab purpureus subsp. Uncinatus,Herbaceous legume
16507,Leucaena diversifolia    ,Shrub/Tree
20373,Gliricidia sepium,Shrub/Tree
21322,Leucaena leucocephala,Shrub/Tree
21684,Leucaena  pallida,Shrub/Tree
11575,Cajanus cajan,Shrub/tree
16277,Cajanus cajan,Trees/shrubs
16278,Cajanus cajan,Trees/shrubs
16520,Cajanus cajan,Trees/shrubs
16555,Cajanus cajan,Trees/shrubs
11652,Leucaena diversifolia,Trees/Shrubs
14203,Leucaena pallida,Trees/Shrubs
14501,Gliricidia sepium,Trees/Shrubs
14978,Leucaena leucocephala,Trees/Shrubs
20378,Gliricidia sepium,Trees/Shrubs
21122,Leucaena collinsii,Trees/Shrubs
21356,Leucaena leucocephala,Trees/Shrubs
21679,Leucaena pallida,Trees/Shrubs
10379,Sesbania sesban,Shrub/tree
10865,Sesbania sesban,Shrub/tree
23654,Sesbania grandiflora,Shrub/tree
555,Stylosanthes fruticosa    ,Herbaceous legume
11011,Stylosanthes hamata    ,Herbaceous legume
11769,Stylosanthes  guianensis,Herbaceous legume
14197,Leucaena pulverulenta    ,Shrub/Tree
15853,Stylosanthes hamata    ,Herbaceous legume
17316,Sesbania  sesban,Shrub/Tree
17354,Sesbania  sesban,Shrub/Tree
2084,Stylosanthes fruticosa,Herbaceous legume
9752,Stylosanthes fruticosa,Herbaceous legume
10391,Stylosanthes fruticosa,Herbaceous legume
12041,Stylosanthes macrocephala,Herbaceous legume
12073,Stylosanthes macrocephala,Herbaceous legume
12430,Stylosanthes macrocephala,Herbaceous legume
13950,Stylosanthes fruticosa,Herbaceous legume
13951,Stylosanthes fruticosa,Herbaceous legume
15846,Stylosanthes hamata,Herbaceous legume
15913,Stylosanthes hamata,Herbaceous legume
15931,Stylosanthes hamata,Herbaceous legume
15934,Stylosanthes hamata,Herbaceous legume
10375,Sesbania sesban,Trees/shrubs
10379,Sesbania sesban,Shrub/tree
1,Stylosanthes guianensis,Herbaceous legume
2145,Stylosanthes fruticosa,Herbaceous legume
10891,Stylosanthes humilis,Herbaceous legume
13946,Stylosanthes fruticosa,Herbaceous legume
16075,Sesbania grandiflora,Trees/Shrubs
21684,Leucaena pallida,Trees/Shrubs
21730,Leucaena trichandra,Trees/Shrubs
21731,Leucaena trichandra,Trees/Shrubs
23658,Sesbania grandiflora,Trees/Shrubs
18924,Alysicarpus vaginalis,Herbaceous legume
21879,Macroptilium atropurpureum,Herbaceous legume
6213,Vicia villosa subsp. varia,Herbaceous legume
9333,Vigna unguiculata,Herbaceous legume
11989,Vigna unguiculata,Herbaceous legume
12688,Vigna unguiculata,Herbaceous legume
12726,Vigna unguiculata,Herbaceous legume
6792,Vicia villosa,Herbaceous legume
9334,Vigna unguiculata,Herbaceous legume
9654,Vigna unguiculata,Herbaceous legume
12654,Vigna unguiculata,Herbaceous legume
9339,Vigna unguiculata,Herbaceous legume
11114,Vigna unguiculata,Herbaceous legume
13326,Vicia Villosa,Herbaceous legume
25335,Vigna unguiculata,Herbaceous legume
5167,Vicia sativa,Herbaceous legume
15237,Vicia villosa,Herbaceous legume
24874,Vigna luteola    ,Herbaceous legume
5175,Vicia sativa,Herbaceous legume
5218,Vicia Benhalensis,Herbaceous legume
9334,Vigina Uniguiculata,Herbaceous legume
9352,Vigina Uniguiculata,Herbaceous legume
24874,Vigna luteola    ,Herbaceous legume
24877,Vigna luteola,Herbaceous legume
24881,Vigna luteola,Herbaceous legume
24877,Vigna  luteola,Herbaceous legume
5127,Vicia sativa ,Herbaceous legume
8003,Trifolium tembense ,Herbaceous legume
9352,Vigna unguiculata ,Herbaceous legume
12528,Trifolium tembense ,Herbaceous legume
10921,Vigna parkeri,Herbaceous legume
10134,Trifolium steudneri Schweinf.,Herbaceous legume
7309,Trigonella foenum-graecum,Herbaceous legume
14413,Lablab purpures,Herbaceous legume
14413,Lablab purpures,Herbaceous legume
14438,Lablab purpures,Herbaceous legume
14438,Lablab purpures,Herbaceous legume
14447,Lablab purpures,Herbaceous legume
14447,Lablab purpures,Herbaceous legume
14458,Lablab purpures,Herbaceous legume
14458,Lablab purpures,Herbaceous legume
14485,Lablab purpures,Herbaceous legume
14485,Lablab purpures,Herbaceous legume
14486,Lablab purpures,Herbaceous legume
14486,Lablab purpures,Herbaceous legume
18637,Lablab purpures,Herbaceous legume
18637,Lablab purpures,Herbaceous legume
21065,Lablab purpures,Herbaceous legume
21065,Lablab purpures,Herbaceous legume
Doli-I/11640,Lablab purpures,Herbaceous legume
Doli-I/11640,Lablab purpures,Herbaceous legume
Doli-II/147,Lablab purpures,Herbaceous legume
Doli-II/147,Lablab purpures,Herbaceous legume
22068,Macroptilium lathyroides,Herbaceous legume
22069,Macroptilium lathyroides,Herbaceous legume
22070,Macroptilium lathyroides,Herbaceous legume
22071,Macroptilium lathyroides,Herbaceous legume
5283,Lathyrus sativus,Herbaceous legume
10663,Lathyrus sativus,Herbaceous legume
16243,Aeschynomene villosa,Sub shrub
9303,Glycine max,Herbaceous legume
15005,Lupinus angustifolius,Herbaceous legume
19980,Dolichos sp.,Herbaceous legume
24727,Clitoria ternatea,Herbaceous legume
21900,Macroptilium atropurpureum,Herbaceous legume
19966,Dolichos  sp.,Herbaceous legume
19656,Codariocalyx  gyroides,Shrub/Tree
7622,Trifolium semipilosum ,Herbaceous legume
7638,Trifolium semipilosum,Herbaceous legume
16260,Trifolium semipilosum,Herbaceous legume
8214,Trifolium semipilosum,Herbaceous legume
22295,Neonotonia  wightii,Herbaceous legume
24175,Teramnus labialis,Herbaceous legume
14501,Gliricidia  sepium,Shrub/Tree
24282,Teramnus   uncinatus,Herbaceous legume
8191,Trifolium semipilosum,Herbaceous legume
22210,Neonotonia wightii,Herbaceous legume
24287,Teramnus   uncinatus,Herbaceous legume
22397,Neonotonia wightii    ,Herbaceous legume
22416,Neonotonia wightii    ,Herbaceous legume
23043,Neustanthus phaseoloides    ,Herbaceous legume
21879,Macroptilium  atropurpureum,Herbaceous legume
10856,Macroptilium atropurpureum    ,Herbaceous legume
10084,Mucuna pruriens,Herbaceous legume
11040,Aeschynomene villosa,Sub shrub
11171,Calopogonium mucunoides,Sub shrub
11177,Calopogonium caeruleum,Sub shrub
11186,Aeschynomene brasiliana,Sub shrub
12122,Aeschynomene histrix,Sub shrub
14390,Desmanthus acuminatus,Sub shrub
14880,Mucuna pruriens,Herbaceous legume
15169,Mucuna pruriens,Herbaceous legume
15490,Desmodium cinereum,Shrub/tree
15592,Canavalia brasiliensis,Herbaceous legume
16344,Aeschynomene histrix,Sub shrub
16819,Cenchrus purpures,Grass
16791,Cenchrus purpures,Grass
7384,Chloris gayana,Grass
6633,Chloris gayana,Grass
CNPGL-93-08-1,Cenchrus purpures,Grass
CNPGL-91-25-1,Cenchrus purpures,Grass
6501,Medicago scutellata,Herbaceous legume
7794,Medicago lupulina,Herbaceous legume
248,Centrosema molle,Herbaceous legume
15116,Medicago rugosa,Herbaceous legume
15334,Melilotus suaveolens,Herbaceous legume
16152,Medicago rigidula (L.) All.,Herbaceous legume
16156,Medicago polymorpha,Herbaceous legume
16358,Trifolium quartinianum,Herbaceous legume
8399,Trifolium mattirolianum,Herbaceous legume
6502,Medicago littoralis,Herbaceous legume
7839,Lotus discolor,Herbaceous legume
7854,Trifolium sp.,Herbaceous legume
8415,Indigofera sp.,Herbaceous legume
8442,Indigofera sp.,Herbaceous legume
9259,Trifolium sp.,Herbaceous legume
21754,Lotononis angolensis,Herbaceous legume
11344,Zornia sp.,Herbaceous legume
16478,Medicago arabica,Herbaceous legume
39,Vigna oblongifolia var. parviflora,Herbaceous legume
52,Vigna oblongifolia var. parviflora,Herbaceous legume
5003,Pisum sativum subsp. sativum,Herbaceous legume
5007,Pisum sativum subsp. sativum,Herbaceous legume
5025,Pisum sativum,Herbaceous legume
5041,Pisum sativum var. arvense (L.) Poir.,Herbaceous legume
6503,Macrotyloma uniflorum,Herbaceous legume
7089,Phaseolus sp.,Herbaceous legume
7093,Phaseolus sp.,Herbaceous legume
14447,Lablab purpureus,Herbaceous legume
16129,Medicago minima,Herbaceous legume
16132,Medicago rigidula (L.) All.,Herbaceous legume
24628,Chamaecrista nictitans subsp. patellaria,Herbaceous legume
5296,Lathyrus ochrus,Herbaceous legume
10119,Trifolium tembense,Herbaceous legume
15343,Melilotus officinalis,Herbaceous legume
15193,Melilotus albus,Herbaceous legume
24309,Teramnus uncinatus subsp. axilliflorus,Herbaceous legume
11343,Zornia sp.,Herbaceous legume
16246,Bouffordia dichotoma,Herbaceous legume
18212,Argyrolobium sp.,Herbaceous legume
7803,Podlechiella vogelii subsp. fatmensis,Herbaceous legume
10107,Trifolium steudneri Schweinf.,Herbaceous legume
16159,Medicago polymorpha var. denticulata,Herbaceous legume
8091,Tephrosia sp.,Herbaceous legume
5281,Lathyrus cicera,Herbaceous legume
16108,Medicago polymorpha var. polymorpha,Herbaceous legume
12528,Trifolium tembense,Herbaceous legume
16118,Medicago noeana,Herbaceous legume
16451,Vicia sp.,Herbaceous legume
12146,Centrosema macrocarpum,Herbaceous legume
7315,Lotononis listii,Herbaceous legume
156,Neustanthus phaseoloides,Herbaceous legume
11545,Centrosema pascuorum,Herbaceous legume
4762,Lotus sp.,Herbaceous legume
1030,Desmodium velutinum,Herbaceous legume
21896,Macroptilium atropurpureum,Herbaceous legume
12182,Centrosema acutifolium,Herbaceous legume
9264,Neustanthus phaseoloides,Herbaceous legume
24234,Teramnus micans,Herbaceous legume
11443,Zornia glabra,Herbaceous legume
16266,Medicago orbicularis,Herbaceous legume
24268,Teramnus sp.,Herbaceous legume
19338,Chamaecrista nictitans,Herbaceous legume
21823,Lotononis sp.,Herbaceous legume
2074,Teramnus sp.,Herbaceous legume
9376,Melilotus sp.,Herbaceous legume
18284,Argyrolobium sp.,Herbaceous legume
20253,Galactia sp.,Herbaceous legume
15398,Vicia sp.,Herbaceous legume
17611,Vicia villosa subsp. varia,Herbaceous legume
15217,Vicia sativa,Herbaceous legume
9672,Alysicarpus quartinianus,Herbaceous legume
16455,Anthyllis sp.,Herbaceous legume
10858,Desmodium incanum,Herbaceous legume
16467,Melilotus sp.,Herbaceous legume
8554,Lotus sp.,Herbaceous legume
10909,Centrosema macrocarpum,Herbaceous legume
12041,Stylosanthes macrocephala,Herbaceous legume
20995,Indigofera zollingeriana,Herbaceous legume
18293,Medicago laciniata,Herbaceous legume
12655,Vigna unguiculata,Herbaceous legume
5127,Vicia sativa subsp. sativa,Herbaceous legume
4785,Desmodium dichotomum ,Herbaceous legume
5253,Vicia sativa subsp. nigra,Herbaceous legume
5288,Lathyrus clymenum,Herbaceous legume
6271,Trifolium decorum,Herbaceous legume
7264,Grona heterocarpa,Herbaceous legume
7579,Melilotus indicus,Herbaceous legume
12080,Stylosanthes capitata,Herbaceous legume
12935,Rhynchosia sp.,Herbaceous legume
12943,Vigna sp.,Herbaceous legume
14950,Vicia hirsuta,Herbaceous legume
15204,Vicia bithynica,Herbaceous legume
15341,Melilotus siculus,Herbaceous legume
15390,Vicia sativa subsp. nigra,Herbaceous legume
20258,Galactia sp.,Herbaceous legume
21893,Macroptilium atropurpureum,Herbaceous legume
22394,Neonotonia wightii var. longicauda,Herbaceous legume
24986,Vigna sp.,Herbaceous legume
113,Vigna luteola,Herbaceous legume
1070,Macrotyloma axillare,Herbaceous legume
7297,Eriosema psoraleoides,Herbaceous legume
8354,Tephrosia sp.,Herbaceous legume
9471,Trifolium steudneri ,Herbaceous legume
10873,Bouffordia dichotoma,Herbaceous legume
13212,Rhynchosia sp.,Herbaceous legume
16128,Medicago rotata,Herbaceous legume
5227,Vicia sativa subsp. sativa,Herbaceous legume
10921,Vigna parkeri,Herbaceous legume
13319,Ornithopus compressus,Herbaceous legume
15350,Lotus conjugatus subsp. requienii,Herbaceous legume
16452,Lotus edulis,Herbaceous legume
24931,Vigna parkeri,Herbaceous legume
18818,Alysicarpus sp.,Herbaceous legume
22965,Psoralea sp.,Herbaceous legume
740,Macrotyloma sp.,Herbaceous legume
