subset,requisitioner,no,id_lab,id,n_replicates,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,sample_weight_g,undigested_dm_g,dm_incubated,digested_feed_mg,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_8h_percentage,ch4_24h_percentage,part_fact,ch4_ml_g_dm_incubaed_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
3,Genetic bank,342,F25-1677,CIAT-17519,9,Fabales,Fabaceae,Mimosa,somnians,Mimosa somnians,Herbaceous_legumes,24,49,1,1,27,0.5,0.24,472.74,234.07,26.87,51.35,2.57,5.02,9.57,10.06,4.61,10.63,-909.76,21.6,49.51
3,Breeding,990,F25-2631,CIAT-17768,18,Fabales,Fabaceae,Clitoria ,ternatea,Clitoria ternatea ,Herbaceous_legumes,26,55,1,1,135,0.5,0.23,465.86,239.26,51.56,87.79,7.55,13.73,14.69,17.04,2.72,29.46,339.4,59.64,51.33
3,Genetic bank,345,F25-1678,CIAT-17896,9,Fabales,Fabaceae,Chamaecrista,desvauxii,Chamaecrista desvauxii,Herbaceous_legumes,24,49,1,1,30,0.5,0.3,473.86,177.31,18.92,42.79,1.85,4.94,9.71,12.99,4.14,10.43,-105.37,27.97,37.42
3,Genetic bank,348,F25-1679,CIAT-18123,9,Fabales,Fabaceae,Dioclea,virgata,Dioclea virgata,Herbaceous_legumes,24,49,1,1,33,0.5,0.29,473.19,181.08,22.2,53.46,2.53,7.19,11.3,14.89,3.4,15.19,-21.33,40.83,38.27
3,Genetic bank,351,F25-1680,CIAT-18126,9,Fabales,Fabaceae,Dioclea,virgata,Dioclea virgata,Herbaceous_legumes,24,49,1,1,36,0.5,0.26,464.27,202.83,26.09,62.07,3.1,8.5,11.87,15.01,3.27,18.31,290.45,43.02,43.69
3,Genetic bank,354,F25-1681,CIAT-18127,9,Fabales,Fabaceae,Dioclea,virgata,Dioclea virgata,Herbaceous_legumes,24,49,1,1,39,0.5,0.27,471.17,197.95,28.92,62.74,3.47,8.51,11.99,14.91,3.16,18.06,-653.51,43.53,42.01
3,Genetic bank,357,F25-1682,CIAT-18668,9,Fabales,Fabaceae,Cratylia,argentea,Cratylia argentea,Shrub_Trees,24,49,1,1,42,0.5,0.22,470.86,249.64,29.98,69.68,4.27,11.61,14.24,18.48,3.59,24.66,-289.87,47.26,53.02
3,Genetic bank,360,F25-1683,CIAT-19228,9,Fabales,Fabaceae,Eriosema,psoraleoides,Eriosema psoraleoides,Herbaceous_legumes,24,49,1,1,45,0.5,0.3,468.81,169.36,24.87,52.35,2.99,6.96,12.02,14.44,3.23,14.85,-446.81,41.79,36.13
3,Genetic bank,363,F25-1684,CIAT-19537,9,Fabales,Fabaceae,Crotalaria,verrucosa,Crotalaria verrucosa,Herbaceous_legumes,24,49,1,1,48,0.5,0.18,467.83,292.49,47.54,94.01,6.37,13.62,13.38,15.6,3.11,29.12,34.01,47.07,62.52
3,Genetic bank,18,F25-0980,CIAT-19867,9,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,23,46,1,1,18,0.5,0.22,479.68,256.01,40.54,72.78,6.3,11.8,15.54,17.07,3.52,24.6,426.77,47.4,53.37
3,Genetic bank,33,F25-1655,CIAT-1992,9,Fabales,Fabaceae,Stylosanthes,guianensis,Stylosanthes guianensis,Herbaceous_legumes,23,46,1,1,33,0.5,0.22,462.54,239.87,36.43,81.17,4.23,10.45,11.59,13.91,2.95,22.59,245.43,43.92,51.86
3,Genetic bank,368,F25-1685,CIAT-20208,9,Fabales,Fabaceae,Aeschynomene,sensitiva,Aeschynomene sensitiva,Herbaceous_legumes,24,49,1,1,53,0.5,0.19,477.51,291.4,49.2,94.07,6.39,13.57,12.97,16.0,3.1,28.41,149.33,46.88,61.03
3,Genetic bank,371,F25-1686,CIAT-20345,9,Fabales,Fabaceae,Pachyrhizus,erosus,Pachyrhizus erosus,Herbaceous_legumes,24,49,1,1,56,0.5,0.17,468.72,301.95,39.76,85.85,5.36,12.02,13.47,14.47,3.52,25.65,-702.07,40.32,64.42
3,Breeding,984,F25-2629,CIAT-20692,18,Fabales,Fabaceae,Clitoria ,ternatea,Clitoria ternatea ,Herbaceous_legumes,26,55,1,1,129,0.5,0.22,473.71,256.41,55.84,93.69,8.22,14.86,14.7,17.55,2.77,31.4,971.6,58.17,54.14
3,Genetic bank,374,F25-1687,CIAT-20927,9,Fabales,Fabaceae,Mimosa,albida,Mimosa albida,Herbaceous_legumes,24,49,1,1,59,0.5,0.33,468.65,143.2,23.54,43.51,2.71,5.5,11.49,13.97,3.3,11.75,-252.12,40.98,30.56
3,Genetic bank,377,F25-1688,CIAT-21849,9,Fabales,Fabaceae,Chamaecrista,desvauxii,Chamaecrista desvauxii,Herbaceous_legumes,24,49,1,1,62,0.5,0.3,474.71,176.26,27.15,56.96,2.93,7.05,10.79,13.82,3.1,14.86,1342.55,41.17,37.13
3,Genetic bank,380,F25-1689,CIAT-22072,9,Fabales,Fabaceae,Bauhinia,sp.,Bauhinia sp.,Shrub_Trees,24,49,1,1,65,0.5,0.2,468.25,270.69,40.81,83.85,5.7,13.35,13.92,17.77,3.23,28.5,2605.14,49.67,57.81
